N	3gram	Potebnia_M	DiskursI
1	в том что	22	28
2	по отношению к	10	17
3	с одной стороны	4	14
4	не может быть	7	12
5	в данном случае	3	12
6	то же время	8	10
7	о том что	5	9
8	в то же	8	8
9	состоит в том	1	8
10	в этом отношении	2	8
11	как и в	3	7
12	тогда как в	2	7
13	так и в	2	6
14	к тому же	1	6
15	по крайней мере	8	6
16	с точки зрения	2	6
17	одной стороны и	1	5
18	и как бы	2	5
19	можно сказать и	1	5
20	то же самое	3	5
21	с другой стороны	4	5
22	в свою очередь	6	5
23	и может быть	2	5
24	что же касается	1	5
25	дело в том	1	5
26	не только в	4	5
27	подобно тому как	3	5
28	не было в	3	4
29	тем не менее	7	4
30	можно сказать что	3	4
31	сказать и о	1	4
32	не в том	6	4
33	одного и того	2	4
34	и того же	2	4
35	и не может	1	4
36	в свое время	1	4
37	в этом случае	2	4
38	говоря уже о	1	3
39	более или менее	6	3
40	и то же	7	3
41	в том случае	2	3
42	при всей своей	1	3
43	на первый взгляд	1	3
44	а не в	1	3
45	то есть в	1	3
46	не говоря уже	1	3
47	одно и то	7	3
48	в себе не	2	3
49	во всяком случае	3	3
50	из виду что	2	2
51	и столь же	1	2
52	бы то ни	1	2
53	все то что	2	2
54	заключать в себе	1	2
55	в большинстве случаев	2	2
56	заключает в себе	10	2
57	ни одно из	1	2
58	лично для себя	1	2
59	потому что в	4	2
60	сами по себе	3	2
61	далеко не всегда	1	2
62	большей или меньшей	1	2
63	по себе не	2	2
64	а в том	5	2
65	до настоящего времени	1	2
66	то ни было	1	2
67	в целом и	1	2
68	значении этого слова	1	2
69	и в том	3	2
70	в том и	1	2
71	в одном из	1	2
72	и тем же	4	2
73	ни прибавить ни	1	2
74	но и в	4	2
75	в том чтобы	4	2
76	а не как	2	2
77	только то что	1	2
78	здесь как и	1	2
79	только в том	5	2
80	и той же	4	2
81	предмет о котором	1	2
82	одним и тем	4	2
83	а потом и	1	2
84	прибавить ни убавить	1	2
85	же время и	1	2
86	как мы видели	1	2
87	одной и той	4	2
88	и то что	3	2
89	совмещает в себе	1	2
90	так и на	1	2
91	том случае если	1	2
92	легко может быть	1	2
93	то есть к	3	2
94	упускать из виду	2	2
95	что он не	3	1
96	лишь в том	1	1
97	себе не может	2	1
98	между тем слово	1	1
99	в себе в	1	1
100	на каждом шагу	1	1
101	и тем самым	1	1
102	уже не могут	1	1
103	так сказать от	1	1
104	в чем не	1	1
105	на наш взгляд	1	1
106	в этом смысле	2	1
107	в каком находится	1	1
108	для человека в	1	1
109	следует помнить что	1	1
110	здесь не только	1	1
111	мы можем видеть	1	1
112	легко представить себе	1	1
113	о различии их	1	1
114	еще не было	1	1
115	хотя бы и	1	1
116	вся основана на	1	1
117	только в последнем	1	1
118	в самом деле	1	1
119	для того чтобы	5	1
120	но в таком	1	1
121	большую или меньшую	1	1
122	у него в	1	1
123	друг от друга	2	1
124	в строгом смысле	1	1
125	и вообще в	1	1
126	в таком случае	2	1
127	человеческой жизни не	2	1
128	так или иначе	1	1
129	однако в силу	1	1
130	иметь в своем	1	1
131	сам по себе	9	1
132	том что человек	1	1
133	до сих пор	4	1
134	не связано с	1	1
135	в себе самом	1	1
136	еще не знает	1	1
137	отношению к субъекту	1	1
138	тому как мы	1	1
139	легко заметить что	1	1
140	между тем как	4	1
141	без которой нет	1	1
142	а потому и	1	1
143	и таким образом	1	1
144	их отношении к	1	1
145	как одного из	1	1
146	приходит в голову	1	1
147	не только о	1	1
148	есть не что	1	1
149	но и от	1	1
150	в нераздельное единство	1	1
151	но не в	1	1
152	или по крайней	2	1
153	и там где	1	1
154	природу то есть	1	1
155	в котором нет	1	1
156	об одном из	2	1
157	но и к	1	1
158	то есть по	1	1
159	так и во	1	1
160	из того что	1	1
161	имея в виду	1	1
162	и о том	1	1
163	с точкой зрения	1	1
164	и в этом	1	1
165	в этом последнем	2	1
166	прежде всего на	1	1
167	том случае когда	1	1
168	может и не	1	1
169	не только по	3	1
170	во второй половине	1	1
171	заключающие в себе	1	1
172	в этих случаях	1	1
173	столь же несомненно	1	1
174	того о ком	1	1
175	а не с	1	1
176	за то что	1	1
177	внешнее по отношению	1	1
178	вместе с тем	5	1
179	прежде всего он	1	1
180	равно как и	2	1
181	и представляет себе	1	1
182	первобытный человек не	1	1
183	в этом заключается	1	1
184	на то что	3	1
185	мере того как	8	1
186	не только от	1	1
187	заключается в том	1	1
188	только после того	1	1
189	в это время	1	1
190	в одно целое	3	1
191	по мере того	8	1
192	что не только	1	1
193	в их отношении	1	1
194	то что в	2	1
195	там же с	7	1
196	их влияния на	1	1
197	и что это	1	1
198	не в состоянии	4	1
199	она коренится в	1	1
200	того и другого	2	1
201	но столь же	1	1
202	следует заметить что	1	1
203	принадлежит ему в	1	1
204	тем более что	1	1
205	прямой зависимости от	1	1
206	то есть то	1	1
207	в большей или	1	1
208	что не есть	1	1
209	не может стать	2	1
210	он говорит и	1	1
211	в противном случае	1	1
212	в чем и	1	1
213	на самом деле	4	1
214	потому что к	1	1
215	том и состоит	1	1
216	не что иное	1	1
217	но еще не	1	1
218	далеко не все	3	1
219	состоит не только	1	1
220	но в природе	1	1
221	то все же	1	1
222	том что и	1	1
223	существовать не может	1	1
224	это и не	1	1
225	мы не знаем	3	1
226	не подлежит сомнению	1	1
227	но и о	1	1
228	для меня то	2	1
229	тем же словом	3	1
230	только потому что	5	1
231	есть то что	2	1
232	не менее в	1	1
233	именно в том	3	1
234	в прямой зависимости	1	1
235	том что он	2	1
236	чем и состоит	1	1
237	своего развития в	1	1
238	не могут быть	3	1
239	между тем в	1	1
240	и проч но	1	1
241	а не за	1	1
242	в общих чертах	2	1
243	что иное как	1	1
244	только это в	1	1
245	к мысли о	2	1
246	эстетическом значении этого	1	1
247	и не дает	1	1
248	слово стремится к	1	1
249	нет и не	1	1
250	после того как	2	1
251	может быть названо	1	1
