N	2gram	Losev_Dial	Retstnzi
1	не может	16	4
2	и в	35	3
3	если в	5	2
4	один из	3	2
5	отрешенными от	1	1
6	может и	5	1
7	в особенности	6	1
8	несмотря на	12	1
9	может быть	30	1
10	и истории	1	1
11	не только	26	1
12	точки зрения	25	1
13	с точки	18	1
14	может не	1	1
15	для него	2	1
16	с теми	2	1
17	бы чисто	1	1
18	в ней	4	1
19	явление если	1	1
20	тех же	1	1
21	себе все	1	1
22	в каждом	4	1
23	связи с	3	1
24	понимания этого	1	1
25	бы на	1	1
26	на месте	1	1
27	с другими	2	1
28	больше ничего	3	1
29	если бы	12	1
30	смысл и	6	1
31	вещей и	5	1
32	на примере	1	1
33	с самых	1	1
34	в его	4	1
35	и тому	1	1
36	не менее	5	1
37	именно с	1	1
38	но и	17	1
39	мы видим	6	1
40	к тому	6	1
41	сравнении с	1	1
42	о формах	1	1
43	тому что	4	1
44	и можно	3	1
45	ней ничего	1	1
46	в то	10	1
47	механистического мировоззрения	1	1
48	из этих	2	1
49	категорий и	1	1
50	и больше	2	1
51	и событий	1	1
52	же время	9	1
53	то же	21	1
54	а не	24	1
55	бы в	3	1
56	нет и	2	1
57	и должно	3	1
58	в системе	2	1
59	и не	51	1
60	на нее	2	1
61	и все	11	1
62	вполне понятно	1	1
