N	2gram	Bakhtin_Fr	VLabPisa
1	таким образом	20	32
2	в этом	27	29
3	не только	23	26
4	и в	67	26
5	может быть	4	23
6	и не	23	20
7	хотя бы	2	20
8	не может	9	17
9	в процессе	1	17
10	в его	17	15
11	в том	16	15
12	этом отношении	7	14
13	в силу	1	14
14	все это	15	13
15	прежде всего	19	13
16	в качестве	5	12
17	в частности	4	12
18	как это	5	12
19	что в	14	11
20	с другой	3	11
21	из них	5	11
22	то же	18	10
23	не могут	3	10
24	о том	8	10
25	но и	23	10
26	реальной действительности	1	10
27	по этому	1	10
28	и др	11	10
29	для него	4	9
30	об этом	5	9
31	он пишет	1	9
32	к этому	4	9
33	могут быть	1	8
34	говорит и	2	8
35	другой стороны	2	8
36	только в	6	8
37	все эти	12	8
38	вместе с	5	8
39	том что	13	8
40	было бы	5	8
41	в своем	13	8
42	это не	5	7
43	говорит о	1	7
44	в году	6	7
45	в конечном	1	7
46	не было	3	7
47	по отношению	1	7
48	тому что	1	7
49	как и	19	7
50	их в	2	7
51	во всех	20	7
52	а не	6	7
53	этому поводу	1	7
54	то что	9	7
55	отношению к	1	7
56	в нем	20	7
57	из этих	4	7
58	один из	6	6
59	у него	4	6
60	более или	2	6
61	все же	7	6
62	приводит к	1	6
63	это и	10	6
64	бы и	2	6
65	в искусстве	3	6
66	не в	8	6
67	между тем	3	6
68	художественном творчестве	1	6
69	так и	14	6
70	в себе	3	6
71	или менее	2	6
72	в зависимости	1	6
73	том же	3	6
74	и его	19	6
75	в то	17	6
76	образы и	4	5
77	утверждать что	1	5
78	даже в	5	5
79	в результате	5	5
80	в их	4	5
81	в них	12	5
82	связи с	7	5
83	одним из	7	5
84	конечном счете	1	5
85	зависимости от	1	5
86	к тому	4	5
87	перед нами	6	5
88	и образов	6	5
89	вот почему	1	5
90	и при	2	5
91	в одном	7	5
92	в пределах	2	5
93	же время	14	5
94	как бы	18	5
95	в целом	2	5
96	сказать что	12	5
97	в плане	5	5
98	и есть	5	5
99	никогда не	6	5
100	в самом	7	4
101	ее в	1	4
102	пределах своей	1	4
103	в ее	2	4
104	как раз	5	4
105	можно сказать	4	4
106	не обходится	1	4
107	что для	1	4
108	в этой	13	4
109	что все	4	4
110	что он	7	4
111	в виду	2	4
112	по существу	4	4
113	в романе	15	4
114	с тем	3	4
115	с ними	1	4
116	в своей	6	4
117	является не	1	4
118	роль в	5	4
119	должен быть	2	4
120	с его	11	4
121	чем же	5	4
122	для его	1	4
123	в связи	5	4
124	это только	1	4
125	когда он	2	4
126	них не	1	4
127	из его	2	4
128	одна из	1	4
129	рассказывает о	2	4
130	по поводу	5	4
131	во время	15	4
132	и ее	2	4
133	образов и	8	4
134	образе и	1	3
135	и к	7	3
136	что они	3	3
137	видели что	2	3
138	и он	4	3
139	что у	2	3
140	этой области	1	3
141	этот процесс	3	3
142	мы знаем	1	3
143	от января	1	3
144	того что	4	3
145	никак не	3	3
146	но как	1	3
147	видеть в	1	3
148	утверждает что	1	3
149	со своим	1	3
150	что и	8	3
151	у нас	3	3
152	подобно тому	2	3
153	его в	10	3
154	в форме	2	3
155	др в	2	3
156	если бы	2	3
157	или в	3	3
158	именно в	5	3
159	в конце	12	3
160	например в	6	3
161	момент в	2	3
162	между ними	4	3
163	и как	7	3
164	и художественное	1	3
165	же и	2	3
166	в которых	3	3
167	большей или	1	3
168	том как	2	3
169	мира и	10	3
170	а всего	1	3
171	вовсе не	19	3
172	бы в	5	3
173	с этим	6	3
174	а в	4	3
175	процесса как	1	3
176	что не	4	3
177	в котором	3	3
178	даже и	1	3
179	в значительной	2	3
180	его не	5	3
181	того чтобы	9	3
182	для того	8	3
183	тому как	2	3
184	и образы	13	3
185	и их	6	3
186	как он	3	3
187	вслед за	1	3
188	далеко не	6	3
189	этот вопрос	1	3
190	так же	13	3
191	человека и	1	3
192	при всем	1	3
193	или меньшей	1	3
194	как на	6	3
195	нет и	4	3
196	систему образов	1	3
197	образом в	4	3
198	и от	6	3
199	точки зрения	7	3
200	жизни и	11	3
201	и по	3	3
202	значительной мере	1	3
203	всех этих	9	3
204	мы видели	11	3
205	на время	5	2
206	в особенности	7	2
207	отметить что	3	2
208	им как	1	2
209	и весь	1	2
210	труда и	3	2
211	и систему	1	2
212	все его	1	2
213	и этот	2	2
214	образов в	12	2
215	они и	3	2
216	нет ни	2	2
217	от его	4	2
218	они не	5	2
219	на вопрос	1	2
220	если в	3	2
221	также что	1	2
222	на язык	1	2
223	того как	1	2
224	эта не	1	2
225	при всей	1	2
226	ее как	2	2
227	с одной	2	2
228	том числе	6	2
229	должна быть	1	2
230	это особенно	1	2
231	тогда когда	3	2
232	говорить о	5	2
233	да и	2	2
234	хотя и	6	2
235	подчеркнуть что	5	2
236	связанное с	2	2
237	многие из	1	2
238	о чем	5	2
239	что при	1	2
240	в большей	2	2
241	не приходится	1	2
242	одном и	1	2
243	а затем	7	2
244	как у	2	2
245	и через	1	2
246	из своих	2	2
247	для них	2	2
248	не столько	5	2
249	с другими	3	2
250	из многочисленных	1	2
251	процессе своего	1	2
252	все произведение	1	2
253	всего сказанного	2	2
254	но с	1	2
255	в своих	1	2
256	составная часть	1	2
257	что нет	1	2
258	и даже	6	2
259	мышления в	1	2
260	и наконец	5	2
261	этого рода	3	2
262	и слова	2	2
263	в которой	1	2
264	не о	1	2
265	и некоторые	1	2
266	всех его	1	2
267	что она	4	2
268	но не	6	2
269	в ней	10	2
270	но вот	1	2
271	вот это	3	2
272	между собою	6	2
273	в жизни	4	2
274	понимать как	1	2
275	стороны в	3	2
276	эти явления	2	2
277	свидетельствуют о	2	2
278	не подлежит	2	2
279	же как	4	2
280	на эти	1	2
281	между прочим	1	2
282	на этом	7	2
283	другом месте	3	2
284	не вполне	1	2
285	не менее	4	2
286	можно ли	1	2
287	так сказать	2	2
288	только для	4	2
289	бы не	2	2
290	остановимся на	2	2
291	после того	1	2
292	на то	2	2
293	те из	1	2
294	которая не	2	2
295	в чем	6	2
296	числе и	3	2
297	например как	1	2
298	собою и	1	2
299	например у	1	2
300	говорит об	1	2
301	так например	3	2
302	могло бы	1	2
303	но к	1	2
304	сих пор	3	2
305	по его	1	2
306	года и	2	2
307	от них	1	2
308	еще не	5	2
309	с реальной	1	2
310	все они	7	2
311	в каждом	3	2
312	во всяком	1	2
313	и потому	1	2
314	понятно что	1	2
315	еще и	6	2
316	до сих	3	2
317	человека в	1	2
318	и быть	1	2
319	было в	2	2
320	которые обычно	1	2
321	а как	3	2
322	в целях	2	2
323	до нас	4	2
324	то это	1	2
325	в самых	1	2
326	много и	1	2
327	в течение	3	2
328	важно подчеркнуть	1	2
329	рождается из	1	2
330	одной стороны	2	2
331	относится к	3	2
332	познание в	1	2
333	также и	11	2
334	ту же	3	2
335	в другом	4	2
336	но то	1	2
337	не по	1	2
338	искусства и	1	2
339	из себя	1	2
340	формы и	2	2
341	в образах	9	2
342	лишь в	3	2
343	связана с	5	2
344	дель арте	2	2
345	в системе	2	2
346	что многие	2	2
347	плана в	1	2
348	в различных	3	2
349	можно было	5	2
350	образами и	2	2
351	стороны и	1	2
352	и сам	2	2
353	только то	1	2
354	после всего	2	2
355	от того	3	2
356	знаем что	1	2
357	гете и	2	2
358	как известно	2	2
359	искусстве и	2	2
360	на это	1	2
361	например не	1	2
362	и формы	1	2
363	он и	6	2
364	к ним	2	2
365	же самое	3	2
366	в книге	2	2
367	он в	4	2
368	вообще и	1	2
369	заключается в	1	2
370	начиная с	2	2
371	которые в	1	2
372	и у	7	2
373	о его	1	2
374	необходимо и	1	2
375	в известной	5	2
376	одной из	6	2
377	в образе	9	2
378	на него	2	2
379	как от	1	2
380	он не	9	2
381	во всей	1	2
382	или иной	1	2
383	в общем	5	2
384	он может	2	2
385	если они	1	2
386	основываясь на	1	2
387	в области	2	2
388	что даже	2	2
389	только с	1	2
390	у них	2	2
391	к этим	1	2
392	конце концов	1	2
393	меньшей степени	2	2
394	чтобы не	2	2
395	и для	4	2
396	и том	1	2
397	только о	2	2
398	частности к	1	2
399	войны и	2	2
400	ни с	2	2
401	но в	20	2
402	вплоть до	2	2
403	в той	2	1
404	с которой	2	1
405	в большом	1	1
406	для самого	1	1
407	этом плане	1	1
408	неотделимы от	1	1
409	что автор	1	1
410	то в	3	1
411	отношении очень	1	1
412	вот эта	1	1
413	события и	1	1
414	в кругу	1	1
415	от него	2	1
416	и другие	5	1
417	роль играют	2	1
418	смерть и	2	1
419	сводить к	1	1
420	и то	2	1
421	а потому	2	1
422	форм и	5	1
423	ее и	1	1
424	образом и	2	1
425	явлении что	1	1
426	сущность его	1	1
427	ни в	5	1
428	мы видим	6	1
429	но на	3	1
430	труд и	2	1
431	в более	1	1
432	но несколько	1	1
433	можно говорить	2	1
434	связано с	3	1
435	содержания а	1	1
436	и мы	1	1
437	не противоречит	1	1
438	таков первый	1	1
439	появляются и	1	1
440	и радость	1	1
