N	4gram	Voloshinov	TeoriaLi
1	в то же время	6	8
2	мы имеем в виду	1	3
3	ни в коем случае	1	2
4	в коем случае не	1	2
5	в том что он	2	2
6	одно и то же	1	2
7	бы то ни было	2	2
8	но в то же	3	2
9	и в то же	1	2
10	только то что может	1	1
11	том что он не	1	1
12	в том что в	1	1
13	и его роли в	1	1
14	не что иное как	1	1
15	заключается в том что	2	1
16	в том что она	2	1
17	и по отношению к	1	1
18	в таком случае это	1	1
19	дело в том что	1	1
20	во внешнем мире и	1	1
21	и прежде всего к	1	1
22	но в отличие от	1	1
23	в одной из своих	1	1
24	по отношению к его	1	1
25	не может быть и	4	1
26	за пределы всего что	1	1
27	– это и есть	2	1
28	есть не что иное	1	1
