N	2gram	Vygotskiy_	KFilosof
1	может быть	15	45
2	в его	15	42
3	в нем	10	32
4	не может	31	29
5	и не	18	28
6	и в	33	28
7	по отношению	19	26
8	в котором	2	24
9	не есть	4	22
10	отношению к	19	22
11	в себе	4	21
12	только в	21	18
13	и его	6	18
14	в своем	11	17
15	в ее	1	17
16	а не	14	17
17	в этом	43	15
18	для него	9	13
19	не в	10	13
20	точки зрения	27	13
21	к нему	4	12
22	ни в	1	12
23	но не	13	12
24	и это	3	12
25	в своей	5	11
26	все эти	9	11
27	во всех	3	11
28	из себя	1	11
29	все это	2	10
30	это не	8	10
31	с точки	12	10
32	и есть	8	10
33	и для	3	10
34	в целом	8	10
35	в их	4	9
36	и все	2	9
37	но и	14	9
38	как бы	11	9
39	в единстве	2	8
40	не было	1	8
41	если бы	13	8
42	со стороны	3	8
43	было бы	18	8
44	лишь в	1	8
45	в себя	4	8
46	жизни и	2	8
47	себя в	4	8
48	во всем	2	7
49	и здесь	2	7
50	этот момент	2	7
51	что и	11	7
52	должен быть	1	7
53	вовсе не	2	7
54	совершенно не	5	7
55	то что	48	7
56	на основе	6	7
57	для себя	1	7
58	и только	4	7
59	отнюдь не	2	7
60	должно быть	10	6
61	не значит	1	6
62	но все	2	6
63	но эта	1	6
64	я не	6	6
65	не имеет	7	6
66	в смысле	3	6
67	в том	44	6
68	и их	4	6
69	отношение к	12	6
70	место в	2	6
71	он не	13	6
72	но это	4	6
73	от его	1	5
74	со своего	1	5
75	то же	12	5
76	мы имеем	4	5
77	не только	28	5
78	с ним	6	5
79	но как	6	5
80	его в	6	5
81	не знает	6	5
82	в основе	12	5
83	но в	9	5
84	именно в	8	5
85	как и	13	5
86	все же	5	5
87	себя и	2	5
88	еще не	11	5
89	что я	4	5
90	хотя бы	5	5
91	в одном	3	5
92	а в	5	5
93	там где	2	5
94	никогда не	10	5
95	что в	33	4
96	нему в	1	4
97	должна быть	7	4
98	при этом	9	4
99	ни было	1	4
100	что это	1	4
101	не как	3	4
102	для нас	1	4
103	прежде всего	5	4
104	с другим	1	4
105	в своих	5	4
106	места в	1	4
107	как его	2	4
108	с ними	4	4
109	том что	41	4
110	в чем	10	4
111	в каком	2	4
112	входит в	1	4
113	нисколько не	2	4
114	во всей	3	4
115	не по	1	4
116	между тем	5	4
117	здесь мы	1	4
118	тем самым	13	4
119	и т.д	6	4
120	к ним	2	4
121	быть в	3	4
122	для другого	4	4
123	из него	3	4
124	вне ее	1	4
125	от него	3	3
126	и может	4	3
127	положения и	1	3
128	к единому	1	3
129	и на	11	3
130	слово не	1	3
131	на язык	1	3
132	мы не	6	3
133	тогда когда	10	3
134	того что	34	3
135	где он	1	3
136	и этим	1	3
137	сознания и	3	3
138	на самом	3	3
139	ясно что	2	3
140	а все	1	3
141	в виду	4	3
142	и тот	5	3
143	и делает	2	3
144	самом деле	9	3
145	и отношения	3	3
146	тем что	12	3
147	но для	3	3
148	в корне	2	3
149	стороны в	1	3
150	что этот	1	3
151	не дает	2	3
152	рядом с	1	3
153	не менее	4	3
154	для этой	1	3
155	по своему	4	3
156	бы не	1	3
157	один и	5	3
158	может дать	1	3
159	себе и	1	3
160	в момент	4	3
161	той или	1	3
162	в каждом	1	3
163	это и	3	3
164	того или	1	3
165	что не	2	3
166	не могу	1	3
167	в свою	5	3
168	не должен	1	3
169	лежат в	3	3
170	в другом	7	3
171	для того	20	3
172	и должна	1	3
173	в ней	2	3
174	не имеем	1	3
175	этом смысле	5	3
176	в современной	3	3
177	мне как	1	3
178	от того	8	3
179	из его	2	3
180	не быть	1	3
181	только с	1	3
182	могут быть	7	3
183	это единство	1	3
184	до конца	3	3
185	нигде не	2	3
186	котором мы	1	3
187	о том	13	3
188	теории и	4	3
189	и единство	2	3
190	в то	5	3
191	или иного	1	3
192	независимо от	3	3
193	всех этих	1	3
194	и совершенно	1	3
195	теоретическое положение	1	3
196	тот же	7	3
197	и тем	5	3
198	ничего не	6	3
199	или иным	2	2
200	были бы	1	2
201	возможность в	1	2
202	бы то	2	2
203	как к	1	2
204	и эти	2	2
205	действительно ли	3	2
206	каждый отдельный	1	2
207	один из	4	2
208	бы он	1	2
209	ему в	2	2
210	мышления и	8	2
211	может не	3	2
212	чего не	2	2
213	и того	8	2
214	что значит	3	2
215	случае мы	2	2
216	дело с	2	2
217	еще более	5	2
218	конечно в	1	2
219	тому что	14	2
220	в теоретическом	1	2
221	а это	3	2
222	тем не	1	2
223	так и	8	2
224	отсюда следует	1	2
225	из которых	3	2
226	и то	9	2
227	и за	1	2
228	в качестве	13	2
229	нами в	4	2
230	это есть	5	2
231	этих предметов	2	2
232	и когда	1	2
233	сводится к	1	2
234	по себе	8	2
235	в виде	3	2
236	со всеми	2	2
237	оно не	2	2
238	этим путем	1	2
239	не потому	1	2
240	если не	3	2
241	он имеет	6	2
242	говорим о	2	2
243	он может	5	2
244	ее от	1	2
245	ни одна	1	2
246	и навсегда	1	2
247	из нее	5	2
248	в сознании	5	2
249	что за	1	2
250	мы говорим	4	2
251	дело в	1	2
252	в ту	1	2
253	возможности в	1	2
254	в процессе	37	2
255	в жизни	2	2
256	не остается	1	2
257	и должен	2	2
258	с тем	9	2
259	его на	2	2
260	пройти мимо	1	2
261	и как	7	2
262	что он	40	2
263	различия в	2	2
264	в определенной	4	2
265	выход из	1	2
266	и просто	1	2
267	как в	7	2
268	на первом	1	2
269	сознания как	1	2
270	от этого	1	2
271	если я	4	2
272	это было	1	2
273	не нужно	2	2
274	ничего общего	6	2
275	а для	1	2
276	деятельности и	1	2
277	как оно	1	2
278	этого слова	3	2
279	действительности в	1	2
280	поскольку она	1	2
281	к этому	7	2
282	и потому	3	2
283	его и	4	2
284	моего сознания	1	2
285	может иметь	3	2
286	а с	3	2
287	в данном	4	2
288	и других	7	2
289	вытекает из	4	2
290	вопрос о	15	2
291	которой он	1	2
292	раз и	3	2
293	возможным и	1	2
294	оба эти	5	2
295	она не	2	2
296	потому что	40	2
297	того чтобы	26	2
298	то ни	1	2
299	совсем не	1	2
300	но всегда	1	2
301	абсолютно не	1	2
302	суждения и	1	2
303	дело не	2	2
304	ибо это	1	2
305	из самого	1	2
306	в него	1	2
307	именно на	1	2
308	на нем	2	2
309	а по	1	2
310	знает и	1	2
311	говорить о	3	2
312	содержания и	2	2
313	что эта	7	2
314	для этого	3	2
315	отношении к	2	2
316	всех других	1	2
317	не из	1	2
318	этот факт	3	2
319	всей своей	1	2
320	думать что	1	2
321	только это	1	2
322	но этот	3	2
323	имеем в	1	2
324	в этой	8	2
325	он и	1	2
326	психический процесс	1	2
327	и под	1	2
328	всякий предмет	2	2
329	что есть	1	2
330	все остальные	1	2
331	только по	4	2
332	это можно	1	2
333	что только	3	2
334	слова в	3	2
335	взаимопроникновение и	1	2
336	в контекст	1	2
337	научного мышления	3	2
338	или иной	1	2
339	бы оно	3	2
340	включает в	3	2
341	с его	3	2
342	определяется с	1	2
343	в области	19	2
344	его к	2	2
345	мышления как	2	2
346	а как	1	2
347	каждый момент	1	2
348	с ее	1	2
349	сознания в	3	2
350	и ее	2	2
351	едва ли	2	2
352	одного и	9	2
353	другого и	1	2
354	этих моментов	1	2
355	вся эта	1	2
356	гораздо более	1	2
357	себе а	1	2
358	данной области	1	1
359	и значении	1	1
360	всего в	1	1
361	более не	1	1
362	в самом	10	1
363	практически не	1	1
364	возможность не	1	1
365	места но	1	1
366	и к	7	1
367	они имеют	1	1
368	значит перевести	1	1
369	к действительности	1	1
370	новое и	1	1
371	утверждать что	1	1
372	только не	7	1
373	понятий и	22	1
374	влечет за	1	1
375	во втором	2	1
376	все что	2	1
377	как это	11	1
378	при установлении	3	1
379	в единую	1	1
380	образом и	1	1
381	т.е я	1	1
382	мы видим	6	1
383	до сих	3	1
384	и он	3	1
385	этой задачи	1	1
386	собой и	3	1
387	мы найдем	1	1
388	содержится в	5	1
389	что язык	1	1
390	остается совершенно	2	1
391	к единой	1	1
392	так как	20	1
393	момент совершенно	1	1
394	место при	1	1
395	как таковой	2	1
396	смысловой стороны	1	1
397	есть единственное	1	1
398	как с	5	1
399	оперировать с	1	1
400	он стремится	1	1
401	в план	1	1
402	и попытка	2	1
403	и своего	1	1
404	только что	6	1
405	но из	1	1
406	действительно имеют	1	1
407	мысли только	1	1
408	это будет	2	1
409	самого себя	1	1
410	первом случае	2	1
411	факта что	3	1
412	имеют в	1	1
413	зависит от	4	1
414	вообще а	1	1
415	эту мысль	2	1
416	т.е в	1	1
417	на том	4	1
418	она в	1	1
419	значение для	4	1
