N	3gram	Losev_Dial	OGranits
1	с точки зрения	25	5
2	не может быть	12	4
3	до тех пор	1	4
4	тех пор пока	1	3
5	одно и то	2	3
6	есть прежде всего	4	3
7	в том что	12	2
8	не чем иным	1	2
9	не что иное	6	2
10	того или иного	3	2
11	не только его	2	2
12	в зависимости от	3	2
13	представим себе что	1	2
14	в данном случае	3	2
15	но так как	1	2
16	и то же	2	2
17	есть не что	3	2
18	чем иным как	1	2
19	в самом деле	6	2
20	что иное как	6	2
21	с одной стороны	3	2
22	с другой стороны	3	2
23	с самого начала	1	2
24	возможно только в	1	1
25	не было бы	1	1
26	в этот момент	1	1
27	остается только развести	1	1
28	на самом деле	1	1
29	и как бы	2	1
30	включает в себя	1	1
31	развести руками если	1	1
32	иметь в виду	3	1
33	не обязательна но	1	1
34	есть одно и	1	1
35	но в то	1	1
36	это конечно не	1	1
37	но может быть	1	1
38	равно как и	2	1
39	подобно тому как	5	1
40	ничего общего не	2	1
41	в конечном счете	1	1
42	по себе а	2	1
43	собственно говоря даже	1	1
44	если бы мы	1	1
45	так же как	2	1
46	что в ней	1	1
47	тех или иных	2	1
48	на то что	3	1
49	для того чтобы	1	1
50	только потому что	1	1
51	том что в	1	1
52	течение всего своего	1	1
53	ни о какой	1	1
54	и никогда не	1	1
55	можно говорить о	1	1
56	только развести руками	1	1
57	он и не	1	1
58	но это конечно	1	1
59	объект никогда не	1	1
60	в чем же	2	1
61	речь может идти	1	1
62	не только на	1	1
63	что в основе	1	1
64	дуализм с одной	1	1
65	выйти за пределы	2	1
66	то или иное	4	1
67	в чем его	1	1
68	в последнее время	2	1
69	в собственном смысле	1	1
70	только одно из	1	1
71	в нем только	1	1
72	должно было бы	1	1
73	в отличие от	1	1
74	и если наконец	2	1
75	этой точки зрения	4	1
76	ту или иную	1	1
77	как и в	3	1
78	в связи с	3	1
79	то же самое	1	1
80	теперь мы можем	1	1
81	не только одно	1	1
82	и не мог	2	1
83	к тому что	2	1
84	та или иная	3	1
85	будет существовать если	1	1
86	тем не менее	10	1
87	только то что	1	1
88	что же такое	3	1
89	так как все	2	1
90	в этом отношении	2	1
91	то же время	3	1
92	в этот вопрос	1	1
93	далеко не всегда	1	1
94	общего не имеет	1	1
95	не должно быть	2	1
96	собственно говоря и	1	1
97	более или менее	1	1
98	в то же	3	1
99	само по себе	8	1
100	прежде всего в	1	1
101	в виду что	2	1
102	с этой точки	4	1
103	в течение всего	2	1
104	не мог бы	1	1
105	мы не можем	2	1
106	но что же	1	1
107	и вместе с	1	1
108	и не может	1	1
109	и призыв к	1	1
