N	2gram	Kanaev_Sov	Problema
1	и в	7	182
2	и не	6	152
3	вовсе не	1	145
4	не только	4	104
5	в этом	7	88
6	может быть	12	82
7	в том	4	81
8	том что	1	81
9	только в	1	73
10	сказать что	1	72
11	в виде	2	69
12	у нас	3	68
13	и даже	2	66
14	по себе	1	64
15	не менее	2	58
16	о том	1	57
17	тем не	2	56
18	а не	3	56
19	но в	3	55
20	ни в	1	51
21	для нас	3	50
22	в себе	3	48
23	отнюдь не	3	48
24	и вообще	1	48
25	было бы	3	46
26	прежде всего	5	45
27	что в	2	44
28	в его	2	44
29	не в	3	43
30	все эти	5	43
31	то же	3	42
32	таким образом	11	42
33	если мы	4	42
34	и что	2	40
35	так как	4	40
36	во всяком	2	39
37	не может	17	39
38	такого рода	2	39
39	в этой	3	39
40	как бы	4	39
41	той или	1	38
42	в данном	1	38
43	в нем	3	37
44	точки зрения	12	36
45	еще не	3	36
46	и все	3	36
47	когда мы	3	35
48	уже не	2	34
49	как и	6	34
50	же самое	2	33
51	в таком	2	33
52	не является	1	33
53	или иной	2	33
54	в то	1	32
55	но не	1	32
56	так же	1	31
57	в своем	1	31
58	связи с	1	31
59	что такое	2	31
60	в конце	3	31
61	но это	1	31
62	все это	3	31
63	ясно что	3	30
64	и для	1	30
65	с другой	1	30
66	настоящее время	2	30
67	в настоящее	2	30
68	в связи	1	29
69	все же	3	29
70	как мы	2	29
71	что же	5	28
72	данном случае	1	28
73	мы не	9	28
74	а в	4	28
75	и это	1	27
76	хотя и	1	27
77	ничего общего	1	27
78	ничего не	6	27
79	в результате	6	26
80	крайней мере	1	26
81	вместе с	4	26
82	по крайней	1	26
83	это не	4	26
84	и его	1	26
85	мы можем	6	25
86	с точки	5	25
87	всяком случае	2	25
88	на самом	1	24
89	в нашем	2	24
90	не имеет	1	24
91	только и	1	23
92	при этом	3	23
93	то и	2	23
94	есть не	1	23
95	и к	3	22
96	раз и	1	22
97	только на	1	22
98	никогда не	1	22
99	значит что	1	22
100	его в	1	22
101	и от	1	22
102	и есть	2	22
103	и если	1	22
104	в самом	2	21
105	мы должны	4	21
106	говорить о	2	21
107	и только	1	21
108	именно в	1	20
109	но как	1	20
110	можно было	1	20
111	и потому	3	20
112	несмотря на	1	20
113	или в	1	20
114	это значит	1	19
115	кроме того	1	19
116	с ним	1	19
117	самом деле	2	19
118	но если	1	19
119	уже в	3	19
120	но только	1	19
121	этом смысле	1	19
122	он не	1	19
123	если бы	1	19
124	жизни и	4	19
125	необходимо сказать	1	18
126	того же	1	18
127	не было	1	18
128	не будет	1	18
129	и ни	1	18
130	в ней	1	18
131	во всех	1	17
132	но уже	1	17
133	мы уже	1	17
134	совсем не	1	17
135	ни о	1	17
136	это и	1	17
137	совершенно не	2	17
138	что она	3	16
139	же в	1	16
140	но все	2	16
141	случае не	1	16
142	с этим	2	15
143	у него	2	15
144	и более	1	15
145	здесь в	1	15
146	что все	2	14
147	сих пор	1	14
148	только о	1	14
149	этом случае	1	14
150	а это	1	14
151	все равно	1	14
152	до сих	1	14
153	в дальнейшем	4	14
154	не что	1	14
155	то ни	2	14
156	что иное	1	14
157	иное как	1	14
158	из них	4	13
159	сами по	1	13
160	или другой	1	13
161	мы имеем	1	13
162	в области	3	13
163	мы в	1	13
164	те или	1	13
165	дело в	1	13
166	при условии	1	12
167	в другом	1	12
168	он сам	1	12
169	с одной	2	12
170	в которой	2	12
171	для них	1	12
172	является только	1	12
173	каждый раз	6	12
174	в начале	1	12
175	что это	2	12
176	не будем	2	12
177	в целом	4	12
178	бы то	1	11
179	и следовательно	1	11
180	жизни в	1	11
181	тот же	2	11
182	одной стороны	1	11
183	к нему	1	11
184	только не	1	11
185	что его	1	11
186	не могут	2	11
187	и у	1	11
188	мы говорим	1	11
189	и во	2	11
190	и их	1	11
191	и тогда	1	11
192	есть то	1	10
193	один из	1	10
194	со всеми	2	10
195	в одном	3	10
196	представление о	1	10
197	отличается от	3	10
198	все время	1	10
199	в заключение	1	10
200	быть только	1	10
201	он в	3	10
202	из которых	2	10
203	состоит из	3	10
204	не имеют	1	10
205	общего и	1	10
206	быть и	2	10
207	в своих	1	9
208	их в	4	9
209	вопрос о	4	9
210	нет и	4	9
211	то он	1	9
212	но эта	1	9
213	она не	1	9
214	или как	1	9
215	которые в	1	9
216	вообще и	1	9
217	сколько угодно	1	9
218	чем же	1	9
219	а может	1	9
220	и до	1	9
