N	2gram	Propp_Isto	Problema
1	и в	43	182
2	и не	16	152
3	вовсе не	3	145
4	то что	20	144
5	не есть	3	113
6	не только	28	104
7	потому что	8	89
8	в этом	25	88
9	может быть	22	82
10	в том	13	81
11	том что	12	81
12	не просто	4	80
13	только в	8	73
14	сказать что	5	72
15	но и	24	70
16	в виде	2	69
17	у нас	7	68
18	также и	1	68
19	и даже	4	66
20	по себе	3	64
21	не менее	6	58
22	о том	4	57
23	тем не	6	56
24	а не	13	56
25	так и	6	56
26	но в	15	55
27	так что	8	52
28	ни в	2	51
29	для нас	6	50
30	в себе	2	48
31	отнюдь не	1	48
32	при помощи	11	47
33	было бы	5	46
34	прежде всего	3	45
35	в своей	4	45
36	что в	29	44
37	в его	7	44
38	не в	9	43
39	все эти	8	43
40	то же	11	42
41	а именно	8	42
42	как раз	1	42
43	таким образом	15	42
44	и что	6	40
45	и то	4	40
46	что он	17	40
47	так как	13	40
48	что мы	5	40
49	во всяком	2	39
50	не может	8	39
51	такого рода	1	39
52	и тем	2	39
53	в этой	7	39
54	как бы	5	39
55	в данном	7	38
56	хотя бы	3	37
57	никак не	1	37
58	в нем	11	37
59	того что	8	37
60	точки зрения	3	36
61	есть нечто	1	36
62	еще не	15	36
63	и все	4	36
64	когда мы	1	35
65	и т	33	35
66	в виду	2	34
67	уже не	11	34
68	и с	10	34
69	как и	9	34
70	указывает на	6	34
71	же самое	1	33
72	в таком	1	33
73	т д	30	33
74	здесь не	6	32
75	в то	2	32
76	но не	10	32
77	так же	16	31
78	в своем	2	31
79	связи с	9	31
80	что такое	1	31
81	но это	5	31
82	все это	4	31
83	ясно что	2	30
84	подобного рода	1	30
85	и для	3	30
86	с другой	10	30
87	в связи	5	29
88	все же	13	29
89	можно сказать	3	29
90	перед нами	4	29
91	как мы	11	29
92	об этом	8	29
93	что же	2	28
94	данном случае	6	28
95	мы не	3	28
96	а в	13	28
97	есть только	4	28
98	и о	2	28
99	и это	5	27
100	и как	6	27
101	хотя и	4	27
102	ничего общего	1	27
103	ничего не	12	27
104	другой стороны	10	26
105	да и	2	26
106	как будто	2	26
107	вместе с	12	26
108	это не	10	26
109	и его	10	26
110	мы можем	10	25
111	и на	7	25
112	с точки	1	25
113	всяком случае	2	25
114	с тем	3	24
115	на самом	2	24
116	тем более	1	24
117	не имеет	3	24
118	содержит в	2	23
119	таком случае	1	23
120	по своему	1	23
121	на то	4	23
122	при этом	4	23
123	тут же	4	23
124	в качестве	4	23
125	то и	7	23
126	мы находим	1	23
127	есть не	2	23
128	и к	4	22
129	только на	2	22
130	можно ли	3	22
131	никогда не	9	22
132	и является	1	22
133	всех этих	3	22
134	нет ничего	3	22
135	его в	7	22
136	и от	3	22
137	и есть	3	22
138	и если	3	22
139	что и	17	22
140	другими словами	2	22
141	в самом	1	21
142	мы должны	9	21
143	и ее	3	21
144	говорить о	1	21
145	а также	5	21
146	и только	6	21
147	именно в	1	20
148	но как	2	20
149	можно было	3	20
150	и потому	2	20
151	о чем	1	20
152	тем что	8	20
153	несмотря на	1	20
154	как о	1	20
155	или в	14	20
156	это значит	1	19
157	кроме того	1	19
158	в них	6	19
159	с ним	1	19
160	самом деле	1	19
161	в каком	1	19
162	но если	2	19
163	то это	5	19
164	уже в	1	19
165	он не	11	19
166	если не	2	19
167	если бы	7	19
168	как в	6	19
169	как нечто	3	19
170	жизни и	2	19
171	в этих	18	18
172	не было	2	18
173	не будет	1	18
174	мы и	1	18
175	не существует	1	18
176	в ее	1	18
177	в ней	3	18
178	без всякого	1	17
179	что они	14	17
180	во всех	1	17
181	но уже	1	17
182	и здесь	8	17
183	мы уже	9	17
184	в языке	1	17
185	что здесь	8	17
186	это и	4	17
187	совершенно не	2	17
188	точно так	8	16
189	что она	8	16
190	будто бы	1	16
191	как это	5	16
192	он и	4	16
193	же в	6	16
194	для этого	1	16
195	но все	5	16
196	к тому	9	16
197	случае не	1	16
198	далеко не	3	16
199	и сам	1	15
200	казалось бы	2	15
201	с этим	13	15
202	в чем	4	15
203	у него	4	15
204	что не	3	15
205	общего с	1	15
206	и более	3	15
207	здесь в	2	15
208	в частности	6	15
209	уже и	1	14
210	с другими	1	14
211	сих пор	7	14
212	этом случае	8	14
213	все равно	3	14
214	в котором	5	14
215	говорит о	1	14
216	нас в	1	14
217	до сих	7	14
218	в дальнейшем	8	14
219	не что	6	14
220	что иное	6	14
221	иное как	6	14
222	же и	1	13
223	из них	7	13
224	тому что	1	13
225	действительности и	1	13
226	из этого	1	13
227	сами по	1	13
228	только при	1	13
229	мы имеем	24	13
230	или даже	1	13
231	здесь только	1	13
232	в области	1	13
233	который в	1	13
234	уже давно	2	13
235	в других	6	13
236	на земле	2	12
