N	2gram	Bakhtin_fo	Analitik
1	не только	16	71
2	и в	84	66
3	в качестве	6	61
4	но и	14	57
5	в том	16	52
6	может быть	18	52
7	в этом	41	51
8	в частности	11	51
9	как и	15	50
10	и не	19	48
11	а не	7	42
12	при этом	8	40
13	том что	7	40
14	то есть	42	35
15	так и	17	35
16	в мире	4	31
17	своего рода	1	30
18	отнюдь не	7	29
19	как бы	11	29
20	не может	8	29
21	а в	6	28
22	в его	19	27
23	и его	26	27
24	не в	10	26
25	но не	9	26
26	в себе	7	24
27	что в	9	22
28	и даже	5	22
29	к тому	6	22
30	в этой	3	22
31	лишь в	8	21
32	о том	4	20
33	и т.п	6	20
34	в самом	9	19
35	то же	18	19
36	в своей	2	19
37	по отношению	3	19
38	с его	10	19
39	но в	16	19
40	в данном	4	18
41	в то	13	18
42	отношению к	5	18
43	с другой	4	17
44	только в	12	17
45	или иной	4	17
46	в целом	2	17
47	что и	5	16
48	могут быть	7	16
49	то что	13	16
50	в пределах	8	16
51	и на	13	15
52	между тем	1	15
53	уже не	5	15
54	прежде всего	28	15
55	в сущности	5	15
56	в их	9	15
57	того же	9	14
58	себя в	2	14
59	я и	1	14
60	в себя	3	14
61	той или	3	14
62	мы имеем	2	14
63	же время	13	14
64	в отличие	3	14
65	данном случае	2	14
66	отличие от	3	14
67	далеко не	3	14
68	по себе	3	13
69	точки зрения	14	13
70	тому же	2	13
71	в случае	1	13
72	он не	6	13
73	этого слова	2	13
74	ничего не	9	13
75	как раз	13	13
76	для него	5	13
77	а также	5	13
78	в начале	3	13
79	и к	4	12
80	и сам	2	12
81	никогда не	8	12
82	как это	2	12
83	сводится к	1	12
84	как в	10	12
85	еще не	8	12
86	в эпизоде	6	12
87	есть не	4	12
88	в той	5	11
89	по своей	1	11
90	в свою	2	11
91	той же	2	11
92	это не	8	11
93	можно сказать	2	11
94	и как	12	11
95	не следует	1	11
96	нуждается в	1	11
97	именно в	5	10
98	все же	12	10
99	с одной	5	10
100	в произведении	1	10
101	в конце	11	10
102	было бы	2	10
103	однако в	1	10
104	отношения к	7	10
105	здесь не	5	10
106	со своей	3	10
107	особенно в	3	10
108	один из	5	10
109	на себя	2	10
110	говорить о	1	9
111	говорит о	1	9
112	не столько	2	9
113	в результате	6	9
114	другой стороны	1	9
115	на фоне	3	9
116	и того	7	9
117	одной стороны	3	9
118	свою очередь	1	9
119	в своем	8	9
120	по поводу	1	9
121	таким образом	14	9
122	во всех	13	9
123	за пределы	1	9
124	имеет место	6	9
125	особого рода	1	9
126	значении этого	1	9
127	вместе с	9	9
128	автора и	4	9
129	вступает в	2	9
130	того что	5	9
131	как уже	3	9
132	что касается	1	9
133	дело с	1	8
134	о чем	4	8
135	роль в	12	8
136	между двумя	6	8
137	одной из	3	8
138	с ним	5	8
139	если бы	6	8
140	и все	10	8
141	что он	2	8
142	перед нами	1	8
143	не является	4	8
144	в основе	9	8
145	с точки	9	8
146	хотя и	5	8
147	этом отношении	5	8
148	времени и	10	8
149	дело не	1	8
150	он и	1	8
151	во всяком	5	7
152	в другом	2	7
153	времени в	14	7
154	в одном	10	7
155	как мы	19	7
156	в нашем	3	7
157	одна из	3	7
158	по природе	2	7
159	по преимуществу	4	7
160	внимание на	2	7
161	несмотря на	1	7
162	в ее	6	7
163	у него	8	7
164	в таком	4	7
165	как говорит	1	7
166	героя и	7	7
167	картины мира	2	7
168	природе своей	2	7
169	личности и	2	7
170	и тем	1	7
171	и является	2	7
172	приводит к	1	7
173	притча о	1	7
174	в соответствии	2	7
175	всяком случае	1	7
176	и для	12	7
177	жизни но	7	7
178	в литературе	17	7
179	все это	10	7
180	однако не	2	7
181	в новом	1	7
182	на его	1	7
183	во времени	6	7
184	художественного мира	1	7
185	и т.д	2	7
186	себя и	6	7
187	место в	4	7
188	вплоть до	3	7
189	во всем	3	6
190	для всех	3	6
191	с самим	6	6
192	те же	5	6
193	или в	3	6
194	при всей	1	6
195	одного и	6	6
196	хотя бы	2	6
197	с другим	1	6
198	вовсе не	20	6
199	из них	8	6
200	то в	2	6
201	не знает	4	6
202	что не	3	6
203	могла бы	1	6
204	его как	1	6
205	в нем	28	6
206	он был	2	6
207	если в	1	6
208	на этом	2	6
209	из которых	1	6
210	из того	1	6
211	не более	1	6
212	самим собой	2	6
213	вследствие этого	4	6
214	и более	3	6
215	из этих	5	6
216	соответствии с	2	6
217	и то	5	6
218	уже в	5	6
219	есть в	3	6
220	по его	1	6
221	должен быть	2	6
222	его в	8	6
223	тем более	4	6
224	же в	6	6
225	что на	3	6
226	все что	2	5
227	без исключения	1	5
228	не как	2	5
229	а затем	3	5
230	в состав	1	5
231	в этих	6	5
232	в них	11	5
233	по пути	1	5
234	тем что	4	5
235	в один	2	5
236	исходя из	1	5
237	в котором	8	5
238	входит в	3	5
239	для того	12	5
240	для себя	8	5
241	встречи с	2	5
242	в эту	1	5
243	к этому	5	5
244	в организации	1	5
245	и он	3	5
246	проявляется в	1	5
247	с другими	3	5
248	иного рода	1	5
249	к жизни	2	5
250	ни в	9	5
251	не о	2	5
252	я не	1	5
253	и до	7	5
254	того и	3	5
255	но как	1	5
256	так что	4	5
257	и по	5	5
