N	2gram	Tiupa_Anal	Myshleni
1	в том	36	195
2	внутренней речи	9	191
3	в этом	31	167
4	то что	11	166
5	и в	30	162
6	том что	21	161
7	таким образом	5	147
8	точки зрения	10	143
9	что в	7	119
10	не только	30	116
11	того что	5	109
12	в процессе	2	101
13	так же	1	100
14	речи и	2	99
15	и речи	1	96
16	потому что	3	95
17	того чтобы	3	91
18	может быть	33	89
19	с точки	6	89
20	что он	3	86
21	не может	26	81
22	как и	23	79
23	для того	4	78
24	так как	3	78
25	и не	33	78
26	только в	8	75
27	в целом	9	74
28	как мы	3	72
29	речи в	3	70
30	но и	29	70
31	заключается в	2	67
32	в его	15	67
33	сказать что	2	65
34	как бы	15	64
35	вместе с	6	62
36	представляет собой	23	60
37	и что	2	60
38	было бы	4	60
39	в качестве	38	60
40	то же	12	58
41	в основе	6	58
42	мышления в	1	56
43	в отношении	2	55
44	могли бы	2	54
45	между собой	2	53
46	в силу	4	53
47	что мы	3	53
48	в самом	12	52
49	в сущности	10	51
50	мы должны	2	50
51	к тому	12	49
52	тем что	2	48
53	тогда когда	3	47
54	на основе	3	47
55	мы не	1	47
56	внутренняя речь	1	47
57	если бы	6	46
58	по отношению	10	45
59	но не	13	45
60	с другой	7	45
61	с тем	1	43
62	тем самым	9	43
63	тому что	2	42
64	как это	5	42
65	отношению к	9	42
66	в ходе	5	41
67	не является	3	41
68	о том	11	40
69	по своей	6	40
70	одной стороны	6	40
71	никогда не	4	39
72	с одной	7	39
73	так и	16	39
74	в области	4	38
75	и к	5	37
76	вопрос о	2	37
77	мы видим	1	37
78	не в	17	37
79	в этой	12	37
80	в своем	2	36
81	речи как	1	36
82	все эти	3	36
83	как в	3	36
84	а не	25	36
85	и его	9	36
86	того же	7	35
87	с другом	2	35
88	можно было	1	35
89	в себе	17	35
90	в которой	3	35
91	и т.д	4	35
92	друг с	2	35
93	он не	4	35
94	для себя	3	35
95	связи с	2	34
96	во внутренней	2	34
97	и как	6	34
98	приводит к	2	34
99	прежде всего	8	33
100	при этом	20	33
101	по себе	6	33
