N	3gram	Trubetskoy	Morfolog
1	в этом случае	3	10
2	не может быть	4	9
3	в связи с	1	9
4	по отношению к	1	7
5	с точки зрения	9	6
6	тем не менее	1	6
7	в том что	7	4
8	на самом деле	6	4
9	к тому что	2	4
10	но все же	1	4
11	на то что	4	3
12	в большинстве случаев	2	3
13	о том что	2	3
14	в обмен на	1	3
15	для того чтобы	6	3
16	в настоящее время	2	3
17	бы то ни	4	3
18	состоит в том	1	3
19	в том случае	4	3
20	на первый взгляд	1	3
21	к чему не	1	2
22	ни к чему	2	2
23	говорить о том	1	2
24	более или менее	4	2
25	том случае если	3	2
26	со стороны их	1	2
27	можно было бы	3	2
28	точно так же	2	2
29	и таким образом	1	2
30	в данном случае	3	2
31	и в других	1	2
32	то ни было	1	2
33	во всяком случае	6	2
34	к вопросу о	3	2
35	в этом отношении	1	2
36	вопрос о том	1	2
37	друг к другу	1	2
38	нас слишком далеко	1	1
39	в свою очередь	1	1
40	совершенно очевидно также	1	1
41	ни одна не	1	1
42	мы уже знаем	1	1
43	мы прежде всего	1	1
44	в применении к	1	1
45	до известной степени	1	1
46	том случае когда	1	1
47	бы нас слишком	1	1
48	а с ними	1	1
49	на ряду с	1	1
50	она могла бы	1	1
51	но как бы	1	1
52	только в том	2	1
53	то в большинстве	1	1
54	во что бы	3	1
55	в этом и	1	1
56	в то же	10	1
57	тех или иных	1	1
58	на этот вопрос	1	1
59	прежде всего о	1	1
60	в противном случае	1	1
61	друг с другом	14	1
62	что бы то	3	1
63	до сих пор	5	1
64	совершенно ясно что	1	1
65	так как это	1	1
66	ни одна из	2	1
67	главным образом как	1	1
68	и что его	1	1
69	между собой и	1	1
70	той или иной	3	1
71	было бы показать	1	1
72	это завело бы	1	1
73	и не так	1	1
74	во всех этих	1	1
75	то что же	1	1
76	всех этих случаях	1	1
77	с самого начала	1	1
78	особое значение и	1	1
79	и в некоторых	1	1
80	что он может	1	1
81	может быть достигнуто	1	1
82	лишь постольку поскольку	1	1
83	как же может	1	1
84	в другом случае	2	1
85	между прочим и	1	1
86	то же время	10	1
87	из которых каждый	2	1
88	так же и	1	1
89	при таких условиях	3	1
90	очевидно также и	1	1
91	завело бы нас	1	1
92	он не может	1	1
93	потому что они	1	1
94	как бы то	1	1
95	то ни стало	3	1
