N	3gram	Vygotskiy_	Stilisti
1	в то же	2	9
2	для того чтобы	19	7
3	в зависимости от	8	7
4	то же время	2	7
5	с точки зрения	34	5
6	одно и то	2	5
7	и т.д и	2	5
8	и то же	2	5
9	в свою очередь	3	4
10	той или иной	2	4
11	заключает в себе	1	4
12	ту или иную	1	4
13	и той же	2	4
14	одной и той	2	4
15	с самого начала	9	4
16	то же самое	4	4
17	то что мы	1	4
18	прежде всего в	2	4
19	в общественной жизни	1	3
20	но и в	1	3
21	которые связаны с	1	3
22	но для того	1	3
23	во всех своих	1	3
24	как мы уже	4	3
25	на самом деле	3	3
26	в конце концов	1	3
27	как мы видели	1	3
28	мы уже видели	2	3
29	не только в	1	3
30	и тем самым	4	3
31	но все же	1	3
32	мы видели что	4	2
33	должны были бы	2	2
34	само собой разумеется	1	2
35	все больше и	1	2
36	в самом деле	5	2
37	может показаться что	1	2
38	все то что	1	2
39	мы можем не	1	2
40	вместе с тем	5	2
41	и том же	1	2
42	же самое время	1	2
43	не может быть	8	2
44	больше и больше	1	2
45	по отношению к	11	2
46	и внешней речью	1	2
47	мы имели в	1	2
48	внутренней речи и	5	2
49	о том что	10	2
50	в действительной жизни	1	2
51	мы увидим что	2	2
52	но об этом	1	2
53	можно сказать что	5	2
54	имели в виду	1	2
55	того что оно	1	2
56	и как бы	1	2
57	мы будем говорить	1	2
58	в сознании человека	1	2
59	его внутренней речи	2	2
60	одном и том	1	2
61	смысле этого слова	6	2
62	что перед нами	3	2
63	с тем и	1	2
64	зависимости от того	1	2
65	и в то	1	2
66	тех случаях когда	1	2
67	как мы увидим	1	2
68	в связи с	3	2
69	к тому что	3	2
70	и т.п но	1	2
71	и на его	1	2
72	в этом отношении	6	2
73	в значительной степени	2	2
74	тот или иной	1	2
75	или хотя бы	1	2
76	в тех случаях	1	2
77	если бы даже	1	1
78	выходящее за пределы	1	1
79	в том что	30	1
80	действительность но и	1	1
81	благодаря тому что	3	1
82	собственном смысле слова	4	1
83	в том и	1	1
84	в одном из	2	1
85	таким образом мы	1	1
86	развития речи это	1	1
87	вот что говорит	1	1
88	не может сказать	2	1
89	мы должны были	2	1
90	а с помощью	1	1
91	о которой мы	2	1
92	о котором мы	1	1
93	мы наблюдаем в	1	1
94	котором мы говорили	1	1
95	мы уже знаем	1	1
96	но вместе с	5	1
97	независимо от развития	1	1
98	в конечном счете	4	1
99	являются как бы	1	1
100	которому он принадлежит	1	1
101	как и вообще	1	1
102	которой мы встречаемся	1	1
103	по крайней мере	1	1
104	что в одном	1	1
