N	4gram	Losev_Prob	Problema
1	в то же время	1	3
2	бы то ни было	2	2
3	в коем случае не	1	2
4	с другой же стороны	1	2
5	ни в коем случае	3	2
6	ни в чем не	2	2
7	была бы не чем	1	1
8	хотя они могут быть	1	1
9	не обходится и без	1	1
10	в связи с теорией	1	1
11	не говоря уже о	2	1
12	в том смысле что	1	1
13	дело в том что	4	1
14	бы не чем иным	1	1
15	не что иное как	3	1
16	и с точки зрения	1	1
17	и в частности для	1	1
18	не чем иным как	3	1
19	с ног до головы	1	1
20	и тем не менее	1	1
21	бы то ни стало	1	1
22	ног до головы он	1	1
23	во что бы то	1	1
24	ни в какой мере	3	1
25	но в то же	2	1
26	вопрос о том как	1	1
27	в нем не только	1	1
28	что бы то ни	1	1
29	в то время как	4	1
30	мы имеем дело с	1	1
31	несмотря на то что	1	1
