N	4gram	Vinokur_St	Marksizm
1	в то же время	5	15
2	бы то ни было	1	12
3	но в то же	2	9
4	одни и те же	1	5
5	каких бы то ни	1	4
6	не может быть и	1	4
7	может быть и речи	1	4
8	в том что он	3	4
9	в том числе и	2	3
10	одно и то же	1	3
11	в той или иной	1	3
12	одним и тем же	2	3
13	и в том что	1	2
14	именно в том что	1	2
15	с нашей точки зрения	1	2
16	и пр но и	1	2
17	так же как и	1	2
18	то не проще ли	1	1
19	на самом деле конечно	1	1
20	ни в каком случае	1	1
21	до сих пор и	1	1
22	и в этом случае	2	1
23	с точки зрения той	1	1
24	как и во всякой	1	1
25	для того чтобы показать	1	1
26	иначе и быть не	1	1
27	о том что слово	1	1
28	он должен был бы	1	1
29	хотя бы в форме	1	1
30	с их точки зрения	1	1
31	говоря уже о том	1	1
32	дело в том что	7	1
33	для того чтобы не	1	1
34	лишь на то что	1	1
35	и по отношению к	1	1
36	самом деле конечно и	1	1
37	уже о том что	2	1
38	языка не может быть	1	1
39	само собою разумеется что	2	1
40	не говоря уже о	2	1
41	мы на самом деле	1	1
42	бы они ни были	1	1
43	только с точки зрения	1	1
44	с другой же стороны	1	1
45	как бы ни была	1	1
46	как бы они ни	1	1
47	в том что здесь	2	1
48	с другой стороны и	1	1
49	и та и другая	1	1
50	свидетельствует о том что	1	1
51	и быть не могло	1	1
52	в самом деле было	1	1
53	ответ на эти вопросы	1	1
54	до сих пор не	1	1
55	само собой разумеется что	1	1
