N	3gram	Kanaev_Sov	VerxiiNi
1	с одной стороны	1	7
2	с точки зрения	5	6
3	во всяком случае	2	6
4	друг с другом	2	5
5	по крайней мере	1	5
6	до сих пор	1	5
7	но все же	1	4
8	в том что	1	3
9	так же как	1	3
10	всяком случае не	1	3
11	в связи с	1	3
12	тем не менее	2	3
13	той или иной	1	2
14	с самого начала	3	2
15	то ни было	1	2
16	заключает в себе	1	2
17	мы должны признать	1	2
18	то же самое	2	2
19	бы то ни	1	2
20	то же время	1	2
21	в то же	1	2
22	влечет за собой	1	2
23	друг на друга	1	2
24	и в этом	1	2
25	может быть и	2	2
26	мы видели что	3	1
27	сами по себе	1	1
28	предполагается что все	1	1
29	только не в	1	1
30	все более и	1	1
31	в свою очередь	2	1
32	и тот же	1	1
33	в настоящее время	2	1
34	в этом направлении	1	1
35	будет продолжаться но	1	1
36	в этой области	1	1
37	мы видим что	1	1
38	не может быть	4	1
39	по отношению к	1	1
40	и в то	1	1
41	в данном случае	1	1
42	и все же	1	1
43	в отличие от	2	1
44	ясно что все	1	1
45	и в настоящее	1	1
46	и действительно если	1	1
47	между собой поэтому	1	1
48	один и тот	1	1
49	не более как	1	1
50	не может не	3	1
51	и есть то	1	1
52	может быть в	1	1
53	на этот раз	1	1
54	в самом деле	1	1
55	тот факт что	1	1
56	каждая из этих	1	1
57	совершенно так же	1	1
58	и что она	1	1
59	но тем не	1	1
60	не в том	1	1
61	таким образом он	1	1
62	и не можем	1	1
63	более и более	1	1
64	но они не	1	1
