N	2gram	Berdyaev_N	DiskursI
1	а не	17	60
2	может быть	7	56
3	не только	5	49
4	и в	16	49
5	как и	7	47
6	и не	11	44
7	в том	8	44
8	том что	2	40
9	в этом	7	38
10	в себе	2	37
11	но и	3	35
12	и т.п	2	32
13	своего рода	1	32
14	но не	2	31
15	отличие от	1	28
16	но в	2	28
17	так и	2	28
18	в отличие	1	27
19	не может	16	27
20	по своей	1	26
21	как в	3	25
22	такого рода	2	24
23	еще не	3	23
24	а также	1	20
25	в своей	3	19
26	в нем	5	19
27	прежде всего	4	19
28	в основе	3	18
29	с другой	3	17
30	в мире	3	17
31	только в	1	16
32	о том	4	15
33	то что	4	15
34	роль в	2	15
35	в его	1	15
36	не менее	4	14
37	можно сказать	1	14
38	одной стороны	2	14
39	с одной	2	14
40	не в	6	14
41	ни к	2	14
42	это не	4	14
43	в своем	1	12
44	того же	1	12
45	природе своей	1	12
46	и на	2	12
47	и все	4	12
48	по природе	1	11
49	не было	4	11
50	что в	9	11
51	с его	6	11
52	не столько	1	10
53	для себя	1	10
54	а в	2	10
55	в них	4	9
56	уже не	2	9
57	себя в	2	9
58	в силу	1	9
59	в то	2	9
60	еще в	1	9
61	в этих	1	8
62	и даже	2	8
63	к тому	3	8
64	в котором	1	8
65	из них	1	8
66	хотя и	2	8
67	он не	8	8
68	не на	1	8
69	жизни в	3	8
70	потому что	4	8
71	человека в	1	8
72	не с	1	8
73	другой стороны	2	7
74	в этой	1	7
75	могут быть	2	7
76	ни в	6	7
77	приводит к	1	7
78	но это	6	7
79	и для	4	7
80	нового времени	12	7
81	лишь в	6	7
82	и его	1	7
83	и того	1	6
84	времени в	2	6
85	одна из	2	6
86	никогда не	6	6
87	в ее	3	6
88	не знает	6	6
89	во всех	3	6
90	в сущности	1	6
91	что он	1	6
92	в истории	3	6
93	в эпоху	9	6
94	времени и	2	6
95	тому как	3	6
96	в период	1	6
97	в той	1	5
98	в виду	1	5
99	обращения к	1	5
100	к своим	1	5
101	своей природе	1	5
102	не всегда	1	5
103	говорить о	1	5
104	значительной степени	1	5
105	в прошлом	3	5
106	к ним	3	5
107	сказать что	3	5
108	на протяжении	2	5
109	к себе	1	5
110	рода в	1	5
111	с ее	5	5
112	тем что	1	5
113	одного и	1	5
114	подобно тому	3	5
115	за пределы	3	5
116	оно не	1	5
117	в свою	1	5
118	в значительной	1	5
119	переход от	1	5
120	к той	1	5
121	в ней	5	5
122	мира и	2	5
123	и потому	4	5
124	из этих	1	5
125	но она	2	5
126	как будто	2	5
127	не к	2	5
128	в самом	1	4
129	и к	5	4
130	человеческой жизни	1	4
131	ни одна	2	4
132	и до	1	4
133	в жизни	5	4
134	в речах	1	4
135	во всяком	1	4
136	бытия а	1	4
137	привело к	1	4
138	по преимуществу	1	4
139	к жизни	3	4
140	будто бы	1	4
141	что не	1	4
142	я не	2	4
143	не есть	3	4
144	по себе	1	4
145	и это	2	4
146	в наше	3	4
147	как это	2	4
148	должны быть	1	4
149	и есть	10	4
150	наше время	4	4
151	жизни а	1	4
152	с ним	1	4
153	не могут	1	4
154	особого рода	1	4
155	можно назвать	2	4
156	и во	1	4
157	зависит от	2	4
158	того и	1	4
159	не для	1	4
160	есть в	2	4
161	далеко еще	1	4
162	по своему	4	4
163	а на	1	4
164	может иметь	1	4
165	а к	1	4
166	одну из	1	4
167	а по	1	4
168	своей основе	1	4
169	более не	2	3
170	которая в	1	3
171	характер и	1	3
172	на смену	1	3
173	но все	1	3
174	их в	1	3
175	с этим	2	3
176	вопрос о	3	3
177	имея в	1	3
178	как на	1	3
179	ближе к	1	3
180	к которому	1	3
181	стремится к	3	3
182	или не	1	3
183	в которой	1	3
184	к чему	1	3
185	на себя	1	3
186	в области	1	3
187	и что	2	3
188	было бы	1	3
189	и от	2	3
190	не случайно	1	3
191	современной культуры	1	3
192	должна быть	3	3
193	с миром	1	3
194	но также	1	3
195	истории в	5	3
196	как не	8	3
197	вместе с	2	3
198	перед лицом	1	3
199	не имеет	4	3
200	но оно	1	3
201	это и	2	3
202	и более	1	3
203	который не	1	3
204	образ человека	1	3
205	значение для	1	3
206	всяком случае	1	3
207	жизни не	3	3
208	к содержанию	2	3
209	они не	1	3
210	и было	2	3
211	том числе	1	3
212	уже в	1	3
213	мы не	2	3
214	в формах	1	3
215	с их	2	3
216	место в	2	3
217	все эти	2	3
218	в новом	2	3
219	том случае	1	3
220	она не	3	3
221	хотя бы	2	3
222	в большинстве	1	3
223	числе и	1	3
224	к ней	1	3
225	слова в	1	3
226	жизни и	8	3
227	бытия в	2	3
228	для этого	2	3
229	мира с	1	3
230	во всем	1	2
231	для всех	1	2
232	из сторон	1	2
233	и героя	1	2
234	мысли и	2	2
235	из ее	2	2
236	быть признана	1	2
237	и с	2	2
238	жизнь в	1	2
239	обращение к	2	2
240	не могли	2	2
241	для того	1	2
242	которых не	2	2
243	жизни как	2	2
244	том чтобы	2	2
245	который в	2	2
246	к нему	1	2
247	должно быть	4	2
248	бытия и	1	2
249	человек как	1	2
250	с другими	1	2
251	природу и	1	2
252	у него	2	2
253	что она	2	2
254	но для	2	2
255	же как	2	2
256	большинстве случаев	1	2
257	должно было	2	2
258	себе и	1	2
259	в чем	1	2
260	вопроса о	1	2
261	не был	1	2
262	и быть	1	2
263	в новое	3	2
264	оба они	1	2
265	она сама	1	2
266	к лицу	3	2
267	на ее	1	2
268	и должно	2	2
269	к вечности	2	2
270	нашего времени	2	2
271	и вполне	1	2
272	том и	2	2
273	о природе	1	2
274	сами по	1	2
275	ни одно	1	2
276	в россии	3	2
277	в xix	1	2
278	себя и	1	2
279	отнести к	1	2
280	не имеют	2	2
281	не должно	1	2
282	и вся	1	2
283	вступает в	1	2
284	и ему	1	2
285	к одному	1	2
286	новое время	4	2
287	на их	1	2
288	он есть	1	2
289	было и	1	2
290	друг друга	1	2
291	во времени	1	2
292	значение в	1	2
293	выходит за	1	2
294	свидетельствует о	1	2
295	все это	5	2
296	истории с	1	2
297	лицом к	3	2
298	это всегда	1	2
299	отказаться от	1	2
300	что будет	1	2
301	себя а	1	2
302	по существу	2	2
303	он видел	1	2
304	перед собой	1	2
305	это было	3	2
306	за его	1	2
307	связаны с	2	2
308	ему не	1	2
309	переходе от	2	2
310	случае если	1	2
311	не по	1	2
312	мы должны	1	2
313	и их	1	2
314	заключает в	1	2
315	оно лишь	1	2
316	такой же	2	2
317	и только	1	2
318	человек не	1	2
319	эпохи и	4	2
320	жизнью и	1	2
321	героя но	1	2
322	для другого	1	2
323	уже во	1	1
324	возможно лишь	1	1
325	же и	1	1
326	когда она	1	1
327	изнутри и	1	1
328	к этой	1	1
329	мыслить в	1	1
330	и имеет	1	1
331	людей но	1	1
332	жизни во	1	1
333	имеют никакого	1	1
334	в категориях	2	1
335	событиях и	1	1
336	одному из	1	1
337	социальной жизни	1	1
338	а белый	1	1
339	мы живем	5	1
340	равно как	2	1
341	жизни мир	1	1
342	вопрос этот	1	1
343	к более	2	1
344	историческое время	1	1
345	с тем	3	1
346	христианской культуры	1	1
347	выход из	1	1
348	в природе	2	1
349	в это	1	1
350	мир и	2	1
351	культуры в	5	1
352	нем нет	2	1
353	истины о	1	1
354	и нет	1	1
355	в такой	1	1
356	во все	1	1
357	не существует	3	1
358	то это	1	1
359	и повести	1	1
360	человека не	1	1
361	духовной жизни	2	1
362	она могла	1	1
363	в каких	1	1
364	из их	1	1
365	в этот	1	1
366	что вся	1	1
367	средних веков	1	1
368	это представляется	2	1
369	всего как	1	1
370	философия не	1	1
371	превращается в	1	1
372	в смысле	2	1
373	так же	2	1
374	оно существует	1	1
