N	3gram	Vinokur_Vv	Otkroven
1	о человеке и	1	5
2	у него в	1	5
3	для того чтобы	22	3
4	с разных сторон	1	2
5	сказать что они	1	2
6	не могут быть	2	2
7	с тем что	3	2
8	человеческой природы и	1	2
9	не может быть	10	2
10	человека в его	1	2
11	но и в	1	2
12	и никогда не	1	2
13	и в этом	4	2
14	сам по себе	2	1
15	но от этого	1	1
16	о которой в	1	1
17	в одном месте	1	1
18	о том что	13	1
19	в том что	15	1
20	того чтобы сделать	1	1
21	не в том	2	1
22	в том-то и	1	1
23	в нем все	1	1
24	и то что	3	1
25	одна из сторон	1	1
26	бы и не	1	1
27	и вопрос о	1	1
28	и дело что	1	1
29	может быть назван	1	1
30	то что в	1	1
31	в самом деле	6	1
32	и не в	1	1
33	как будто бы	2	1
34	смысле этого слова	2	1
35	по себе есть	1	1
36	во всяком случае	5	1
37	это было у	1	1
38	в каждом из	1	1
39	прежде всего он	1	1
40	человека к человеку	1	1
41	строгом смысле этого	1	1
42	и в самом	3	1
43	в глубине человеческой	1	1
44	в другом месте	2	1
45	в эпоху возрождения	1	1
46	само по себе	4	1
47	и прежде всего	1	1
48	в этом отношении	4	1
49	люди с их	1	1
50	по сравнению с	4	1
51	потому что в	1	1
52	а не только	1	1
53	в строгом смысле	3	1
54	в том только	1	1
55	привести ни к	1	1
56	от того что	1	1
57	заключает в себе	1	1
58	том что в	1	1
59	прежде всего в	1	1
60	человеческого духа в	1	1
61	и в том	4	1
62	том-то и дело	1	1
63	что в центре	1	1
64	после того как	2	1
65	каждом из них	1	1
66	глубине человеческой природы	1	1
