N	2gram	Vinokur_Ku	Morfolog
1	и т	62	62
2	может быть	25	61
3	т д	21	60
4	и пр	23	45
5	таким образом	17	26
6	т е	54	25
7	могут быть	5	21
8	так как	16	20
9	мы имеем	11	19
10	не может	13	19
11	в этом	31	18
12	в этих	5	17
13	и в	44	17
14	и не	23	16
15	этих случаях	2	15
16	перед нами	4	14
17	с этим	6	14
18	прежде всего	14	14
19	по существу	9	13
20	связи с	8	12
21	и др	1	12
22	а не	17	11
23	заметить что	1	11
24	чаще всего	2	11
25	что в	25	10
26	то же	12	10
27	вопрос о	11	10
28	мы увидим	3	10
29	не всегда	4	10
30	но если	2	10
31	этом случае	4	10
32	в том	47	10
33	так и	10	10
34	что и	5	10
35	в связи	4	10
36	составные части	1	10
37	то что	14	10
38	все же	17	9
39	с другой	14	9
40	но и	13	9
41	можно наблюдать	1	8
42	не только	29	8
43	в результате	8	8
44	имеем в	1	8
45	мы не	1	8
46	в качестве	12	8
47	но не	11	8
48	представляет собою	1	8
49	в тех	4	8
50	а в	7	8
51	как мы	2	8
52	во втором	2	7
53	один из	8	7
54	и здесь	8	7
55	если в	2	7
56	не могут	5	7
57	не менее	12	7
58	том что	30	7
59	потому что	40	7
60	по отношению	9	7
61	в лес	1	7
62	наряду с	2	7
63	точки зрения	25	7
64	как это	6	7
65	тем не	10	7
66	или же	3	7
67	а также	3	7
68	отношению к	9	7
69	и другие	1	6
70	о том	10	6
71	сказки и	1	6
72	большей частью	1	6
73	как бы	11	6
74	не все	4	6
75	увидим ниже	1	6
76	но это	4	6
77	это не	13	6
78	с точки	16	6
79	в нашем	8	6
80	или в	5	6
81	и как	3	6
82	вовсе не	18	6
83	во всех	1	6
84	если мы	5	6
85	очень часто	2	6
86	также и	7	6
87	в форме	3	6
88	они и	1	5
89	из которых	3	5
90	другой стороны	12	5
91	в первом	3	5
92	вслед за	1	5
93	что он	7	5
94	как в	6	5
95	со стороны	8	5
96	видно что	2	5
97	то это	3	5
98	хотя бы	19	5
99	было бы	28	5
100	в точности	2	5
101	к тому	8	5
102	ничего не	6	5
103	что они	5	5
104	хотя и	7	5
105	то мы	4	5
106	два раза	1	5
107	прежде чем	1	5
108	тому что	3	5
109	учение о	4	5
110	ясно что	7	5
111	все эти	17	5
112	одна из	1	5
113	на его	3	5
114	об этом	4	5
115	в других	1	5
116	там где	7	5
117	мы можем	2	5
118	сюда же	3	5
119	здесь можно	2	5
120	между тем	11	5
121	он не	4	5
122	если же	1	5
123	далеко не	2	5
124	главным образом	3	5
125	в ходе	1	5
126	в целом	5	5
127	и к	1	4
128	смысле слова	3	4
129	в некоторых	1	4
130	есть и	1	4
131	на этом	4	4
132	нами в	1	4
133	как и	3	4
134	самом деле	17	4
135	но все	5	4
136	показать что	2	4
137	тем что	9	4
138	уже не	13	4
139	еще не	10	4
140	не является	2	4
141	а если	5	4
142	тех же	2	4
143	того чтобы	25	4
144	говорить о	5	4
145	так же	8	4
146	сказать что	5	4
147	следующим образом	1	4
148	и для	3	4
149	из них	4	4
150	но в	11	4
151	к началу	1	4
152	получает в	1	4
153	несмотря на	6	4
154	на самом	3	4
155	не хватает	1	4
156	его в	1	4
157	что его	2	4
158	к этому	4	4
159	в то	4	4
160	мы уже	1	4
161	в руки	1	4
162	можно было	14	4
163	этот вопрос	7	4
164	от того	5	4
165	в иных	3	4
166	могла бы	2	4
167	о его	1	4
168	значит что	1	4
169	независимо от	1	4
170	их по	1	4
171	утверждать что	2	3
172	собственном смысле	1	3
173	раз он	1	3
174	та же	1	3
175	в последнем	2	3
176	для каждой	2	3
177	мы приходим	2	3
178	только что	2	3
179	предметы и	1	3
180	с этой	4	3
181	и при	3	3
182	что это	11	3
183	это уже	1	3
184	в сущности	11	3
185	одному из	1	3
186	ни в	3	3
187	от другого	1	3
188	связывается с	1	3
189	только в	15	3
190	в плоскости	2	3
191	здесь мы	2	3
192	если это	1	3
193	есть нечто	2	3
194	в собственном	2	3
195	имеется в	1	3
196	на первый	1	3
197	первом случае	1	3
