N	4gram	Bakhtin_Fr	Mirosoze
1	в то время как	1	4
2	не что иное как	1	4
3	одной и той же	2	3
4	есть не что иное	1	3
5	все более и более	1	2
6	две стороны одной и	1	2
7	о том что в	1	2
8	стороны одной и той	1	2
9	мы еще вернемся к	2	1
10	мы имеем в виду	2	1
11	в том случае если	1	1
12	и в других местах	2	1
13	для него как для	1	1
14	в узком и точном	1	1
15	не значит конечно что	1	1
16	говорят о том что	1	1
17	узком и точном смысле	1	1
18	мы еще вернемся в	2	1
19	в то же время	13	1
20	и не может быть	1	1
21	в обычном смысле слова	1	1
22	это не значит конечно	1	1
23	менее всего может быть	1	1
24	на протяжении всего романа	1	1
25	в строгом смысле слова	1	1
26	над человеческой природой и	1	1
27	подобно тому как в	1	1
28	до сих пор не	1	1
