N	3gram	Vinokur_Vv	Myslijsy
1	в том что	15	47
2	по отношению к	4	26
3	не может быть	10	19
4	заключает в себе	1	19
5	тем не менее	9	18
6	только тогда когда	1	17
7	по крайней мере	4	17
8	и т д	39	15
9	сам по себе	2	14
10	само по себе	4	14
11	в свою очередь	2	14
12	не в том	2	13
13	а между тем	2	13
14	то же время	6	13
15	от того что	1	13
16	в том смысле	1	13
17	в то же	6	13
18	более или менее	1	12
19	смысле этого слова	2	12
20	с другой стороны	5	12
21	и в этом	4	12
22	до сих пор	7	12
23	только в том	2	12
24	во всяком случае	5	12
25	для того чтобы	22	11
26	а в том	1	11
27	и т п	5	11
28	подобно тому как	2	11
29	с одной стороны	4	10
30	потому что в	1	9
31	в таком случае	1	9
32	одного и того	2	9
33	и того же	2	9
34	но и в	1	9
35	о том что	13	9
36	до тех пор	1	9
37	не могут быть	2	9
38	смысле в каком	1	8
39	вместе с тем	3	8
40	на самом деле	1	8
41	только потому что	1	8
42	в этом случае	6	8
43	с тем что	3	8
44	в том как	1	7
45	в этом смысле	10	7
46	и то же	2	7
47	сама по себе	3	7
48	и в том	4	7
49	с точки зрения	4	7
50	можно сказать что	3	7
51	и той же	2	7
52	одно и то	2	7
53	одной и той	2	7
54	не только в	4	7
55	может быть названо	4	7
56	может быть не	1	6
57	может быть только	1	6
58	то же самое	3	6
59	с самого начала	1	6
60	не было бы	1	6
61	том смысле в	1	6
62	после того как	2	6
63	может быть назван	1	5
64	в языке и	1	5
65	по себе не	1	5
66	к тому что	1	5
67	не то что	1	5
68	не только по	1	5
69	языка и его	2	5
70	в одно целое	1	5
71	то что в	1	5
72	смотреть как на	1	5
73	в сравнении с	1	5
74	и то что	3	5
75	в том же	1	4
76	все то что	1	4
77	том смысле что	1	4
78	в собственном смысле	3	4
79	с этой точки	2	4
80	в данном случае	4	4
81	в том чтобы	5	4
82	и в самом	3	4
83	что не только	1	4
84	могут быть названы	2	4
85	на этот вопрос	5	4
86	не что иное	5	4
87	дело в том	3	4
88	в общих чертах	1	4
89	что иное как	5	4
90	в этом отношении	4	4
91	вопрос о том	5	4
92	в том виде	3	4
93	обратить внимание на	2	4
94	точно так же	2	3
95	лишь в том	1	3
96	тех пор пока	1	3
97	одной стороны и	3	3
98	в одном и	1	3
99	в применении к	6	3
100	хотя бы и	2	3
101	говоря уже о	1	3
102	том виде в	1	3
103	виде в каком	1	3
104	так или иначе	4	3
105	том что он	1	3
106	не есть еще	1	3
107	в первом случае	2	3
108	с этой стороны	1	3
109	и том же	1	3
110	во многих случаях	1	3
111	а потому что	1	3
112	в связи с	2	3
113	бы то ни	1	3
114	потому что и	1	3
115	одном и том	1	3
116	и это есть	1	3
117	таким образом мы	1	3
118	только после того	2	3
119	заключается в том	3	3
120	внимание на то	1	3
121	когда мы говорим	1	3
122	на язык как	1	3
123	в них не	1	3
124	из того что	1	3
125	очевидно что если	1	3
126	потому что он	2	3
127	не говоря уже	2	3
128	можно было бы	4	3
129	но во всяком	1	3
130	этой точки зрения	2	3
131	а так как	2	3
132	притом не только	1	3
133	что же касается	2	3
134	с течением времени	7	3
135	но с другой	1	3
136	а не иначе	1	2
137	но вместе с	2	2
138	по его словам	1	2
139	что в ней	1	2
140	чтобы понять что	3	2
141	уже в том	1	2
142	и тогда когда	1	2
143	вопрос что такое	1	2
144	если же мы	1	2
145	независимо от своего	1	2
146	мы говорим о	1	2
147	язык как на	1	2
148	большую или меньшую	1	2
149	истории языка в	1	2
150	того что уже	2	2
151	языка в чем	1	2
152	не только о	1	2
153	того что в	1	2
154	на такие которые	1	2
155	что в нем	2	2
156	не иначе как	1	2
157	так как вообще	1	2
158	в нем есть	1	2
159	имеет дело с	2	2
160	и говорить о	1	2
161	состоит в том	2	2
162	но все же	4	2
163	только то что	1	2
164	лицом к лицу	1	2
165	то ни было	1	2
166	в греческом языке	1	2
167	имея в виду	1	2
168	со стороны формы	1	2
169	не прямо а	1	2
170	сплошь да рядом	1	2
171	не существует и	1	2
172	так как в	1	2
173	уже о том	1	2
174	же самое что	2	2
175	мы имеем дело	1	2
176	на вопрос что	1	2
177	в этих случаях	2	2
178	так что мы	1	2
179	сказанного ясно что	1	2
180	и потому что	2	2
181	как на нечто	1	2
182	в том только	1	2
183	тем что в	1	2
184	том что между	1	2
185	разница только в	1	2
