N	4gram	Losev_Prob	Komedia
1	в то время как	6	9
2	бы то ни было	4	7
3	в том что он	1	4
4	ни в чем не	2	3
5	один и тот же	1	3
6	и там и здесь	2	3
7	в том числе и	1	3
8	само собой разумеется что	1	3
9	с этой точки зрения	1	2
10	с одной стороны и	1	2
11	в тех случаях когда	1	2
12	и в то же	2	2
13	мы имеем в виду	1	2
14	только для того чтобы	1	2
15	не что иное как	6	1
16	и в этом случае	3	1
17	даже как будто бы	1	1
18	сказать несколько слов о	1	1
19	там и здесь не	1	1
20	для того чтобы не	1	1
21	подобно тому как мы	1	1
22	именно потому что он	1	1
23	о том что он	1	1
24	отдать себе отчет в	1	1
25	может быть даже и	2	1
26	в том что они	1	1
27	тем не менее и	1	1
28	в связи с этим	1	1
29	именно потому что они	1	1
30	в собственном смысле слова	1	1
31	тем не менее в	3	1
32	мало чем отличается от	1	1
33	только в том что	1	1
34	по самой своей природе	1	1
35	равно как и те	1	1
36	не имеет ничего общего	3	1
37	только в связи с	2	1
38	одного и того же	1	1
39	в каждой из них	1	1
40	может быть даже в	1	1
41	а в другом случае	1	1
42	имеет ничего общего с	1	1
43	и т д все	1	1
44	так же как и	3	1
45	а может быть даже	2	1
46	иначе чем это было	1	1
47	в том виде как	4	1
