N	2gram	Voloshinov	Sovremen
1	не может	4	17
2	может быть	1	12
3	точки зрения	1	12
4	в каждом	1	8
5	и в	3	7
6	и не	1	6
7	с точки	1	5
8	не только	1	4
9	нет и	1	4
10	то же	1	3
11	а не	1	3
12	в системе	1	3
13	он в	1	3
14	и все	1	3
15	может не	1	3
16	мы видим	1	2
17	из этих	1	2
18	в его	1	2
19	можно назвать	1	2
20	вторая половина	1	2
21	не менее	1	2
22	связи с	1	1
23	если в	2	1
24	несмотря на	1	1
25	в ней	1	1
26	и должно	1	1
27	же время	1	1
28	нуждаются в	1	1
29	один из	2	1
30	если бы	1	1
31	от общей	1	1
32	в то	1	1
33	по своим	1	1
34	это направление	1	1
35	не из	1	1
