N	4gram	Propp_Russ	Myshleni
1	в то время как	1	20
2	одного и того же	1	17
3	состоит в том что	16	17
4	так же как и	3	16
5	но вместе с тем	3	9
6	в том что в	6	8
7	вместе с тем и	2	7
8	не что иное как	3	6
9	одном и том же	1	6
10	приходит к выводу что	1	5
11	приводит к тому что	1	5
12	в тех случаях когда	2	4
13	в том что они	1	4
14	одни и те же	1	4
15	сомнений в том что	1	4
16	подобно тому как в	1	4
17	одна и та же	1	3
18	но тем не менее	2	2
19	с той только разницей	1	2
20	той только разницей что	1	2
21	только по отношению к	1	2
22	в том что это	2	2
23	как это имело место	1	2
24	сомнения в том что	1	2
25	в свете того что	1	2
26	как мы увидим ниже	1	2
27	как это ни странно	1	2
28	на самом же деле	2	2
29	что в этом случае	2	2
30	о том что в	1	2
31	как это имеет место	3	2
32	не оставляет сомнений в	2	1
33	необходимо иметь в виду	1	1
34	вместе с тем есть	1	1
35	но и потому что	1	1
36	во всяком случае не	1	1
37	не оставляют сомнения в	1	1
38	к выводу что в	1	1
39	обозначения одного и того	1	1
40	из них состоит в	1	1
41	оставляют сомнения в том	1	1
42	как это вытекает из	1	1
43	а вместе с тем	1	1
44	на этот вопрос можно	1	1
45	это не значит что	2	1
46	самом же деле это	1	1
47	как мы уже знаем	2	1
48	в данном случае мы	1	1
49	только о том что	1	1
50	в этом случае он	1	1
51	но совершенно очевидно что	1	1
52	и в некоторых случаях	1	1
53	в одном и том	1	1
54	в том что этот	2	1
55	в данном случае интересует	1	1
56	который мы наблюдаем в	1	1
57	и в других местах	1	1
58	до того момента когда	1	1
59	в одном ряду с	1	1
60	что один из них	1	1
61	это приводит нас к	1	1
62	не только как средство	1	1
63	собой не что иное	1	1
64	не играют никакой роли	1	1
65	не только по отношению	1	1
66	которые имели место в	1	1
67	это имеет место на	1	1
68	и состоит в том	1	1
69	как мы увидим не	1	1
70	для обозначения одного и	1	1
71	не только потому что	1	1
72	так как это не	1	1
73	сомнение в том что	1	1
74	а в связи с	1	1
75	точно так же в	1	1
76	нас в данном случае	1	1
77	состояла в том что	3	1
78	на интересующие нас вопросы	1	1
79	и во многих других	1	1
80	мы не можем согласиться	1	1
81	оставляет сомнений в том	1	1
82	ни одно из этих	2	1
83	указать еще на некоторые	1	1
84	которые можно было бы	1	1
85	привела к тому что	1	1
86	них состоит в том	1	1
87	привело к тому что	2	1
88	на том основании что	1	1
89	и в некоторых других	1	1
