N	2gram	Medvedev_U	Russkaja
1	не может	7	22
2	и не	8	19
3	в этом	7	17
4	в том	2	17
5	с другом	1	14
6	и в	14	14
7	друг с	1	14
8	то что	7	13
9	таким образом	2	11
10	то же	5	11
11	но и	4	10
12	же время	3	10
13	в то	3	10
14	не только	10	9
15	том что	2	9
16	может быть	6	9
17	в себе	2	9
18	прежде всего	8	8
19	как на	1	8
20	самом деле	2	7
21	о том	1	7
22	в данном	1	7
23	и с	2	7
24	отнюдь не	1	7
25	для всех	2	6
26	для него	3	6
27	признать что	1	6
28	все это	5	6
29	если бы	2	6
30	и для	2	6
31	в россии	4	6
32	с тем	1	6
33	что он	2	6
34	к которой	1	6
35	в своем	1	6
36	до сих	2	5
37	из которых	1	5
38	только в	2	5
39	по существу	2	5
40	в своей	3	5
41	в последние	1	5
42	сих пор	2	5
43	и только	5	5
44	хотя бы	5	5
45	в нем	1	5
46	между тем	2	5
47	он не	1	5
48	а между	2	5
49	конечно не	4	5
50	было бы	3	5
51	на то	1	5
52	никогда не	1	5
53	что в	1	4
54	бы то	3	4
55	и то	3	4
56	все что	1	4
57	тогда когда	1	4
58	в его	2	4
59	тому чтобы	1	4
60	не могут	2	4
61	более или	1	4
62	отказаться от	1	4
63	не в	2	4
64	он будет	1	4
65	как и	3	4
66	что такой	1	4
67	все же	3	4
68	приводит к	1	4
69	в их	4	4
70	или менее	1	4
71	то ни	3	4
72	что же	1	4
73	и т.д	3	4
74	в этой	4	4
75	но не	2	4
76	в самом	2	3
77	этом случае	1	3
78	данном случае	1	3
79	должно быть	1	3
80	в качестве	1	3
81	что и	2	3
82	сводится к	2	3
83	в виде	1	3
84	не было	1	3
85	тем что	2	3
86	в конце	2	3
87	вряд ли	3	3
88	о котором	1	3
89	не есть	2	3
90	но если	1	3
91	все они	2	3
92	и потому	1	3
93	только к	3	3
94	в значительной	1	3
95	что для	1	3
96	что все	2	3
97	конце концов	2	3
98	для этого	3	3
99	всех этих	2	3
100	признание что	1	3
101	того что	1	3
102	что с	1	2
103	что такое	4	2
104	должна быть	2	2
105	для себя	1	2
106	с самим	1	2
107	будет не	1	2
108	в некоторых	2	2
109	у него	1	2
110	по себе	2	2
111	и даже	1	2
112	если не	2	2
113	ее в	1	2
114	не о	3	2
115	себя на	1	2
116	но для	1	2
117	в таком	1	2
118	их в	1	2
119	в порядке	1	2
120	на эту	2	2
121	только для	1	2
122	уже не	1	2
123	остается в	1	2
124	его и	2	2
125	мы можем	1	2
126	больше чем	1	2
127	в котором	1	2
128	даже и	2	2
129	она не	1	2
130	в течение	1	2
131	но даже	2	2
132	в ней	1	2
133	значительной мере	1	2
134	в частности	3	2
135	а не	10	2
136	ни от	2	2
137	и является	2	2
138	и что	1	2
139	этого не	1	2
140	у других	1	2
141	даже не	1	2
142	существование в	1	2
143	друг другу	1	2
144	что только	1	2
145	но в	3	2
146	бы ни	1	2
147	в области	3	2
148	это в	1	2
149	но это	2	2
150	эта работа	1	2
151	иначе говоря	1	1
152	этого и	1	1
153	сколько и	1	1
154	психики и	1	1
155	все элементы	1	1
156	то есть	1	1
157	и материал	1	1
158	без них	1	1
159	переходит в	1	1
160	мы не	2	1
161	быть тем	1	1
162	это не	3	1
163	на роль	1	1
164	если у	1	1
165	не для	1	1
166	ни было	3	1
167	не поднимается	1	1
168	только возможно	1	1
169	а это	1	1
170	этом отношении	2	1
171	что при	1	1
172	работе есть	1	1
173	так и	1	1
174	в преодолении	1	1
175	как элемент	1	1
176	о которой	1	1
177	неудивительно что	2	1
178	они в	1	1
179	не простой	1	1
180	не столько	2	1
181	смысле этого	2	1
182	все черты	1	1
183	и форм	1	1
184	материал для	2	1
185	столько же	1	1
186	в которой	1	1
187	а о	2	1
188	наталкиваемся на	1	1
189	представляется чрезвычайно	1	1
190	что по	1	1
191	мировоззрение в	1	1
192	и действительно	1	1
193	превращается в	2	1
194	очевидно что	3	1
195	исходить из	1	1
196	находит себе	1	1
197	же как	1	1
198	но по	1	1
199	или даже	1	1
200	же остается	1	1
201	при таком	2	1
202	в которых	1	1
203	противном случае	2	1
204	обе эти	1	1
205	работы по	2	1
206	встречается у	1	1
207	и это	1	1
208	в сторону	2	1
209	конечно нет	2	1
210	об этом	1	1
211	к созданию	1	1
212	и у	2	1
213	искусство и	1	1
214	на первый	2	1
215	тем более	1	1
216	по крайней	2	1
217	вопроса о	2	1
218	бы в	1	1
219	первый взгляд	1	1
220	о сущности	1	1
221	тем в	1	1
222	можно сказать	1	1
223	ее к	1	1
224	а где	1	1
225	у тех	1	1
226	свое место	1	1
227	он был	1	1
228	является оно	1	1
229	то и	1	1
230	чем то	1	1
231	говорить не	1	1
232	входит в	1	1
233	это то	1	1
234	быть не	1	1
235	это для	1	1
236	и тенденция	1	1
237	и вся	1	1
238	или иных	2	1
239	на его	1	1
240	отказ от	1	1
241	в различных	1	1
242	у кого	1	1
243	задачи и	1	1
244	не следует	3	1
245	их и	2	1
246	с другой	4	1
247	это же	1	1
248	же самое	2	1
249	нет и	1	1
250	со своими	1	1
251	в сфере	1	1
252	крайней мере	2	1
253	от которой	1	1
254	могут быть	2	1
255	формы в	3	1
256	и все	1	1
257	до конца	1	1
258	только при	1	1
259	он может	1	1
260	и прежде	1	1
261	оно является	1	1
262	идет не	1	1
263	к этому	1	1
264	тех или	2	1
265	в противном	2	1
266	себе еще	1	1
267	приходится признать	2	1
268	надо было	2	1
269	ничего подобного	1	1
270	бы это	1	1
271	имеет свою	1	1
272	другом не	1	1
273	степени и	1	1
274	по нашему	3	1
