N	4gram	Vinokur_Vv	Analitik
1	в то же время	6	14
2	состоит в том что	2	7
3	не что иное как	5	6
4	одного и того же	2	6
5	в той или иной	1	5
6	мы имеем дело с	1	5
7	есть не что иное	3	5
8	в том что он	1	4
9	в том или ином	2	4
10	дело в том что	3	3
11	одной и той же	2	3
12	бы то ни было	1	3
13	той мере в какой	6	2
14	с этой точки зрения	2	2
15	в той мере в	6	2
16	не остается ничего иного	1	2
17	остается ничего иного как	1	2
18	не говоря уже о	1	2
19	лишь в том что	1	2
20	то же время в	1	2
21	какой бы то ни	1	2
22	заключается в том что	2	2
23	одно и то же	2	2
24	но в то же	3	2
25	и в этом втором	1	1
26	его можно было бы	1	1
27	которая сама по себе	1	1
28	мы имеем в виду	1	1
29	в этом втором случае	1	1
30	собой не что иное	1	1
31	что литературное произведение есть	1	1
32	и в самом деле	3	1
33	по крайней мере не	1	1
34	как уже было сказано	2	1
35	во всяком случае не	2	1
36	так как если бы	1	1
37	до тех пор пока	1	1
38	не сам по себе	1	1
39	в том смысле что	1	1
40	обратим внимание на то	1	1
41	для того чтобы быть	1	1
42	и сам по себе	1	1
43	в большей или меньшей	1	1
44	большей или меньшей степени	1	1
45	том виде в каком	1	1
46	в науке о литературе	1	1
47	речь идет уже не	1	1
48	в принципе не может	1	1
49	и того же произведения	1	1
50	приходит к выводу что	1	1
51	можно сказать что в	1	1
52	только в том что	1	1
53	он в то же	1	1
54	то же самое что	2	1
55	не только в том	1	1
56	внешнего по отношению к	1	1
57	в самом деле как	1	1
58	в широком смысле этого	2	1
59	принципе не может быть	1	1
60	но с другой стороны	1	1
61	не может быть определено	1	1
62	же самое что и	1	1
63	дело не только в	1	1
64	тем не менее не	1	1
65	говорилось о том что	1	1
66	в собственном смысле слова	1	1
67	и в этом смысле	1	1
68	в том виде в	1	1
69	по тем или иным	2	1
70	ответ на этот вопрос	2	1
