N	2gram	Medvedev_U	FransuaR
1	и в	14	367
2	то есть	1	209
3	в этом	7	112
4	и не	8	101
5	таким образом	2	100
6	в его	2	98
7	прежде всего	8	92
8	не только	10	87
9	но и	4	84
10	как и	3	76
11	в нем	1	75
12	но в	3	75
13	и др	1	72
14	в том	2	71
15	то же	5	66
16	и все	1	66
17	в этой	4	65
18	так и	1	65
19	и с	2	64
20	в то	3	63
21	все это	5	62
22	же время	3	55
23	что в	1	52
24	в своем	1	51
25	только в	2	48
26	том что	2	45
27	то что	7	41
28	у него	1	40
29	в самом	2	38
30	в ней	1	37
31	с его	2	36
32	о том	1	35
33	он был	1	35
34	может быть	6	35
35	сказать что	1	34
36	и даже	1	34
37	в себе	2	34
38	в конце	2	32
39	он не	1	32
40	для него	3	32
41	до конца	1	31
42	в своей	3	31
43	но он	1	30
44	той же	1	30
45	и потому	1	30
46	никогда не	1	30
47	что он	2	29
48	не может	7	29
49	не в	2	29
50	всех этих	2	28
51	в той	1	28
52	сих пор	2	27
53	до сих	2	27
54	все же	3	27
55	все они	2	26
56	в области	3	25
57	но это	2	25
58	он и	1	24
59	но не	2	24
60	и у	2	24
61	в частности	3	24
62	и для	2	23
63	в их	4	23
64	это не	3	23
65	не было	1	22
66	тем что	2	22
67	что и	2	22
68	в качестве	1	21
69	одним из	2	21
70	в виду	1	20
71	и это	1	20
72	в значительной	1	20
73	этом отношении	2	20
74	как раз	2	20
75	самом деле	2	20
76	их в	1	19
77	к этому	1	19
78	за пределы	1	19
79	было бы	3	19
80	с другой	4	19
81	далеко не	1	19
82	превращается в	2	18
83	связанные с	1	18
84	это в	1	18
85	в большей	1	17
86	большей или	1	17
87	конечно не	4	17
88	связанных с	1	17
89	на его	1	17
90	меньшей степени	2	17
91	того что	1	17
92	а не	10	17
93	с одной	1	16
94	между тем	2	16
95	тот же	1	16
96	начала и	1	16
97	или меньшей	1	16
98	ничего не	2	16
99	в которой	1	15
100	одно из	1	15
101	как на	1	15
102	и прежде	1	15
103	в котором	1	14
104	мы не	2	14
105	все что	1	14
106	в данном	1	14
107	по существу	2	14
108	что все	2	13
109	о чем	2	13
110	одной стороны	1	13
111	бы в	1	13
112	этот процесс	1	13
113	и эта	1	13
114	это было	2	13
115	другой стороны	3	12
116	о нем	1	12
117	у нас	3	12
118	только для	1	12
119	можно сказать	1	12
120	не могут	2	12
121	литературы и	2	12
122	он в	1	12
123	но именно	1	12
124	об этом	1	12
125	в пределах	1	12
126	из самых	1	11
127	на эту	2	11
128	уже не	1	11
129	и что	1	11
130	того как	1	11
131	в течение	1	11
132	в свое	1	11
133	и т.д	3	11
134	очень часто	1	11
135	в системе	2	11
136	это уже	2	11
137	и так	1	11
138	формы и	2	11
139	все его	1	10
140	что для	1	10
141	его как	1	10
142	данном случае	1	10
143	человека и	1	10
144	конце концов	2	10
145	для всех	2	10
146	нас в	2	10
147	даже и	2	10
148	в процессе	1	10
149	еще раз	1	9
150	этой же	1	9
