N	4gram	Ircho_Kome	Marksizm
1	в то же время	5	15
2	бы то ни было	4	12
3	как мы уже знаем	1	4
4	в том что он	4	4
5	в связи с этим	1	3
6	в том числе и	1	3
7	ни в коем случае	1	2
8	одна и та же	1	2
9	так же как и	1	2
10	сводится к тому что	1	2
11	с этой точки зрения	1	1
12	не что иное как	1	1
13	друга во времени и	1	1
14	с их точки зрения	2	1
15	выходит далеко за пределы	1	1
16	под определенным углом зрения	1	1
17	в тех случаях когда	1	1
18	не говоря уже о	4	1
19	нашу задачу не входит	1	1
20	в соответствии с этим	1	1
21	в нашу задачу не	1	1
22	то же время он	1	1
23	о том каким образом	1	1
24	в том же году	1	1
25	до сих пор не	1	1
