N	4gram	Vygotskiy_	Narrotol
1	состоит в том что	4	6
2	с той или иной	1	2
3	в том что одно	1	2
4	одного и того же	5	2
5	одно и то же	6	2
6	точно так же как	1	2
7	том смысле что они	2	1
8	с этой точки зрения	4	1
9	в том смысле что	2	1
10	не что иное как	2	1
11	тем самым как бы	1	1
12	что с точки зрения	1	1
13	том смысле как мы	1	1
14	в связи с этой	1	1
15	с одной стороны и	1	1
16	прежде всего тем что	1	1
17	в том смысле как	1	1
18	и то же слово	3	1
19	не только потому что	1	1
20	для того чтобы возник	1	1
21	сомневаться в том что	1	1
22	одна и та же	1	1
23	но на этот раз	1	1
24	том виде в каком	1	1
25	бы то ни было	1	1
26	тем не менее едва	1	1
27	в то время как	5	1
28	между детьми и взрослыми	1	1
29	о наличии у него	1	1
30	один и тот же	6	1
31	к тому или иному	3	1
32	по отношению к которому	1	1
33	вступает в противоречие с	1	1
34	в том числе и	3	1
35	не говорит нам о	1	1
36	мы узнаем что в	1	1
37	в том что он	1	1
38	не сами по себе	1	1
39	представление о том что	1	1
40	в том что на	1	1
41	в связи с этим	2	1
42	в том случае если	2	1
43	тем не менее не	1	1
44	что в основе этого	1	1
45	же как и в	1	1
46	и с точки зрения	1	1
47	не менее едва ли	1	1
48	в том виде в	1	1
49	одним и тем же	4	1
50	во всяком случае в	1	1
51	как в случае с	1	1
52	и не могли бы	1	1
53	не могло бы возникнуть	1	1
54	есть не что иное	1	1
