N	2gram	Berdyaev_N	IolandNe
1	и с	2	3
2	что в	9	2
3	оба они	1	2
4	он не	8	2
5	должен быть	5	2
6	и не	11	2
7	в этом	7	2
8	говорить о	1	1
9	все эти	2	1
10	для того	1	1
11	и очень	1	1
12	а в	2	1
13	это было	3	1
14	тем что	1	1
15	не случайно	1	1
16	от нее	1	1
17	того же	1	1
18	жизни и	8	1
19	с другой	3	1
20	человеке и	1	1
21	в эту	1	1
22	другой стороны	2	1
23	я не	2	1
24	себя в	2	1
25	и еще	1	1
26	по существу	2	1
27	них не	1	1
28	только для	1	1
29	а также	1	1
30	так и	2	1
31	в основе	3	1
32	в значительной	1	1
33	от этого	1	1
34	того чтобы	2	1
35	и творчества	2	1
36	а по	1	1
37	есть только	1	1
38	и в	16	1
39	никогда не	6	1
40	все это	5	1
41	в них	4	1
42	во многом	1	1
