N	2gram	Potebnia_M	NovoeSre
1	а не	38	17
2	не может	30	16
3	и в	58	16
4	совсем не	1	12
5	и не	34	11
6	и есть	4	10
7	что в	34	9
8	истории и	1	9
9	в том	38	8
10	как не	4	8
11	жизни и	3	8
12	он не	4	8
13	в этом	18	7
14	может быть	47	7
15	не будет	2	7
16	как и	16	7
17	к новому	2	7
18	ни в	2	6
19	не в	23	6
20	лишь в	2	6
21	высшей степени	1	6
22	с его	3	6
23	но это	7	6
24	никогда не	7	6
25	не только	32	5
26	в ней	9	5
27	все это	3	5
28	в жизни	5	5
29	в нем	26	5
30	с ее	2	5
31	должен быть	2	5
32	перестает быть	3	4
33	и потому	7	4
34	и мы	1	4
35	быть может	6	4
36	не во	3	4
37	должно быть	9	4
38	потому что	89	4
39	это не	10	4
40	прежде всего	8	4
41	в них	7	4
42	то что	24	4
43	не было	7	4
44	и все	6	4
45	не менее	10	4
46	не имеет	9	4
47	значит что	1	4
48	и для	8	4
49	о том	6	4
50	наше время	1	4
51	к лицу	1	3
52	во всех	12	3
53	вопрос о	5	3
54	в наше	1	3
55	должна быть	4	3
56	она не	3	3
57	тому как	8	3
58	в ее	2	3
59	эти формы	2	3
60	что такое	3	3
61	в прошлом	1	3
62	лицом к	1	3
63	за пределы	4	3
64	стремится к	1	3
65	конечно не	1	3
66	подобно тому	7	3
67	в истории	8	3
68	не существует	2	3
69	в духе	1	3
70	с другой	13	3
71	к ним	3	3
72	сказать что	5	3
73	духа и	8	3
74	с тем	9	3
75	не есть	13	3
76	в своей	3	3
77	в мире	3	3
78	как в	18	3
79	перейти к	3	3
80	но и	26	3
81	это было	3	3
82	к ее	2	3
83	растет и	1	3
84	к тому	5	3
85	человека и	2	3
86	еще не	9	3
87	с этим	11	2
88	все они	3	2
89	и от	5	2
90	и весь	3	2
91	не хотим	1	2
92	силы и	1	2
93	и что	13	2
94	возвращается к	1	2
95	не могли	2	2
96	что она	3	2
97	не имеют	7	2
98	духовной жизни	2	2
99	зависит от	6	2
100	самый процесс	2	2
101	к духу	4	2
102	познания и	2	2
103	с одной	7	2
104	хотя бы	4	2
105	такого рода	1	2
106	мы не	17	2
107	будет уже	1	2
108	того чтобы	4	2
109	хотя и	6	2
110	переход к	1	2
111	природе и	1	2
112	которых не	1	2
113	так и	17	2
114	нашего времени	1	2
115	как это	1	2
116	самой жизни	1	2
117	этот мир	2	2
118	но она	3	2
119	жизни все	2	2
120	человека во	1	2
121	думать что	6	2
122	одной стороны	6	2
123	для чего	1	2
124	не могла	2	2
125	можно было	1	2
126	и должно	2	2
127	ни одна	2	2
128	другой стороны	7	2
129	времени и	3	2
130	из ее	1	2
131	с их	1	2
132	этом смысле	4	2
133	том и	2	2
134	у него	3	2
135	место в	3	2
136	свободы и	3	2
137	а в	11	2
138	в обществе	3	2
139	свободы в	1	2
140	когда мы	4	2
141	и даже	4	2
142	и формы	1	2
143	и с	3	2
144	мы говорим	3	2
145	и начинается	1	2
146	жизни как	1	2
147	для этого	2	2
148	равно как	1	2
149	могут быть	17	2
150	в себе	22	2
151	и на	8	2
152	быть в	1	2
153	уже не	4	2
154	что все	4	2
155	время как	2	2
156	помнить что	6	2
157	все эти	3	2
158	есть в	4	2
159	же как	1	2
160	такой же	4	2
161	вместе с	12	2
162	одна из	4	2
163	стремление к	3	2
164	роль в	1	2
165	в употреблении	1	2
