N	3gram	Bakhtin_sl	Otkroven
1	для того чтобы	1	3
2	в романах достоевского	1	3
3	не могут быть	3	2
4	человеке и его	3	2
5	а не в	1	2
6	не может быть	11	2
7	но и в	2	2
8	это было бы	1	2
9	и в этом	2	2
10	хотя и не	1	1
11	о том что	2	1
12	в том что	4	1
13	друг с другом	2	1
14	а иногда и	1	1
15	есть не только	1	1
16	он никогда не	2	1
17	всегда нуждается в	1	1
18	бы и не	1	1
19	в виду не	1	1
20	как и в	2	1
21	как например в	1	1
22	и не в	1	1
23	а вовсе не	4	1
24	во всяком случае	7	1
25	он еще не	1	1
26	прежде всего он	1	1
27	человеку и его	1	1
28	и прежде всего	1	1
29	у него до	1	1
30	в этом отношении	2	1
31	и все это	1	1
32	между этими двумя	1	1
33	и к нему	2	1
34	раскрыть в нем	1	1
35	человека в этом	1	1
36	а не только	1	1
37	на то что	1	1
38	он в корне	1	1
39	в этих романах	1	1
40	том что в	1	1
41	он не только	1	1
42	прежде всего в	1	1
43	и в том	2	1
44	могут быть сопоставлены	2	1
45	и не может	2	1
