N	3gram	Savitsky_E	Dialekti
1	и т д	1	75
2	это значит что	1	47
3	с точки зрения	16	46
4	в том что	6	25
5	не может быть	2	18
6	само по себе	4	16
7	то же время	14	15
8	в то же	15	14
9	только тогда когда	1	13
10	с другой стороны	2	12
11	есть то что	1	11
12	на то что	2	11
13	по себе не	2	9
14	и в этом	4	9
15	и не только	1	9
16	то или иное	1	9
17	в то время	1	8
18	и та же	1	8
19	то время как	1	8
20	одна и та	1	8
21	та или иная	1	8
22	в этом смысле	3	8
23	можно сказать что	3	7
24	говоря уже о	1	7
25	вовсе не в	1	7
26	т е не	1	7
27	в связи с	1	7
28	той или иной	4	7
29	не говоря уже	2	7
30	и в частности	2	7
31	для того чтобы	5	6
32	более или менее	1	6
33	и прежде всего	3	6
34	и в то	8	6
35	е прежде всего	1	6
36	в каком смысле	1	6
37	во всяком случае	3	6
38	т е прежде	1	6
39	с одной стороны	8	6
40	может быть и	1	6
41	по сравнению с	2	5
42	к тому что	1	5
43	то и другое	1	5
44	в том смысле	1	5
45	одной стороны и	6	4
46	том смысле что	1	4
47	можем сказать что	1	4
48	с этой точки	5	4
49	так же как	5	4
50	этой точки зрения	5	4
51	и то и	1	4
52	в данном случае	2	4
53	к тому же	1	4
54	не может не	1	4
55	из того что	2	4
56	не есть ли	1	4
57	и тем более	1	4
58	связи с этим	1	4
59	мы можем сказать	2	4
60	можно было бы	3	4
61	как бы ни	3	4
62	не могут быть	1	4
63	в этом отношении	3	4
64	в той или	3	3
65	тех или иных	1	3
66	несмотря на то	1	3
67	есть не только	2	3
68	в силу этого	1	3
69	бы то ни	4	3
70	того или иного	4	3
71	если так то	1	3
72	ту или иную	3	3
73	хотя и не	1	3
74	но в то	2	3
75	мы отнюдь не	1	3
76	не только в	4	3
77	речь идет о	1	3
78	же как и	3	3
79	для нас в	1	2
80	хотя бы и	3	2
81	поскольку речь идет	1	2
82	друг от друга	2	2
83	в качестве примера	1	2
84	как это мы	1	2
85	друг с другом	3	2
86	не имеет значения	1	2
87	в отношении к	12	2
88	но если так	1	2
89	но также и	1	2
90	в последнее время	1	2
91	из всего этого	1	2
92	имеет место в	2	2
93	хотя бы только	1	2
94	не входя в	1	2
95	но так как	1	2
96	или хотя бы	2	2
97	и не быть	1	2
98	а именно в	1	2
99	можно представить себе	1	2
100	говорить не о	1	2
101	в свою очередь	2	2
102	друг к другу	1	2
103	это может быть	1	2
104	так как мы	1	2
105	и в отношении	1	2
106	не более как	1	2
107	и не в	1	2
108	сказать что в	2	2
109	во внимание что	1	2
110	мы не можем	1	2
111	ли это что	1	2
112	другой стороны в	1	2
113	вовсе не обязательно	1	2
114	дело в том	1	2
115	в лучшем случае	1	2
116	значит ли это	1	2
117	в себе не	1	2
118	хотя бы в	2	2
119	что оно не	1	2
120	не является ли	3	2
121	то что с	1	2
122	в нем и	1	2
123	как одно из	1	1
124	она никогда не	1	1
125	и чем больше	1	1
126	есть ли это	1	1
127	в некоторых случаях	1	1
128	и в некотором	1	1
129	о котором мы	1	1
130	здесь говорить о	1	1
131	нельзя сказать чтобы	1	1
132	в применении к	3	1
133	вопрос можно ли	1	1
134	и эта последняя	1	1
135	и имеет место	1	1
136	принимая во внимание	1	1
137	он мог бы	1	1
138	воды и земли	1	1
139	том что обе	1	1
140	по общему правилу	2	1
141	говорить о том	1	1
142	рано или поздно	2	1
143	в качестве одного	1	1
144	и не имеет	2	1
145	и во многих	1	1
146	и это потому	1	1
147	совершенно очевидно что	1	1
148	во многих отношениях	1	1
149	и неизвестно в	1	1
150	этом несмотря на	1	1
151	в том случае	1	1
152	если бы они	1	1
153	именно тогда когда	1	1
154	быть уверенным что	1	1
155	в этом мире	1	1
156	как и всякая	1	1
157	независимо от того	1	1
158	в истории культуры	1	1
159	в отличие от	1	1
160	отношении к мировому	2	1
161	в некотором смысле	3	1
162	то ни было	4	1
163	не имеет никаких	1	1
164	это должно быть	1	1
165	того что в	2	1
166	ли он в	1	1
167	на этот раз	1	1
168	в последнем случае	1	1
169	чем в других	1	1
170	указать на то	1	1
171	в себе поэтому	1	1
172	есть такая же	1	1
173	есть ли уже	1	1
174	рассматривать с точки	1	1
175	и поэтому если	1	1
176	при известных условиях	1	1
177	нужно думать что	1	1
178	не значит ли	1	1
179	по самой природе	1	1
180	в одном из	2	1
181	и далее в	1	1
182	в мире как	1	1
183	во власти этого	1	1
184	качестве одного из	1	1
185	большей или меньшей	1	1
186	но и в	1	1
187	сотни и тысячи	1	1
188	и даже более	1	1
189	во всем его	1	1
190	заключается в том	2	1
191	можно быть уверенным	1	1
192	по большей части	1	1
193	что же касается	1	1
194	религии и философии	1	1
195	и когда мы	1	1
196	в полной мере	1	1
197	только в том	2	1
198	в каком же	1	1
199	мире т е	1	1
200	только в виде	1	1
201	это потому что	1	1
202	тех и других	1	1
203	этом отношении с	1	1
204	же время совершенно	1	1
205	совершенно достаточно чтобы	1	1
206	может быть установлена	1	1
207	и с точки	1	1
208	бы ни была	1	1
209	ее в себе	1	1
210	он сам в	1	1
211	во всех этих	1	1
212	это мы видим	1	1
213	уже и сейчас	1	1
214	с тем что	1	1
215	между тем в	3	1
216	том случае если	1	1
217	нужно понимать буквально	1	1
218	было бы совершенно	1	1
219	не обязательно чтобы	1	1
220	не нужно думать	1	1
221	что в этом	1	1
222	прежде всего в	2	1
223	но от этого	1	1
