N	3gram	Tiupa_Teor	EvropaiE
1	с точки зрения	3	16
2	в то же	8	15
3	то же время	8	14
4	в отношении к	2	12
5	и в то	2	8
6	с одной стороны	3	8
7	в том что	10	6
8	одной стороны и	1	6
9	так же как	1	5
10	этой точки зрения	2	5
11	для того чтобы	5	5
12	с этой точки	2	5
13	того или иного	6	4
14	той или иной	3	4
15	то ни было	2	4
16	бы то ни	2	4
17	в той или	1	3
18	в известной степени	1	3
19	их отношении к	1	3
20	в этом смысле	3	3
21	заключает в себе	1	3
22	ту или иную	2	3
23	между тем в	1	3
24	можно сказать что	3	3
25	и прежде всего	1	3
26	в известном смысле	2	3
27	в их отношении	1	3
28	а тем более	1	2
29	и в частности	1	2
30	прежде всего к	1	2
31	но в то	2	2
32	не может быть	5	2
33	в большинстве случаев	1	2
34	в данном случае	5	2
35	заключается в том	1	2
36	имеет место в	1	2
37	друг от друга	1	2
38	в свою очередь	3	2
39	с другой стороны	6	2
40	не более чем	1	2
41	из того что	1	2
42	заключающее в себе	1	1
43	в противном случае	2	1
44	в одной из	1	1
45	в том случае	1	1
46	то что может	1	1
47	именно потому что	1	1
48	в другой своей	1	1
49	и не быть	1	1
50	то есть в	1	1
51	дело в том	1	1
52	и некоторые иные	2	1
53	речь идет о	1	1
54	в лучшем случае	1	1
55	не сводится к	9	1
56	то или иное	1	1
57	к тому что	2	1
58	том числе и	2	1
59	в полной мере	1	1
60	в этом мире	2	1
61	тех или иных	3	1
62	и тем более	1	1
63	и тем самым	2	1
64	в соответствии с	2	1
65	в отличие от	7	1
66	не только отдельные	1	1
67	также и по	1	1
68	но не в	1	1
69	и того же	4	1
70	по большей части	2	1
71	не могут быть	2	1
72	они обращены к	1	1
73	в связи с	3	1
74	как это случается	1	1
75	том случае если	1	1
76	а также в	1	1
77	та или иная	1	1
78	в том числе	3	1
79	он мог бы	1	1
80	связи с этим	1	1
81	существенное значение в	1	1
82	в то время	1	1
83	более или менее	6	1
84	принадлежат к числу	1	1
85	в значительной степени	2	1
86	как столь же	1	1
87	к тому же	1	1
88	одного и того	4	1
89	может быть и	2	1
