N	4gram	Propp_Isto	Freidism
1	одной и той же	2	3
2	и не может быть	1	3
3	заключается в том что	1	2
4	на самом же деле	1	2
5	в более позднее время	1	1
6	что в данном случае	2	1
7	ничего общего с этим	1	1
8	но тем не менее	2	1
9	мы увидим что в	1	1
10	по сравнению с ними	1	1
11	подводя итоги мы можем	1	1
12	однако мы знаем что	1	1
13	мы уже знаем что	1	1
14	мы знаем что в	1	1
15	это не совсем так	1	1
16	но в чем состоит	1	1
17	мы остановимся только на	1	1
18	в данном случае в	1	1
19	в том что в	1	1
20	до сих пор не	1	1
21	тем не менее он	1	1
22	не что иное как	6	1
23	что же это за	1	1
24	есть не что иное	2	1
