N	3gram	Losev_Dial	VrazhdaK
1	то же время	3	4
2	в то же	3	4
3	в связи с	3	3
4	в том что	12	2
5	в этот момент	1	2
6	не может быть	12	2
7	но в то	1	2
8	с точки зрения	25	2
9	и что в	1	2
10	что он сам	1	1
11	не было бы	1	1
12	о котором уже	1	1
13	но при этом	1	1
14	нам не помогут	1	1
15	в глубине души	1	1
16	это конечно гораздо	1	1
17	в свете этой	1	1
18	может быть иначе	1	1
19	каждый из них	1	1
20	в то время	6	1
21	в конце концов	1	1
22	одно и то	2	1
23	– это и	1	1
24	и в котором	1	1
25	речь идет о	1	1
26	равно как и	2	1
27	он как бы	1	1
28	это не просто	1	1
29	о том как	2	1
30	точно так же	3	1
31	так же как	2	1
32	но это не	2	1
33	что в ней	1	1
34	на то что	3	1
35	сама жизнь и	1	1
36	и в то	2	1
37	по крайней мере	10	1
38	не забудем что	1	1
39	и никогда не	1	1
40	он и не	1	1
41	в этом смысле	1	1
42	заключается в том	1	1
43	что в нем	1	1
44	имеется в виду	5	1
45	и то что	1	1
46	не только не	7	1
47	о том что	6	1
48	же возникает вопрос	1	1
49	до сих пор	1	1
50	в романе достоевского	1	1
51	в это время	1	1
52	или по крайней	4	1
53	с тех пор	2	1
54	во всяком случае	3	1
55	а следовательно и	1	1
56	тем не менее	10	1
57	к нему с	1	1
58	как бы в	1	1
59	на первый план	4	1
60	с другой стороны	3	1
61	в другой раз	1	1
62	то что они	1	1
63	связи с этим	1	1
64	что у него	1	1
65	это и есть	4	1
66	знали что он	1	1
67	что для нас	1	1
68	независимо от того	1	1
69	и то же	2	1
70	в этом отношении	2	1
71	и что он	1	1
72	и не может	1	1
73	и в этом	4	1
74	говорит о себе	1	1
