N	4gram	Vygotskiy_	Tvorches
1	в то же время	1	24
2	в том что в	2	3
3	и не может быть	2	3
4	нет и не может	2	2
5	в том числе и	2	2
6	заключается в том что	9	2
7	для того чтобы изучить	1	1
8	в то же самое	1	1
9	на самом же деле	1	1
10	не что иное как	1	1
11	но для того чтобы	1	1
12	это сказывается в том	1	1
13	не с точки зрения	1	1
14	в том смысле что	2	1
15	в конце концов к	1	1
16	содержит в себе ничего	2	1
17	в конечном счете и	1	1
18	но с точки зрения	3	1
19	одного и того же	3	1
20	в том что это	1	1
21	не обращая внимания на	1	1
22	в самом конце развития	1	1
23	в том и другом	2	1
24	как это имеет место	1	1
25	приблизительно так же как	1	1
26	то же самое время	1	1
27	одну и ту же	1	1
28	что с точки зрения	1	1
29	так же как и	2	1
30	не содержит в себе	2	1
31	в том же направлении	2	1
