N	4gram	Losev_Vesc	EvropaiE
1	в то же время	4	14
2	и в то же	3	8
3	с одной стороны и	1	6
4	с этой точки зрения	3	5
5	бы то ни было	12	4
6	заключается в том что	2	2
7	но в то же	1	2
8	каких бы то ни	1	2
9	и та и другая	1	1
10	не может быть речи	1	1
11	из того что в	1	1
12	и то и другое	1	1
13	но само по себе	1	1
14	в качестве одного из	1	1
15	не значит ли это	5	1
16	дело в том что	4	1
17	это значит что на	1	1
18	что как бы ни	1	1
19	и это потому что	1	1
20	в то время как	4	1
21	то ни было только	1	1
22	в ту или иную	1	1
23	одного и того же	1	1
24	т е прежде всего	1	1
25	может быть речи о	1	1
26	один и тот же	1	1
27	в том смысле что	1	1
