N	4gram	Voloshinov	DiskursI
1	в то же время	7	8
2	одного и того же	1	4
3	одно и то же	5	3
4	мысль о том что	1	2
5	и не может быть	1	2
6	в тех случаях когда	2	2
7	одной и той же	4	2
8	и в то же	2	2
9	одних и тех же	1	2
10	то же время и	1	2
11	одним и тем же	1	2
12	не что иное как	2	1
13	и в этом случае	1	1
14	одни и те же	2	1
15	как мы видели не	1	1
16	в одной и той	1	1
17	иметь в виду что	1	1
18	об одном и том	1	1
19	нет и не может	1	1
20	ни к чему не	2	1
21	между внутренним и внешним	1	1
22	одном и том же	2	1
23	к одному и тому	1	1
24	по себе не может	1	1
25	одному и тому же	1	1
26	с определенной точки зрения	1	1
27	есть не что иное	2	1
