N	3gram	Propp_Isto	OGranits
1	не может быть	8	4
2	до тех пор	1	4
3	по отношению к	6	3
4	в том что	6	2
5	не чем иным	1	2
6	не что иное	3	2
7	того или иного	1	2
8	в зависимости от	3	2
9	можем поставить вопрос	1	2
10	но так как	2	2
11	и то же	1	2
12	есть не что	2	2
13	чем иным как	1	2
14	мы можем поставить	1	2
15	что иное как	3	2
16	с одной стороны	7	2
17	с другой стороны	7	2
18	с самого начала	4	2
19	и один из	1	1
20	тесно связана с	1	1
21	в природе не	1	1
22	такое утверждение не	1	1
23	на самом деле	2	1
24	таким образом мы	3	1
25	и тот же	2	1
26	иметь в виду	2	1
27	но в то	1	1
28	это конечно не	2	1
29	может быть объяснено	1	1
30	равно как и	1	1
31	подобно тому как	3	1
32	по себе а	2	1
33	весь этот материал	1	1
34	как то что	1	1
35	если бы мы	2	1
36	и пр с	1	1
37	так же как	6	1
38	тех или иных	1	1
39	на то что	5	1
40	для того чтобы	1	1
41	мы уже видели	4	1
42	том что в	1	1
43	здесь мы не	1	1
44	можно говорить о	1	1
45	но это конечно	1	1
46	но тем не	1	1
47	а не как	1	1
48	не только на	2	1
49	хотя бы в	1	1
50	в связи со	1	1
51	что в этом	1	1
52	тех случаях когда	1	1
53	один и тот	2	1
54	в другом месте	2	1
55	должно было бы	1	1
56	и в действительности	1	1
57	в отличие от	3	1
58	этого мы должны	1	1
59	в связи с	5	1
60	то же самое	3	1
61	то что в	2	1
62	и не мог	1	1
63	тот же мотив	1	1
64	к тому что	1	1
65	все же остается	1	1
66	тем не менее	7	1
67	только то что	1	1
68	но столь же	1	1
69	эту точку зрения	2	1
70	связаны между собою	1	1
71	только в связи	1	1
72	в этом отношении	1	1
73	в одном случае	1	1
74	одно из проявлений	1	1
75	было бы быть	1	1
76	более или менее	5	1
77	само по себе	2	1
78	прежде всего в	1	1
79	в виду что	1	1
80	и в области	1	1
81	там где нет	1	1
82	можно было бы	5	1
83	мы не можем	3	1
84	в тех случаях	1	1
85	и вместе с	2	1
86	потому что они	1	1
87	указать на то	1	1
88	является не чем	1	1
