N	2gram	Medvedev_S	VLabPisa
1	таким образом	2	32
2	в этом	5	29
3	не только	3	26
4	и в	3	26
5	может быть	2	23
6	и не	1	20
7	хотя бы	1	20
8	не может	1	17
9	в процессе	1	17
10	в его	3	15
11	в том	5	15
12	в силу	1	14
13	все это	7	13
14	прежде всего	1	13
15	в частности	2	12
16	что в	2	11
17	с другой	1	11
18	то же	2	10
19	о том	1	10
20	но и	2	10
21	только в	2	8
22	на основании	1	8
23	все эти	1	8
24	том что	2	8
25	было бы	2	8
26	из современных	1	7
27	это не	1	7
28	в конечном	1	7
29	не было	1	7
30	по отношению	2	7
31	очевидно что	2	7
32	тому что	1	7
33	как и	1	7
34	то что	2	7
35	главным образом	2	7
36	отношению к	2	7
37	один из	1	6
38	у него	1	6
39	все же	1	6
40	это и	2	6
41	не в	3	6
42	между тем	1	6
43	так и	1	6
44	и его	1	6
45	в то	1	6
46	даже в	1	5
47	в результате	2	5
48	в них	1	5
49	связи с	1	5
50	конечном счете	1	5
51	перед нами	1	5
52	он говорит	1	5
53	же время	1	5
54	как бы	2	5
55	в целом	1	5
56	и есть	1	5
57	никогда не	1	5
58	в этой	1	4
59	что все	1	4
60	что он	1	4
61	по существу	2	4
62	в своей	1	4
63	в связи	1	4
64	отнюдь не	1	4
65	этой области	1	3
66	а вот	1	3
67	никак не	1	3
68	но как	1	3
69	его в	1	3
70	именно в	1	3
71	в конце	2	3
72	между ними	1	3
73	и как	1	3
74	том как	1	3
75	вовсе не	1	3
76	бы в	1	3
77	а в	1	3
78	в котором	1	3
79	идей и	2	3
80	далеко не	2	3
81	образом в	1	3
82	что без	1	3
83	и по	1	3
84	говоря иначе	1	3
85	представить себе	1	2
86	они не	1	2
87	зависит от	1	2
88	с одной	1	2
89	должна быть	2	2
90	по себе	1	2
91	и наконец	1	2
92	что она	1	2
93	но не	1	2
94	между собою	1	2
95	противном случае	1	2
96	ли не	1	2
97	только для	1	2
98	может не	1	2
99	в чем	1	2
100	еще не	2	2
101	в каждом	1	2
102	во всяком	1	2
103	и потому	1	2
104	еще и	1	2
105	и заключается	2	2
106	всяком случае	1	2
107	одной стороны	1	2
108	по крайней	1	2
109	из себя	1	2
110	что творчество	1	2
111	даже не	1	2
112	только то	1	2
113	всего не	1	2
114	же самое	1	2
115	эти вопросы	1	2
116	в области	1	2
117	в противном	1	2
118	конце концов	2	2
119	крайней мере	1	2
120	чуть ли	1	2
121	что автор	1	1
122	которая должна	1	1
123	и мы	2	1
124	на тех	1	1
125	мы не	1	1
126	и способностей	1	1
127	это значит	1	1
128	с ним	1	1
129	где же	1	1
130	не должна	1	1
131	не способен	1	1
132	для нас	3	1
133	исторического развития	2	1
134	в этих	1	1
135	без этого	1	1
136	следующее как	1	1
137	в виде	1	1
138	ведь это	2	1
139	в таких	1	1
140	и самые	1	1
141	как же	3	1
142	все то	1	1
143	в свои	1	1
144	обходится без	1	1
145	же по	1	1
146	историю литературы	1	1
147	тем что	1	1
148	еще недостаточно	1	1
149	сама по	1	1
150	из тех	1	1
151	работы в	1	1
152	вряд ли	1	1
153	или даже	2	1
154	собой не	1	1
155	перейти к	1	1
156	между собой	1	1
157	это происходит	1	1
158	мысли в	1	1
159	существа вопроса	1	1
160	что эти	1	1
161	пишет следующее	1	1
162	более чем	3	1
163	а с	1	1
164	в данном	1	1
165	тем более	2	1
166	и цельного	1	1
167	но ведь	3	1
168	в лучшем	1	1
169	это как	1	1
170	конечно не	1	1
171	наконец в	1	1
172	не дает	1	1
173	не один	1	1
174	его исторической	1	1
175	так называемым	1	1
176	как совокупность	1	1
177	только тогда	1	1
178	пишет он	1	1
179	в него	1	1
180	свойств и	1	1
181	но она	1	1
182	для этого	1	1
183	может служить	1	1
184	и что	2	1
185	дело не	2	1
186	в любой	1	1
187	существу своему	1	1
188	за пределы	2	1
189	а между	1	1
190	но только	1	1
191	себе из	1	1
192	любой области	1	1
193	художественных произведений	1	1
194	стиль в	1	1
195	со своими	1	1
196	же не	1	1
197	к изучению	1	1
198	это вовсе	1	1
199	автор не	1	1
200	в систему	1	1
201	и благодаря	1	1
202	литературы на	1	1
203	бы он	1	1
204	благодаря этому	1	1
205	больше того	1	1
206	стоит только	1	1
207	на этот	1	1
208	как будто	2	1
209	их на	1	1
210	или не	1	1
211	творчества это	1	1
212	ними в	1	1
213	что на	1	1
214	в заключение	1	1
