N	2gram	Losev_Prob	Hudozhes
1	в качестве	3	31
2	то есть	61	26
3	и в	64	23
4	не только	37	20
5	в том	19	20
6	при этом	8	19
7	может быть	29	19
8	в частности	5	18
9	и не	63	16
10	но и	23	14
11	а не	21	13
12	в рамках	1	13
13	но не	13	13
14	а в	7	13
15	в себе	16	13
16	в этом	30	12
17	то же	10	12
18	такого рода	20	12
19	так и	17	12
20	и его	3	12
21	сводится к	3	11
22	представляет собой	2	11
23	как бы	18	11
24	точки зрения	5	11
25	в его	12	11
26	но в	19	10
27	в душе	1	9
28	или иной	8	9
29	том что	26	9
30	с другой	8	9
31	не сводится	1	9
32	в искусстве	3	9
33	не в	6	9
34	не может	18	9
35	особого рода	3	8
36	себя в	1	8
37	в области	8	8
38	в то	7	8
39	что в	21	7
40	в самом	10	7
41	только в	19	7
42	в своей	8	7
43	в основе	4	7
44	я и	2	7
45	как это	7	7
46	по своей	1	7
47	лишь в	4	7
48	отношение к	1	7
49	другой стороны	7	6
50	более или	7	6
51	уже не	9	6
52	можно сказать	9	6
53	с ее	1	6
54	с его	3	6
55	мы имеем	3	6
56	в ее	3	6
57	а также	6	6
58	или менее	7	6
59	в нем	14	6
60	ни в	13	5
61	в виду	10	5
62	не на	4	5
63	что он	11	5
64	в художественном	1	5
65	не менее	26	5
66	не является	12	5
67	того чтобы	10	5
68	для того	10	5
69	со стороны	2	5
70	для него	2	5
71	того что	18	5
72	прежде всего	17	5
73	с другими	6	5
74	в их	7	5
75	а на	1	5
76	знака к	7	5
77	или иначе	7	5
78	я есть	1	5
79	той или	10	5
80	тем самым	11	5
81	то что	72	5
82	могут быть	2	5
83	место в	2	5
84	слова как	2	5
85	во втором	1	4
86	порядка в	1	4
87	для себя	9	4
88	на смену	1	4
89	так или	7	4
90	не следует	1	4
91	например в	2	4
92	отношения к	2	4
93	в слове	1	4
94	для читателя	1	4
95	еще не	18	4
96	в данном	16	4
97	языка в	3	4
98	входит в	4	4
99	в другом	2	4
100	говорить о	14	4
101	сказать что	33	4
102	в своем	7	4
103	к тому	5	4
104	на почве	2	4
105	и то	15	4
106	это не	7	4
107	в отношении	7	4
108	его в	9	4
109	не знает	4	4
110	и как	10	4
111	в этих	7	4
112	а только	9	4
113	того или	8	4
114	между тем	3	4
115	он не	5	4
116	и тем	16	4
117	и что	21	4
118	далеко не	9	4
119	и о	11	4
120	однако в	2	4
121	художественного произведения	1	4
122	в силу	2	4
123	или иного	6	4
124	хотя и	8	4
125	в той	2	3
126	и к	2	3
127	и на	11	3
128	в момент	2	3
129	с этой	1	3
130	даже в	2	3
131	была бы	2	3
132	говорит и	3	3
133	о чем	11	3
134	подобно тому	2	3
135	если бы	8	3
136	и сам	3	3
137	есть в	9	3
138	а именно	16	3
139	одно слово	1	3
140	в романе	1	3
141	в жизни	3	3
142	общения людей	3	3
143	имеет место	1	3
144	как и	7	3
145	к его	2	3
146	их в	6	3
147	никто не	2	3
148	себя и	1	3
149	тем не	25	3
150	художественное произведение	1	3
151	но их	2	3
152	и того	5	3
153	для автора	1	3
154	в противоположность	1	3
155	к нему	5	3
156	потому что	24	3
157	одной стороны	4	3
158	искусства и	3	3
159	в стихотворении	1	3
160	не обязательно	3	3
161	имеем в	1	3
162	известной степени	2	3
163	мог бы	1	3
164	это отношение	3	3
165	во всей	4	3
