N	4gram	Voloshinov	Myshleni
1	одного и того же	1	17
2	с этой точки зрения	1	16
3	так же как и	1	16
4	не что иное как	1	6
5	совершенно так же как	1	5
6	одну и ту же	1	4
7	в связи с этим	1	3
8	мы имеем в виду	1	3
9	дело в том что	1	3
10	не чем иным как	1	3
11	или во всяком случае	1	3
12	бы то ни было	1	3
13	одна и та же	1	3
14	с точки зрения обоих	1	2
15	и в высшей степени	1	2
16	но мы знаем что	1	2
17	в полном согласии с	1	2
18	в основе их лежит	1	2
19	только для того чтобы	1	2
20	одного плана в другой	1	1
21	во всяком случае не	1	1
22	мы полагаем что в	1	1
23	друг на друга в	1	1
24	а вместе с тем	1	1
25	на первый план выдвигается	1	1
26	как часть социального целого	1	1
27	пр и пр в	1	1
28	в этом отношении и	1	1
29	все новых и новых	1	1
30	ни в коем случае	1	1
31	что можно было бы	1	1
32	свой смысл и значение	1	1
33	на этой ступени развития	1	1
34	и в этом смысле	2	1
35	мы можем сказать что	1	1
36	ни в чем не	3	1
37	говорить о том что	1	1
38	с самого начала но	1	1
39	основной вопрос можно ли	1	1
40	первый и основной вопрос	1	1
41	на следующих ступенях развития	1	1
42	фрейдом и его учениками	1	1
43	случае не может быть	1	1
44	одних и тех же	1	1
45	можно подразделить на две	1	1
46	вместе с ним и	1	1
47	в период полового созревания	1	1
48	оставляет никаких сомнений в	1	1
49	и пр и пр	2	1
50	из одного плана в	1	1
51	не оставляет никаких сомнений	1	1
