N	2gram	Tiupa_Anal	Myslijsy
1	потому что	1	182
2	то есть	15	142
3	и в	36	121
4	может быть	19	107
5	в том	16	103
6	то что	5	83
7	в слове	5	78
8	для нас	1	75
9	что в	15	73
10	и не	14	73
11	только в	9	72
12	не только	40	67
13	а не	16	67
14	таким образом	4	64
15	в этом	19	59
16	но и	26	59
17	том что	19	59
18	то же	7	56
19	не в	9	54
20	если бы	2	53
21	в себе	7	53
22	по себе	6	52
23	не может	3	52
24	того что	4	47
25	было бы	6	45
26	в нем	3	45
27	не есть	6	42
28	как и	27	42
29	так что	2	39
30	вместе с	3	39
31	что и	10	38
32	мы не	4	38
33	при этом	19	37
34	как в	9	37
35	так и	19	37
36	что мы	2	36
37	точно так	1	35
38	тем что	3	33
39	и что	2	32
40	по отношению	9	30
41	а в	17	30
42	что не	3	29
43	между тем	8	29
44	но не	13	29
45	вовсе не	2	28
46	мы можем	2	28
47	для него	8	28
48	с этим	4	27
49	могут быть	4	27
50	не было	3	26
51	независимо от	1	26
52	и т	1	26
53	отношению к	9	26
54	языка и	1	25
55	этого слова	3	25
56	в то	8	24
57	с тем	2	23
58	как бы	14	23
59	того как	1	23
60	а потому	1	22
61	с другой	10	22
62	не имеет	1	22
63	но в	8	22
64	и потому	3	21
65	внутренняя форма	1	21
66	не менее	9	21
67	мысль о	3	20
68	в одном	4	20
69	это не	4	20
70	в ней	2	20
71	мысли и	1	19
72	и как	5	19
73	но это	3	19
74	сказать что	2	19
75	с ним	2	19
76	того же	7	19
77	тем не	3	19
78	что это	1	19
79	и то	2	19
80	из этих	4	19
81	о том	9	19
82	тем самым	8	19
83	должно быть	1	19
84	есть не	2	19
85	в самом	7	18
86	в таком	2	18
87	для того	1	18
88	по поводу	5	18
89	не могут	2	18
90	очевидно что	2	18
91	бы не	1	18
92	для меня	1	18
93	тогда как	37	18
94	еще не	7	18
95	точки зрения	3	17
96	крайней мере	5	17
97	со стороны	12	17
98	по крайней	5	17
99	слова и	1	17
100	уже в	5	17
101	в его	12	17
102	во всяком	6	17
103	слова в	2	17
104	не можем	1	17
105	и на	5	16
106	к тому	10	16
107	так же	1	16
108	в своем	7	16
109	в которой	1	16
110	а только	1	16
111	в них	4	16
112	что если	1	16
113	на то	1	16
114	быть может	1	15
115	в этих	2	15
116	уже не	9	15
117	только как	1	15
118	с одной	3	15
119	с другими	1	15
120	и тем	3	15
121	в нас	2	15
122	и по	3	15
123	что он	5	15
124	в свою	9	15
125	прежде всего	7	15
126	в ряду	1	15
127	тому как	3	15
128	на деле	1	14
129	все же	6	14
130	в одно	2	14
131	в действительности	2	14
132	свою очередь	7	14
133	то в	4	14
134	связи с	1	14
135	так сказать	2	14
136	во всех	4	14
137	когда мы	2	14
138	столь же	7	14
139	бы ни	1	14
140	там где	2	14
141	должны быть	1	14
142	сам по	2	14
143	в истории	1	14
144	же время	7	14
145	и без	3	14
146	мы должны	1	14
147	само по	1	14
148	те же	3	13
149	например в	2	13
150	а между	1	13
151	как на	1	13
