N	2gram	Bakhtin_KF	VelikijI
1	и не	28	20
2	и в	28	16
3	так как	1	9
4	то что	7	9
5	в истории	1	8
6	еще не	5	8
7	и потому	2	7
8	а не	17	7
9	человека и	3	6
10	не есть	22	6
11	что есть	2	5
12	хотя и	1	5
13	того что	3	5
14	все это	10	5
15	как бы	9	5
16	в мире	8	5
17	но и	9	5
18	все что	1	4
19	в котором	24	4
20	в этом	15	4
21	что мы	1	4
22	потому что	2	4
23	в его	42	4
24	во мне	3	4
25	в ней	3	4
26	так и	2	4
27	говорить о	2	4
28	они будут	1	4
29	и есть	10	4
30	и все	9	4
31	что не	3	4
32	что все	1	4
33	как и	5	4
34	что он	2	4
35	и я	6	4
36	в нем	32	4
37	во всех	11	3
38	что в	4	3
39	нет ничего	1	3
40	бы и	3	3
41	из первого	1	3
42	и мы	2	3
43	не нужна	1	3
44	должно быть	6	3
45	этого мира	3	3
46	если не	2	3
47	хотя бы	5	3
48	в том	6	3
49	тому что	2	3
50	не в	13	3
51	что и	7	3
52	ни в	12	3
53	превращается в	1	3
54	в этих	1	3
55	оно не	2	3
56	не было	8	3
57	христа в	1	3
58	лишь в	8	3
59	к чему	3	3
60	и будет	1	3
61	в жизни	2	3
62	что я	5	3
63	как не	1	3
64	их в	1	3
65	в своей	11	3
66	должна быть	4	3
67	с его	2	3
68	к бытию	1	3
69	от этого	2	3
70	не имеет	6	3
71	но это	6	3
72	и для	10	3
73	жизни и	8	3
74	в чем	4	3
75	все эти	11	3
76	тот же	3	3
77	но в	5	3
78	к тому	1	3
79	никогда не	5	3
80	всего в	1	2
81	во всяком	1	2
82	от него	3	2
83	его и	2	2
84	ее и	6	2
85	а к	1	2
86	один из	2	2
87	освобождения от	1	2
88	это дело	1	2
89	в последнем	1	2
90	самого себя	1	2
91	более чем	1	2
92	на том	1	2
93	когда я	3	2
94	его не	1	2
95	того чтобы	2	2
96	это не	10	2
97	вместо того	1	2
98	между тем	4	2
99	не только	5	2
100	для него	13	2
101	человека как	1	2
102	с ним	5	2
103	не будет	2	2
104	пред тобой	1	2
105	ее в	1	2
106	для нас	4	2
107	и то	2	2
108	своей истории	2	2
109	и за	2	2
110	не с	1	2
111	прежде всего	4	2
112	а есть	1	2
113	в форме	1	2
114	людей и	3	2
115	ценности и	4	2
116	и это	12	2
117	мы не	3	2
118	конечно не	7	2
119	и теперь	1	2
120	только в	18	2
121	все равно	1	2
122	а с	2	2
123	а в	5	2
124	до того	1	2
125	в духе	1	2
126	нет и	3	2
127	но не	12	2
128	с нашего	1	2
129	и никогда	1	2
130	тем что	3	2
131	и во	1	2
132	могут быть	3	2
133	с тем	2	2
134	одна из	1	2
135	во главе	2	2
136	его к	2	2
137	том что	4	2
138	смысл мира	1	2
139	мир и	1	2
140	но мы	1	2
141	в себя	8	2
142	нем нет	1	2
143	уже не	7	2
144	мира в	6	2
145	не к	1	2
146	от своей	5	2
147	жизни но	3	1
148	и мир	2	1
149	в самом	1	1
150	во всем	7	1
151	бы то	2	1
152	мире и	1	1
153	перестает быть	1	1
154	были в	1	1
155	и человеческого	1	1
156	конечно это	1	1
157	связь с	1	1
158	то есть	1	1
159	только себя	1	1
160	истина и	1	1
161	но как	5	1
162	все в	1	1
163	мы видим	1	1
164	если оно	1	1
165	любви и	1	1
