N	4gram	Bakhtin_KF	Formalny
1	в то же время	2	20
2	бы то ни было	2	7
3	и в то же	1	6
4	отсюда отнюдь не следует	1	4
5	какого бы то ни	1	3
6	с точки зрения его	1	3
7	и пр все это	1	3
8	один и тот же	3	3
9	но в то же	1	3
10	не может войти в	1	2
11	бы оно было единственным	1	2
12	если бы оно было	1	2
13	во всех своих моментах	2	2
14	не в том смысле	1	2
15	это значило бы признать	1	1
16	во всей его конкретной	1	1
17	имеет место и в	1	1
18	с нашей точки зрения	1	1
19	каково бы оно ни	1	1
20	он не может быть	1	1
21	в этом смысле можно	1	1
22	там где оно не	1	1
23	в том смысле в	1	1
24	дело в том что	1	1
25	этом смысле можно говорить	1	1
26	дело здесь не в	1	1
27	ни в чем не	4	1
28	тем не менее в	1	1
29	в противном случае мы	1	1
30	бы оно ни было	1	1
31	а с точки зрения	1	1
32	как бы ни была	1	1
33	и по отношению к	1	1
34	перевести его на язык	1	1
35	одного и того же	1	1
36	в ее целом и	1	1
37	и в этом его	1	1
38	должно быть соотнесено с	2	1
39	и тем не менее	1	1
