N	3gram	Propp_Morf	Freidism
1	с точки зрения	6	15
2	не может быть	9	14
3	по отношению к	7	11
4	в том что	4	9
5	во всяком случае	2	8
6	в то же	1	6
7	в высшей степени	1	6
8	то же время	1	6
9	может быть и	2	6
10	в большинстве случаев	3	5
11	с самого начала	1	5
12	можно сказать что	1	5
13	как мы уже	1	5
14	в свою очередь	1	4
15	мы увидим что	2	4
16	тем не менее	6	4
17	на самом деле	4	4
18	в данном случае	2	4
19	в таком случае	1	4
20	не могут быть	4	4
21	в этом отношении	2	4
22	и тот же	1	3
23	мы уже знаем	1	3
24	для того чтобы	3	3
25	о том что	3	3
26	один и тот	1	3
27	в собственном смысле	3	3
28	до сих пор	1	3
29	что же касается	1	3
30	далеко не всегда	1	3
31	бы то ни	3	3
32	на этот вопрос	1	3
33	а вовсе не	2	3
34	мы не можем	1	3
35	и тем не	2	2
36	в применении к	1	2
37	и может быть	1	2
38	в чем же	1	2
39	один из них	1	2
40	в какой степени	1	2
41	но если мы	1	2
42	говорить о том	2	2
43	и пр и	3	2
44	в таких случаях	2	2
45	о мотивах и	1	2
46	что и в	1	2
47	том что он	1	2
48	то ни было	2	2
49	к тому что	4	2
50	с одной стороны	2	2
51	а также и	5	2
52	и т д	60	1
53	может быть выделен	1	1
54	в этом случае	10	1
55	сих пор не	1	1
56	собственном смысле слова	3	1
57	остановимся на нескольких	1	1
58	и все с	1	1
59	той или иной	1	1
60	вопрос о мотивах	1	1
61	и даже не	1	1
62	ответить на этот	1	1
63	представлениями таким образом	1	1
64	до известной степени	1	1
65	то что он	1	1
66	т д таким	1	1
67	читателя в круг	1	1
68	лежат в основе	1	1
69	но и его	1	1
70	что бы то	1	1
71	они и не	1	1
72	ни в каких	1	1
73	имеем ли мы	1	1
74	как бы в	1	1
75	может войти в	1	1
76	в тех же	4	1
77	в коем случае	1	1
78	из этих двух	1	1
79	о так называемых	1	1
80	но чаще всего	1	1
81	он входит в	1	1
82	следует заметить что	2	1
83	во что бы	1	1
84	в то время	3	1
85	в этой работе	1	1
86	и то же	1	1
87	включением ее в	1	1
88	друг на друга	2	1
89	и пр как	1	1
90	уже не может	1	1
91	и пр все	1	1
92	во многих отношениях	1	1
93	не представляет собой	1	1
94	хотя и не	2	1
95	друг с другом	1	1
96	видим таким образом	1	1
97	ввести читателя в	1	1
98	могут быть изучены	1	1
99	же самый способ	1	1
100	не что иное	2	1
101	могут быть поняты	1	1
102	иметь в виду	1	1
103	очень большую роль	1	1
104	ни в коем	1	1
105	одно и то	1	1
106	таким образом что	1	1
107	бросается в глаза	1	1
108	так как они	1	1
109	ему в голову	1	1
110	останавливаться не будем	1	1
111	д таким образом	1	1
112	это один из	1	1
113	это уже не	1	1
114	и таким образом	2	1
115	в мифах и	1	1
116	перед нами при	1	1
117	во всех этих	1	1
118	то что же	1	1
119	точки зрения его	1	1
120	мы можем определить	1	1
121	то мы имеем	2	1
122	из них не	1	1
123	случае не является	2	1
124	так как это	1	1
125	потому что отец	1	1
126	есть не что	1	1
127	и об отношении	1	1
128	так как его	1	1
129	не будем мы	1	1
130	мы видим таким	1	1
131	мы останавливаться не	1	1
132	в целом и	1	1
133	на первый взгляд	3	1
134	можно сказать о	1	1
135	на каком материале	1	1
136	что иное как	2	1
137	где оно есть	1	1
138	но все же	4	1
139	если это не	1	1
140	мы имеем в	2	1
141	или во всяком	1	1
142	мы не будем	2	1
143	является одним из	1	1
144	не то что	1	1
145	тем же законам	1	1
146	оно может быть	2	1
147	это означает что	1	1
148	и при анализе	1	1
149	но так как	2	1
150	при таких условиях	1	1
151	можно было бы	2	1
152	совершенно убежден что	1	1
153	того чтобы получить	1	1
154	коем случае не	1	1
155	в настоящее время	3	1
156	это было бы	1	1
157	то ни стало	1	1
