N	3gram	Bakhtin_Pr	Myslijsy
1	в том что	3	47
2	по отношению к	19	26
3	не может быть	11	19
4	тем не менее	3	18
5	и т д	1	15
6	в свою очередь	1	14
7	не в том	1	13
8	а между тем	1	13
9	то же время	3	13
10	в том смысле	1	13
11	в то же	3	13
12	смысле этого слова	1	12
13	с другой стороны	4	12
14	и в этом	1	12
15	до сих пор	1	12
16	для того чтобы	2	11
17	сами по себе	1	11
18	а в том	1	11
19	и т п	13	11
20	подобно тому как	1	11
21	в то время	1	10
22	с одной стороны	3	10
23	на то что	1	9
24	но и в	2	9
25	не могут быть	2	9
26	то есть не	1	8
27	так и в	2	8
28	на самом деле	3	8
29	с тем что	1	8
30	в том как	1	7
31	в этом смысле	3	7
32	и в том	1	7
33	с точки зрения	6	7
34	как и в	1	7
35	можно сказать что	2	7
36	не только в	2	7
37	и как бы	1	6
38	имеет для него	1	6
39	может быть только	3	6
40	то же самое	2	6
41	и может быть	1	6
42	не было бы	1	6
43	между тем как	5	5
44	по себе не	1	5
45	к тому что	1	5
46	и проч и	1	5
47	то что в	1	5
48	таким образом в	1	5
49	и проч но	3	5
50	если бы не	1	5
51	в том же	2	4
52	все то что	3	4
53	том смысле что	1	4
54	не могла бы	1	4
55	в данном случае	4	4
56	быть не может	1	4
57	в том и	1	4
58	и в самом	1	4
59	на этот вопрос	1	4
60	в противном случае	3	4
61	не что иное	1	4
62	дело в том	1	4
63	далеко не все	1	4
64	именно в том	1	4
65	и в свою	1	4
66	не есть ни	1	4
67	не более как	1	4
68	что иное как	1	4
69	то есть к	1	4
70	в этом отношении	2	4
71	вопрос о том	1	4
72	то время как	1	4
73	одной стороны и	1	3
74	в одном и	1	3
75	в применении к	3	3
76	до известной степени	1	3
77	в большинстве случаев	5	3
78	хотя бы и	1	3
79	говоря уже о	1	3
80	то есть в	1	3
81	в первом случае	1	3
82	если бы мы	1	3
83	и тем самым	2	3
84	так относится к	1	3
85	в связи с	1	3
86	бы то ни	3	3
87	равно как и	1	3
88	именно то что	1	3
89	бы ни было	1	3
90	не может стать	1	3
91	со всех сторон	2	3
92	не говоря уже	1	3
93	можно было бы	3	3
94	которые могут быть	1	3
95	бы они ни	1	3
96	могли бы быть	1	3
97	языка то есть	1	3
98	притом не только	1	3
99	что у нас	1	2
100	о том как	1	2
101	в себе все	1	2
102	независимо от их	1	2
103	у нас в	1	2
104	одного к другому	1	2
105	и во всех	2	2
106	не может но	1	2
107	рядом с ними	1	2
108	при этом в	1	2
109	бы не было	1	2
110	на этом основании	1	2
111	его связь с	1	2
112	могут быть только	1	2
113	в глазах самого	1	2
114	и в других	1	2
115	тем самым и	1	2
116	в поэтическом произведении	1	2
117	там где оно	2	2
118	бы и в	1	2
119	имеет дело с	4	2
120	а не с	1	2
121	лицом к лицу	1	2
122	то ни было	2	2
123	с ними в	1	2
124	от одного к	1	2
125	можем сказать что	1	2
126	и не может	2	2
127	мы имеем дело	2	2
128	в этом последнем	1	2
129	может и не	2	2
130	т п и	1	2
131	вбирает в себя	1	2
132	не нуждается в	1	2
133	не имели бы	1	2
134	в свое время	1	2
135	и не в	1	2
136	в некоторых случаях	1	2
137	а следовательно и	1	2
138	что все они	1	2
139	в таких случаях	1	2
140	значение слова для	1	2
141	не во всех	2	2
142	может быть объяснено	1	2
143	проч но не	1	2
144	они ни были	1	2
145	что все эти	1	2
146	не может обойтись	1	2
147	и независимо от	1	2
148	дает нам право	1	2
149	и проч а	1	2
150	не имеет прямого	1	1
151	в самом деле	3	1
152	языка и язык	1	1
153	на том основании	1	1
154	нуждаться в помощи	1	1
155	место и в	1	1
156	которое может быть	1	1
157	по сравнению с	1	1
158	не менее как	1	1
159	восприятия и в	1	1
160	что язык в	1	1
161	тела и души	1	1
162	о которых мы	1	1
163	имеет место только	1	1
164	не могли быть	1	1
165	говорить и о	2	1
166	во всех отношениях	1	1
167	его отношение к	1	1
168	то есть я	1	1
169	то есть вне	1	1
170	жизни таким образом	1	1
171	к миру и	2	1
172	сказать и о	2	1
173	то что называют	1	1
174	но что в	1	1
175	содержание может быть	1	1
176	различаем в слове	1	1
177	далеко не совпадает	1	1
178	может обойтись без	1	1
179	или другими словами	1	1
180	ли мы в	1	1
181	можно и должно	1	1
182	по отношению ко	1	1
183	относится к нему	1	1
184	в его состав	1	1
185	во что бы	1	1
186	далеко не всегда	3	1
187	не совпадает с	2	1
188	в строгом смысле	2	1
189	со словом но	1	1
190	художественное произведение и	1	1
191	как мы уже	1	1
192	проч то есть	1	1
193	формы и содержания	2	1
194	то есть только	1	1
195	значение только как	1	1
196	от языка в	1	1
197	мы различаем в	1	1
198	не следует что	2	1
199	не для того	1	1
200	может иметь место	1	1
201	иметь в виду	1	1
202	мы можем сказать	2	1
203	она не может	1	1
204	занимает в нем	1	1
205	при восприятии не	1	1
206	это как бы	1	1
207	к нему относится	1	1
208	и что не	1	1
209	от них в	1	1
210	и не с	2	1
211	не о том	1	1
212	и проч с	3	1
213	в чем не	2	1
214	и в общем	1	1
215	всего человека с	1	1
216	в отличие от	5	1
217	относится к содержанию	1	1
218	есть не что	1	1
219	того что с	1	1
220	например при восприятии	1	1
221	может быть понят	1	1
222	и проч в	3	1
223	и др и	1	1
224	имеет место в	2	1
225	его связи с	1	1
226	показать что и	1	1
227	из языка и	1	1
228	к вопросу о	1	1
