N	2gram	Ircho_Kome	Morfolog
1	и т	5	62
2	может быть	14	61
3	т д	1	60
4	таким образом	16	26
5	т е	18	25
6	действующих лиц	7	22
7	могут быть	3	21
8	так как	16	20
9	мы имеем	4	19
10	не может	9	19
11	в этом	18	18
12	в этих	2	17
13	представляет собой	5	17
14	и в	37	17
15	представляют собой	3	16
16	и не	28	16
17	мы видим	2	15
18	перед нами	1	14
19	с этим	5	14
20	прежде всего	7	14
21	по существу	4	13
22	при помощи	1	12
23	связи с	5	12
24	а не	5	11
25	чаще всего	2	11
26	что в	11	10
27	то же	14	10
28	а затем	4	10
29	вопрос о	2	10
30	мы увидим	1	10
31	не всегда	2	10
32	но если	3	10
33	этом случае	2	10
34	в том	24	10
35	так и	4	10
36	что и	12	10
37	в связи	4	10
38	то что	5	10
39	все же	9	9
40	с другой	5	9
41	из дома	8	9
42	но и	18	9
43	не только	13	8
44	в результате	2	8
45	ход действия	1	8
46	имеем в	2	8
47	мы не	6	8
48	в качестве	4	8
49	но не	9	8
50	в тех	4	8
51	а в	12	8
52	как мы	6	8
53	во втором	2	7
54	один из	6	7
55	и здесь	11	7
56	если в	4	7
57	не могут	2	7
58	не менее	9	7
59	том что	22	7
60	потому что	19	7
61	по отношению	6	7
62	наряду с	4	7
63	точки зрения	8	7
64	как это	5	7
65	тем не	3	7
66	и этим	3	7
67	а также	3	7
68	отношению к	4	7
69	и другие	1	6
70	подобно тому	1	6
71	о том	21	6
72	как бы	7	6
73	это не	3	6
74	с точки	6	6
75	в образе	5	6
76	в нашем	1	6
77	или в	1	6
78	и как	3	6
79	вовсе не	6	6
80	во всех	4	6
81	если мы	2	6
82	во время	8	6
83	героя в	1	5
84	этот момент	1	5
85	из которых	7	5
86	другой стороны	2	5
87	в первом	2	5
88	вслед за	1	5
89	начинается с	2	5
90	что он	15	5
91	как в	4	5
92	со стороны	16	5
93	видно что	2	5
94	то это	5	5
95	хотя бы	5	5
96	было бы	7	5
97	к тому	11	5
98	ничего не	6	5
99	что они	3	5
100	не будем	1	5
101	хотя и	6	5
102	то мы	2	5
103	прежде чем	4	5
104	тому что	5	5
105	ясно что	12	5
106	все эти	1	5
107	между собой	5	5
108	на его	5	5
109	об этом	12	5
110	в других	4	5
111	мы можем	7	5
112	сюда же	1	5
113	тому как	1	5
114	между тем	6	5
115	он не	11	5
116	если же	2	5
117	далеко не	3	5
118	главным образом	2	5
119	в целом	4	5
120	и ее	3	5
121	раньше чем	1	5
122	и к	4	4
123	пока же	1	4
124	смысле слова	1	4
125	в некоторых	1	4
126	на этом	3	4
127	как и	10	4
128	самом деле	13	4
129	но все	5	4
130	тем что	12	4
131	никто не	2	4
132	еще не	10	4
133	не является	5	4
134	тех же	3	4
135	входит в	1	4
136	того чтобы	9	4
137	говорить о	6	4
138	на пути	2	4
139	так же	8	4
140	сказать что	4	4
141	на него	6	4
142	на котором	1	4
143	соглашается на	1	4
144	и для	7	4
145	из них	11	4
146	но в	7	4
147	к началу	3	4
148	получает в	1	4
149	несмотря на	7	4
150	его в	9	4
151	что его	10	4
152	встречается в	1	4
153	к этому	11	4
154	в то	14	4
155	№ и	2	4
156	мы уже	1	4
157	в руки	2	4
158	можно было	3	4
159	этот вопрос	2	4
160	от того	2	4
161	могла бы	1	4
162	о его	4	4
163	независимо от	4	4
164	всего это	2	3
165	собственном смысле	1	3
166	заметим что	1	3
167	то время	3	3
168	для каждой	1	3
169	только что	11	3
170	с этой	5	3
171	и при	1	3
172	по всему	3	3
173	в сущности	3	3
174	в живых	1	3
175	ни в	14	3
176	с собой	4	3
177	только в	3	3
178	здесь мы	1	3
179	время как	3	3
180	из двух	3	3
181	женится на	1	3
182	если это	1	3
183	или на	1	3
184	можно назвать	1	3
185	отправляется в	1	3
186	в собственном	1	3
187	в бою	1	3
188	возникает вопрос	1	3
189	но мы	1	3
190	на первый	1	3
191	первом случае	1	3
192	такие случаи	1	3
193	и что	8	3
194	для того	9	3
195	или не	1	3
196	целый ряд	5	3
197	здесь прежде	1	3
198	состоит в	2	3
199	настоящее время	1	3
200	же она	1	3
201	здесь не	2	3
202	с его	6	3
203	кроме того	1	3
204	в настоящее	1	3
205	что при	1	3
206	с того	1	3
207	он должен	1	3
208	к нему	8	3
209	бы то	3	3
210	то в	1	3
211	первый взгляд	1	3
212	что эти	1	3
213	о помощи	1	3
214	они не	2	3
215	не слишком	5	3
216	сам он	3	3
217	того что	1	3
218	с просьбой	3	3
219	но как	1	3
220	у нас	1	3
221	же можно	2	3
222	и есть	3	3
223	в ином	1	3
224	а на	3	3
225	как же	2	3
226	а то	1	3
227	здесь же	1	3
228	в какой	4	3
229	даже не	5	3
230	из дому	10	3
231	это было	1	3
232	и у	4	3
233	от преследования	1	3
234	реагирует на	1	3
235	как уже	1	3
236	то ни	4	3
237	если бы	18	3
238	иное чем	1	3
239	друг друга	7	3
240	мы должны	1	3
241	и тем	4	3
242	не в	7	3
243	в которой	6	3
244	а по	5	3
245	и их	1	3
246	в начале	5	3
247	в пределах	3	3
248	в большинстве	1	3
249	в этой	7	3
250	к ней	9	3
251	приводит к	4	3
252	мы будем	1	3
253	же в	3	3
254	все еще	2	3
255	на то	3	3
256	и его	10	3
257	и по	3	3
258	и только	1	3
259	в один	1	3
260	не так	4	2
261	от него	2	2
262	которой все	1	2
263	если он	3	2
264	должна быть	2	2
265	из таких	1	2
266	вопросу о	1	2
267	другой пример	1	2
268	не с	2	2
269	происходит с	1	2
270	мужа в	1	2
271	и тот	6	2
272	не на	3	2
273	в своих	4	2
274	более или	2	2
275	образом если	1	2
276	но вот	1	2
277	чего следует	1	2
278	например в	3	2
279	в числе	1	2
280	относятся к	1	2
281	с тем	6	2
282	при различных	1	2
283	очень важный	1	2
284	их в	3	2
285	обоих случаях	1	2
286	в которых	7	2
287	себя и	2	2
288	только для	2	2
289	не имеет	6	2
290	за ней	2	2
291	когда в	1	2
292	роль в	3	2
293	в каком	1	2
294	во сне	1	2
295	к другому	2	2
296	не входит	1	2
297	сразу и	1	2
298	у нее	2	2
299	во всяком	3	2
300	его и	3	2
301	можно сказать	1	2
302	того как	5	2
303	сразу же	5	2
304	в основе	3	2
305	и более	1	2
306	он требует	1	2
307	что этот	1	2
308	что мы	4	2
309	как например	2	2
310	такую же	3	2
311	в жены	6	2
312	одной стороны	4	2
313	на друга	1	2
314	в другом	2	2
315	том как	5	2
316	же между	2	2
317	к себе	9	2
318	в середине	1	2
319	он старается	1	2
320	увидим что	1	2
321	точно так	1	2
322	в одном	3	2
323	и когда	2	2
324	превращается в	1	2
325	в обоих	2	2
326	действия и	2	2
327	так называемых	1	2
328	в глаза	3	2
329	друг на	1	2
330	что же	2	2
331	без всякого	2	2
332	за другом	2	2
333	тем же	3	2
334	тех случаях	1	2
335	одной из	4	2
336	из первых	1	2
337	сына и	2	2
338	или очень	1	2
339	на этот	6	2
340	что она	10	2
341	который в	3	2
342	появляется в	1	2
343	всяком случае	3	2
344	на поиски	1	2
345	но так	1	2
346	себя в	3	2
347	свадьбу с	1	2
348	или другой	1	2
349	заставляет его	1	2
350	все известные	1	2
351	для него	1	2
352	в свое	2	2
353	ответ на	7	2
354	то они	1	2
355	ничем не	4	2
356	как такового	1	2
357	ее отца	3	2
358	может не	1	2
359	на вопрос	5	2
360	после чего	2	2
361	в доме	17	2
362	в основу	1	2
363	собой в	1	2
364	с одной	5	2
365	нашей работы	1	2
366	вывод что	2	2
367	по очереди	2	2
368	ни к	1	2
369	ни было	3	2
370	этом отношении	2	2
371	для нас	7	2
372	все это	7	2
373	по ночам	1	2
374	с другими	2	2
375	чем в	5	2
376	как эти	1	2
377	не знает	7	2
378	что там	1	2
379	этого не	1	2
380	с двумя	1	2
381	одним из	2	2
382	просьбой о	1	2
383	исходят из	1	2
384	развитие которое	1	2
385	средств к	1	2
386	за которым	1	2
387	также в	2	2
388	случаях когда	1	2
389	лиц не	1	2
390	у него	10	2
391	не от	1	2
392	по своему	3	2
393	незадолго до	2	2
394	к вопросу	2	2
395	в чем	7	2
396	путь к	1	2
397	или менее	2	2
398	и таким	1	2
399	и представляют	1	2
400	в одной	2	2
401	бы в	5	2
402	а потом	1	2
403	вопрос не	2	2
404	случай в	1	2
405	не знаешь	1	2
406	могли бы	1	2
407	друг за	2	2
