N	2gram	Tiupa_Narr	VerxiiNi
1	и в	22	26
2	таким образом	5	22
3	с тем	1	18
4	в этом	23	15
5	вместе с	3	15
6	точки зрения	8	13
7	как бы	11	12
8	в том	20	11
9	не только	50	10
10	и с	3	10
11	может быть	24	10
12	из этих	6	10
13	после смерти	2	10
14	что в	6	9
15	так как	1	9
16	связи с	3	9
17	но и	39	9
18	в области	4	9
19	в общем	1	8
20	и у	4	8
21	и не	34	8
22	как на	2	8
23	главным образом	1	8
24	с другой	6	8
25	но не	7	8
26	с одной	5	7
27	но все	1	7
28	том что	15	7
29	потому что	7	7
30	одной стороны	5	7
31	а с	2	7
32	то что	14	7
33	но в	10	7
34	из них	4	7
35	к нему	5	7
36	так и	12	6
37	в конце	4	6
38	несмотря на	1	6
39	все это	1	6
40	что и	3	6
41	в отношении	1	6
42	все эти	3	6
43	все же	10	6
44	к тому	13	6
45	о том	5	6
46	во всяком	2	6
47	и потому	2	6
48	всяком случае	2	6
49	мы должны	1	6
50	и т.д	7	6
51	с точки	2	6
52	в себе	14	6
53	того же	2	6
54	и к	7	5
55	до сих	3	5
56	том числе	1	5
57	в его	12	5
58	к жизни	3	5
59	тому же	9	5
60	более или	2	5
61	в мире	8	5
62	не имеет	3	5
63	с другом	1	5
64	или менее	2	5
65	сих пор	3	5
66	по крайней	1	5
67	того чтобы	7	5
68	для того	4	5
69	так же	2	5
70	лишь в	3	5
71	отношение к	2	5
72	одной из	2	5
73	в силу	5	5
74	друг с	1	5
75	а не	27	5
76	и для	4	5
77	крайней мере	1	5
78	никогда не	8	5
79	при жизни	1	4
80	в самом	8	4
81	ничем не	1	4
82	то есть	15	4
83	и по	3	4
84	то же	12	4
85	из которых	1	4
86	только в	23	4
87	в этих	3	4
88	должен был	1	4
89	с другими	1	4
90	целый ряд	1	4
91	что он	7	4
92	в которых	1	4
93	и потому-то	1	4
94	в котором	3	4
95	в течение	1	4
96	и тогда	2	4
97	он не	8	4
98	и что	1	4
99	далеко не	6	4
100	а в	19	4
101	в этой	8	4
102	числе и	1	4
103	и от	3	4
104	не может	16	4
105	что все	1	4
106	на этот	2	4
107	в виде	2	4
108	в то	9	4
109	и только	2	4
110	в нем	9	4
111	во время	2	4
112	с этой	3	3
113	при этом	31	3
114	душ и	1	3
115	для него	8	3
116	из всех	1	3
117	что это	4	3
118	тем не	7	3
119	в качестве	27	3
120	в результате	4	3
121	так или	1	3
122	и даже	4	3
123	если бы	9	3
124	в которой	2	3
125	или иначе	2	3
126	на нее	2	3
127	в таком	4	3
128	случае не	1	3
129	в связи	3	3
130	ясно что	2	3
131	и как	4	3
132	как о	2	3
133	же как	2	3
134	но по	1	3
135	если в	2	3
136	не менее	6	3
137	в других	2	3
138	а так	1	3
139	и нет	1	3
140	можно сказать	11	3
141	но с	1	3
142	за собой	1	3
143	хотя бы	4	3
144	в значительной	1	3
145	представляет собой	21	3
146	так что	1	3
147	так называемые	1	3
148	у них	1	3
149	когда он	1	3
150	точно так	2	3
151	в одном	5	3
152	оказывается что	1	3
153	не вполне	3	3
154	в рамках	6	3
155	к ним	2	3
156	и о	4	3
157	отношению к	5	3
158	в своем	7	3
159	уже не	11	3
160	к этому	2	3
161	своей индивидуальности	1	3
162	того что	7	3
163	течением времени	1	3
164	бы то	1	2
165	все что	4	2
166	для всех	1	2
167	один из	8	2
168	и здесь	3	2
169	ему в	2	2
170	и на	5	2
171	благодаря этому	1	2
172	только что	4	2
173	и сейчас	1	2
174	свидетельствует о	4	2
175	к одной	1	2
176	и люди	1	2
177	уже в	1	2
178	мы имеем	6	2
179	не с	1	2
180	ни было	1	2
181	этом отношении	5	2
