N	2gram	Bakhtin_fo	DiskursI
1	в качестве	6	72
2	а не	7	60
3	может быть	18	56
4	не только	16	49
5	и в	84	49
6	как и	15	47
7	при этом	8	46
8	и не	19	44
9	в том	16	44
10	то есть	42	41
11	том что	7	40
12	в этом	41	38
13	в себе	7	37
14	в частности	11	36
15	но и	14	35
16	и т.п	6	32
17	своего рода	1	32
18	но не	9	31
19	отличие от	3	28
20	но в	16	28
21	так и	17	28
22	в отличие	3	27
23	не может	8	27
24	по своей	1	26
25	как в	10	25
26	литературных жанров	1	23
27	отнюдь не	7	23
28	еще не	8	23
29	а также	5	20
30	в своей	2	19
31	все же	12	19
32	в нем	28	19
33	прежде всего	28	19
34	далеко не	3	18
35	в основе	9	18
36	то же	18	17
37	в данном	4	17
38	с другой	4	17
39	в мире	4	17
40	по отношению	3	17
41	отношению к	5	17
42	точки зрения	14	16
43	только в	12	16
44	о том	4	15
45	то что	13	15
46	роль в	12	15
47	в его	19	15
48	можно сказать	2	14
49	одной стороны	3	14
50	с одной	5	14
51	не в	10	14
52	картины мира	2	14
53	ни к	3	14
54	не является	4	14
55	это не	8	14
56	или иной	4	14
57	как бы	11	13
58	для него	5	13
59	в целом	2	13
60	в своих	1	12
61	при всей	1	12
62	в своем	8	12
63	того же	9	12
64	природе своей	2	12
65	жанра в	1	12
66	и на	13	12
67	и все	10	12
68	данном случае	2	12
69	по природе	2	11
70	не было	8	11
71	что в	9	11
72	с его	10	11
73	и как	12	11
74	не столько	2	10
75	той или	3	10
76	для себя	8	10
77	вследствие этого	4	10
78	а в	6	10
79	же время	13	10
80	также и	6	10
81	и т.д	2	10
82	в них	11	9
83	уже не	5	9
84	себя в	2	9
85	внимание на	2	9
86	между тем	1	9
87	в то	13	9
88	героя в	1	9
89	сводится к	1	9
90	картина мира	2	9
91	еще в	1	9
92	этого жанра	1	8
93	в этих	6	8
94	и даже	5	8
95	в соответствии	2	8
96	к тому	6	8
97	в котором	8	8
98	в одном	10	8
99	из них	8	8
100	хотя и	5	8
101	в себя	3	8
102	он не	6	8
103	если в	1	8
104	не на	4	8
105	не следует	1	8
106	жизни в	11	8
107	потому что	11	8
108	соответствии с	2	8
109	этом отношении	5	8
110	человека в	22	8
111	как уже	3	8
112	и о	1	8
113	о чем	4	7
114	другой стороны	1	7
115	таким образом	14	7
116	одной из	3	7
117	что и	5	7
118	тому же	2	7
119	его в	8	7
120	к этому	5	7
121	в этой	3	7
122	могут быть	7	7
123	например в	7	7
124	ни в	9	7
125	в процессе	4	7
