N	3gram	Medvedev_F	Psycholo
1	в том что	3	78
2	для того чтобы	3	70
3	в самом деле	5	51
4	и т п	11	37
5	заключается в том	1	36
6	с точки зрения	17	29
7	с одной стороны	5	28
8	все то что	1	23
9	не может быть	11	23
10	до сих пор	7	23
11	и т д	11	22
12	к тому что	3	20
13	с другой стороны	4	20
14	в том чтобы	3	20
15	мы увидим что	1	19
16	на самом деле	7	17
17	мы видим что	1	16
18	не только не	2	16
19	с самого начала	2	16
20	в зависимости от	4	15
21	так же как	1	14
22	во всяком случае	6	14
23	в этом отношении	7	14
24	и в этом	6	13
25	сам по себе	2	12
26	этой точки зрения	1	12
27	в конце концов	2	12
28	то что он	1	11
29	по сравнению с	1	11
30	в художественном произведении	3	11
31	к тому чтобы	2	10
32	с этой точки	1	10
33	вместе с тем	5	10
34	только в том	1	10
35	не в том	3	10
36	сами по себе	4	10
37	в отличие от	2	9
38	в том случае	2	9
39	в данном случае	2	9
40	что он не	1	9
41	в том и	1	9
42	и как бы	1	8
43	смысле этого слова	4	8
44	по этому поводу	1	8
45	с тем что	3	8
46	мы знаем что	1	8
47	что в нем	2	8
48	состоит в том	1	7
49	бы сказать что	1	7
50	на этот вопрос	1	7
51	том случае если	1	7
52	в этом смысле	3	7
53	совершенно очевидно что	1	7
54	на то чтобы	2	7
55	только то что	1	7
56	в свою очередь	6	7
57	в какой мере	2	7
58	что и в	2	7
59	как и в	1	7
60	том и заключается	1	6
61	сама по себе	2	6
62	и может быть	1	6
63	было бы сказать	1	6
64	не что иное	1	6
65	до тех пор	1	6
66	мы не можем	3	6
67	сводится к тому	2	6
68	тем не менее	2	6
69	более или менее	7	6
70	по себе не	1	6
71	и в том	1	6
72	того или иного	6	6
73	что иное как	1	6
74	при таком понимании	2	6
75	в собственном смысле	1	5
76	в таком случае	1	5
77	что в основе	1	5
78	как если бы	2	5
79	в целом ряде	2	5
80	и в частности	2	5
81	зависимости от того	1	5
82	в жизни и	1	5
83	и во всех	1	5
84	в том смысле	3	5
85	должен был бы	1	5
86	в лучшем случае	3	5
87	же как и	1	5
88	вместо того чтобы	1	5
89	нам кажется что	1	5
90	вслед за этим	1	4
91	в применении к	4	4
92	том что искусство	2	4
93	если же мы	1	4
94	которая могла бы	1	4
95	в настоящее время	11	4
96	из того что	1	4
97	и в этой	2	4
98	это то что	1	4
99	таким образом мы	1	4
100	эта точка зрения	1	4
101	таким образом в	1	4
102	и заключается что	1	4
103	точном смысле этого	1	4
104	в его основе	1	4
105	то или иное	1	4
106	не для того	1	4
107	в этой области	1	4
108	и не может	5	4
109	от того что	1	4
110	искусство как прием	2	4
111	в этом рассказе	1	4
112	все более и	3	4
113	более и более	3	4
114	так как они	1	4
115	именно в том	2	4
116	по себе а	2	3
117	в том как	1	3
118	в учении о	1	3
119	друг от друга	2	3
120	дело идет о	3	3
121	в отношении к	1	3
122	по аналогии с	4	3
123	каждого из этих	1	3
124	в последнее время	1	3
125	все дело в	1	3
126	произведение искусства есть	1	3
127	и там где	1	3
128	по отношению к	4	3
129	это не так	1	3
130	столько же сколько	1	3
131	художественного произведения и	2	3
132	сделать камень каменным	1	3
133	в самом конце	1	3
134	тому что он	1	3
135	не могут быть	4	3
136	между тем в	1	3
137	а вовсе не	2	3
138	может быть и	4	3
139	он полагает что	1	3
140	том смысле что	2	3
141	она должна быть	1	3
142	только на почве	2	3
143	и в конце	1	3
144	иметь в виду	1	3
145	в том или	1	3
146	в высшей степени	4	3
147	бы то ни	4	3
148	то же время	13	3
149	но он не	1	3
150	в это время	1	3
151	не может и	1	3
152	том или ином	1	3
153	ничего общего с	2	3
154	в то же	13	3
155	то и другое	1	3
156	во всех этих	1	3
157	в этом случае	1	3
158	и то и	1	3
159	с тем и	2	3
160	до конца и	1	3
161	в искусстве есть	1	2
162	только затем чтобы	1	2
163	мере в какой	1	2
164	одной стороны и	4	2
165	каждого из них	1	2
166	и если в	1	2
167	ни на минуту	1	2
168	мы уже знаем	1	2
169	во всей ее	1	2
170	и в этих	1	2
171	эта тенденция к	1	2
172	не в этом	1	2
173	и все те	1	2
174	исходили из ложного	1	2
175	в своей основе	1	2
176	а не как	1	2
177	она не может	1	2
178	вместе с ними	1	2
179	материал художественного произведения	1	2
180	тем что его	1	2
181	так или иначе	1	2
182	рядом с этим	1	2
183	так и в	6	2
184	трудно не заметить	1	2
185	но при этом	1	2
186	между тем как	1	2
187	что в самом	1	2
188	и тем самым	2	2
189	художественное произведение как	2	2
190	фабула и сюжет	1	2
