N	3gram	Trubetskoy	Sovremen
1	с точки зрения	8	5
2	в зависимости от	1	4
3	не может быть	4	4
4	мы видели что	1	3
5	не может не	3	3
6	с самого начала	1	3
7	друг с другом	9	2
8	в свою очередь	2	2
9	то же самое	1	2
10	во всяком случае	2	2
11	тем не менее	4	2
12	не подлежит сомнению	3	2
13	в настоящее время	3	2
14	может быть и	4	2
15	то ни было	3	1
16	но мы знаем	1	1
17	таким образом все	1	1
18	с и т.д	1	1
19	мы знаем что	7	1
20	в том что	16	1
21	на самом деле	7	1
22	и до сих	1	1
23	не более как	2	1
24	до сих пор	15	1
25	может не быть	1	1
26	а может быть	1	1
27	и у нас	1	1
28	представление о том	1	1
29	с одной и	1	1
30	все они одинаково	1	1
31	в связи с	3	1
32	и все же	1	1
33	в самом деле	5	1
34	дело в том	1	1
35	в том случае	4	1
36	тот факт что	4	1
37	в первое время	1	1
38	в данном случае	3	1
39	это не более	1	1
40	что все они	1	1
41	все это делает	1	1
42	но все же	2	1
43	мы уже знаем	1	1
44	совершенно так же	4	1
45	в этом направлении	1	1
46	ни то ни	1	1
47	и той же	1	1
48	уже знаем что	1	1
49	с одной стороны	2	1
50	бы все это	1	1
51	одной и той	1	1
52	они не могут	1	1
53	в этой области	4	1
54	мы не знаем	1	1
55	а потом и	1	1
56	так же как	3	1
57	то же время	2	1
58	не в том	1	1
59	и что следовательно	1	1
60	что каждый раз	1	1
61	по отношению к	11	1
62	то ни другое	1	1
63	и может быть	2	1
64	в то же	2	1
65	бы то ни	3	1
66	заключает в себе	2	1
67	теперь мы должны	1	1
68	приспособления к среде	1	1
69	заключают в себе	1	1
70	по крайней мере	1	1
71	в этом случае	4	1
72	тот или иной	1	1
73	же самое что	1	1
74	шаг за шагом	1	1
75	можно было бы	1	1
76	важную роль в	1	1
77	друг на друга	2	1
78	именно в том	1	1
79	и не может	1	1
80	по его мнению	1	1
81	мы видим что	1	1
