N	3gram	Trubetskoy	UchenyiS
1	не может быть	4	4
2	то ни было	1	3
3	бы то ни	4	3
4	в то же	10	3
5	то же время	10	3
6	и то что	3	2
7	в том что	7	2
8	в противном случае	1	2
9	в самом деле	1	2
10	до сих пор	5	2
11	тех или иных	1	2
12	и в частности	1	2
13	а между тем	5	2
14	в конце концов	3	2
15	то же самое	1	2
16	в этом отношении	1	2
17	но даже и	1	2
18	по крайней мере	1	2
19	быть не может	1	1
20	говорить не о	1	1
21	этого и в	1	1
22	друг с другом	14	1
23	на первый взгляд	1	1
24	тем что он	1	1
25	но в то	1	1
26	но по существу	1	1
27	не только к	2	1
28	по себе еще	1	1
29	в значительной мере	2	1
30	это то же	1	1
31	приходится признать что	1	1
32	но это же	1	1
33	и не только	1	1
34	только в этом	1	1
35	на то что	4	1
36	и прежде всего	1	1
37	более или менее	4	1
38	с другом не	1	1
39	в данном случае	3	1
40	в этом случае	3	1
