N	4gram	Bakhtin_Pr	StatiiOP
1	дело в том что	1	9
2	в то же время	10	9
3	заключается в том что	1	6
4	в то время как	2	5
5	в том отношении что	1	4
6	той мере в какой	1	3
7	в той мере в	1	3
8	во всяком случае не	1	3
9	не имеет ничего общего	1	3
10	в том что он	4	3
11	имеет ничего общего с	1	3
12	совершенно так же как	2	2
13	в данном случае в	1	2
14	в том числе и	1	2
15	с точки зрения их	1	2
16	и в то же	3	2
17	но в то же	5	2
18	но с другой стороны	2	2
19	бы то ни было	2	2
20	в той или иной	2	2
21	и в этом смысле	2	2
22	не в том что	1	2
23	и в этом отношении	2	2
24	и в том что	1	1
25	том и другом случае	2	1
26	именно в том что	2	1
27	до самого последнего времени	1	1
28	и в том и	1	1
29	только с точки зрения	1	1
30	до сих пор еще	1	1
31	во что бы то	1	1
32	не потому что он	1	1
33	само по себе не	1	1
34	для своего времени и	1	1
35	особенно характерен в этом	1	1
36	и во всяком случае	1	1
37	в отличие от других	1	1
38	которой можно было бы	1	1
39	ни в каком смысле	1	1
40	иначе и быть не	1	1
41	то же время оно	1	1
42	с этой точки зрения	1	1
43	что бы то ни	1	1
44	но это не значит	1	1
45	может быть даже и	1	1
46	можно даже сказать что	1	1
47	независимо от того кто	1	1
48	но на самом деле	1	1
49	в другом месте и	1	1
50	в том и другом	2	1
51	одной и той же	1	1
52	в самом деле в	1	1
53	только и могут быть	1	1
54	и по отношению к	1	1
55	не копировал и не	1	1
56	и в частности на	1	1
57	она была для него	1	1
58	с другой стороны и	1	1
59	то же время не	3	1
60	бы то ни стало	1	1
61	не все в этой	1	1
62	с точки зрения своей	1	1
63	тем не менее и	1	1
64	говорить о том что	1	1
65	так же как и	3	1
66	а может быть даже	2	1
67	характерен в этом отношении	1	1
68	ни на минуту не	1	1
69	что же это за	1	1
