N	3gram	Voloshinov	VrazhdaK
1	то же время	1	4
2	в то же	1	4
3	в связи с	1	3
4	в том что	2	2
5	в этот момент	1	2
6	не может быть	4	2
7	но в то	1	2
8	с точки зрения	5	2
9	и уж конечно	1	1
10	не было бы	1	1
11	одно и то	3	1
12	равно как и	1	1
13	так же как	1	1
14	что в ней	1	1
15	на то что	1	1
16	быть и речи	1	1
17	и никогда не	1	1
18	он и не	1	1
19	тем не менее	1	1
20	все равно не	1	1
21	с другой стороны	2	1
22	и то же	2	1
23	но не менее	1	1
24	в этом отношении	1	1
25	и не может	1	1
26	может быть и	1	1
