N	2gram	Bakhtin_Pr	NovoeSre
1	а не	5	17
2	не может	27	16
3	и в	38	16
4	и не	42	11
5	и есть	2	10
6	что в	7	9
7	истории и	1	9
8	в том	8	8
9	как не	1	8
10	жизни и	1	8
11	он не	3	8
12	в этом	15	7
13	может быть	26	7
14	культуры и	3	7
15	как и	7	7
16	ни в	11	6
17	не знает	3	6
18	не в	7	6
19	лишь в	2	6
20	высшей степени	5	6
21	с его	2	6
22	но это	3	6
23	в высшей	5	6
24	никогда не	5	6
25	и к	3	5
26	не только	9	5
27	в ней	4	5
28	все это	3	5
29	в нем	15	5
30	с ее	1	5
31	должен быть	2	5
32	перестает быть	4	4
33	и потому	4	4
34	и мы	1	4
35	по своему	1	4
36	не во	2	4
37	со всех	2	4
38	должно быть	5	4
39	это не	5	4
40	прежде всего	13	4
41	в них	5	4
42	то что	8	4
43	не было	2	4
44	есть лишь	3	4
45	и все	3	4
46	всех сторон	2	4
47	не менее	4	4
48	не имеет	9	4
49	и для	11	4
50	о том	4	4
51	к лицу	1	3
52	во всех	11	3
53	вопрос о	1	3
54	в наши	1	3
55	и пр	2	3
56	должна быть	4	3
57	она не	2	3
58	тому как	1	3
59	в ее	4	3
60	смысле слова	2	3
61	лицом к	1	3
62	за пределы	12	3
63	конечно не	5	3
64	подобно тому	1	3
65	в истории	2	3
66	не существует	1	3
67	с другой	7	3
68	в основе	5	3
69	к ним	1	3
70	в россии	2	3
71	сказать что	4	3
72	с тем	1	3
73	не есть	6	3
74	в своей	7	3
75	в мире	3	3
76	как в	4	3
77	жизни в	1	3
78	но и	9	3
79	это было	1	3
80	к тому	1	3
81	человека и	1	3
82	еще не	7	3
83	все они	5	2
84	центр тяжести	2	2
85	и от	3	2
86	и весь	2	2
87	это и	1	2
88	ни к	2	2
89	стремиться к	1	2
90	и что	2	2
91	не могли	2	2
92	на протяжении	1	2
93	свои права	1	2
94	ли это	1	2
95	не имеют	2	2
96	познания и	30	2
97	с одной	3	2
98	хотя бы	4	2
99	нем нет	1	2
100	того чтобы	2	2
101	хотя и	3	2
102	в нашу	1	2
103	так и	5	2
104	как это	2	2
105	но она	2	2
106	одной стороны	3	2
107	не могла	1	2
108	можно было	4	2
109	и должно	3	2
110	не ставит	1	2
111	ни одна	2	2
112	другой стороны	4	2
113	этом смысле	3	2
114	том и	1	2
115	место в	8	2
116	приобщиться к	1	2
117	а в	6	2
118	все время	1	2
119	и даже	3	2
120	и формы	1	2
121	в свои	1	2
122	и с	17	2
123	мы говорим	1	2
124	и начинается	1	2
125	по существу	2	2
126	жизни как	1	2
127	нет и	3	2
128	равно как	1	2
129	могут быть	5	2
130	в себе	4	2
131	и на	3	2
132	уже не	1	2
133	я не	2	2
134	что все	2	2
135	время как	1	2
136	помнить что	3	2
137	все эти	5	2
138	есть в	1	2
139	вместе с	1	2
140	но я	1	2
141	который в	1	2
142	одна из	2	2
143	мира и	1	2
144	но не	12	2
145	в то	4	2
146	культуры она	1	2
147	в новом	1	2
148	том что	3	2
149	бытия в	3	2
150	так же	1	2
151	и это	3	2
152	в смысле	1	2
153	но для	1	2
154	к созданию	1	2
155	в одну	1	2
156	себя в	2	2
157	но в	4	2
158	мысли и	1	2
159	формы и	5	2
160	не к	6	2
161	связаны с	2	2
162	к содержанию	17	2
163	для политики	1	1
164	в той	1	1
165	формы к	1	1
166	всех своих	2	1
167	мир не	1	1
168	и мир	2	1
169	в самом	7	1
170	лишь там	2	1
171	во всем	2	1
172	к одному	1	1
173	должен прежде	1	1
174	от нее	1	1
175	до этого	1	1
176	обращена к	1	1
177	но можно	2	1
178	может иметь	5	1
179	можно сказать	2	1
180	то он	1	1
181	все что	3	1
182	человека в	2	1
183	творчества не	1	1
184	возникают не	1	1
185	начинается в	1	1
186	но оно	1	1
187	для всех	1	1
188	ночь и	1	1
189	в философском	1	1
190	и быть	1	1
191	в более	4	1
192	до сих	1	1
193	а к	2	1
194	образования и	1	1
195	как ни	1	1
196	и более	2	1
197	в котором	2	1
198	из сторон	1	1
199	же стороны	2	1
200	а белый	1	1
201	значение в	1	1
202	реально не	1	1
203	пр в	1	1
204	выходит за	1	1
205	отличие от	5	1
206	мир в	2	1
207	рода и	1	1
208	возможно лишь	1	1
209	что никаких	1	1
210	они не	3	1
211	из них	1	1
212	и изнутри	1	1
213	как формальное	1	1
214	на нем	1	1
215	может осуществить	2	1
216	мы уже	1	1
217	жизни а	1	1
218	которая в	1	1
219	путем необходимо	1	1
220	на ее	3	1
221	которая обращена	1	1
222	к себе	2	1
223	в свою	2	1
224	есть реального	1	1
225	в значительной	2	1
226	все свои	1	1
227	не должно	1	1
228	одну из	1	1
229	с миром	4	1
230	для того	2	1
231	в каких	2	1
232	вопросу о	1	1
233	быть отнесены	1	1
234	быть не	1	1
235	не для	1	1
236	моментом в	3	1
237	имеет более	1	1
238	лишь для	2	1
239	последние годы	2	1
240	не всегда	6	1
241	это уже	1	1
242	что вся	1	1
243	личность от	1	1
244	было бы	8	1
245	мы должны	2	1
246	не должна	4	1
247	или ложно	1	1
248	мира так	1	1
249	в его	43	1
250	значительной степени	1	1
251	суждения не	1	1
252	способность его	1	1
253	мы в	3	1
254	но ведь	1	1
255	и вся	2	1
256	значение для	3	1
257	должны быть	4	1
258	в которую	1	1
259	говорить о	3	1
260	не с	4	1
261	бытия и	1	1
262	не были	1	1
263	и ему	1	1
264	есть и	1	1
265	совершенно невозможно	3	1
266	у нас	2	1
267	для них	1	1
268	это формы	1	1
269	с другими	3	1
270	было то	1	1
271	не через	1	1
272	вопроса о	3	1
273	в виду	4	1
274	не больше	3	1
275	слишком долго	1	1
276	всеми сторонами	1	1
277	природу и	3	1
278	только в	13	1
279	движения в	1	1
280	не на	5	1
281	не могут	2	1
282	есть уже	1	1
283	под этим	1	1
284	власти и	1	1
285	в нее	1	1
286	него как	1	1
287	она становится	1	1
288	борьбе за	1	1
289	в боге	1	1
290	свободно и	1	1
291	творчества и	5	1
292	в большинстве	5	1
293	оно не	3	1
294	как например	1	1
295	а на	1	1
296	сами по	1	1
297	другой же	2	1
298	не их	1	1
299	образ человека	1	1
300	но он	1	1
301	быть признана	1	1
302	быть признан	1	1
303	значение и	1	1
304	зависимость от	1	1
305	в которой	1	1
306	в этой	1	1
307	этого не	1	1
308	к чему	2	1
309	человеческой жизни	1	1
310	человек а	1	1
311	а также	1	1
312	нашего чувства	1	1
313	и техники	1	1
314	установить что	1	1
315	в отличие	5	1
316	так называемый	2	1
317	явление в	1	1
318	культуры но	1	1
319	на нее	1	1
320	быть понята	2	1
321	нем не	1	1
322	из всех	1	1
323	менее всего	3	1
324	быть только	5	1
325	что не	4	1
326	тем что	2	1
327	находит она	1	1
328	и во	2	1
329	социальные и	1	1
330	к этой	1	1
331	быть понят	1	1
332	то время	1	1
333	лишь к	1	1
334	она неизбежно	1	1
335	вообще не	7	1
336	того времени	1	1
337	или иная	1	1
338	свои возможности	1	1
339	смысле и	1	1
340	к которому	4	1
341	в своем	5	1
342	процессы в	1	1
343	вся культура	1	1
344	мы конечно	1	1
345	характер и	1	1
346	в познании	2	1
347	понята как	1	1
348	и дух	1	1
349	сих пор	1	1
350	что он	2	1
351	на себя	1	1
352	направлена на	1	1
353	он может	2	1
354	большинстве случаев	5	1
355	которые могут	2	1
356	перестать быть	1	1
357	что мы	1	1
358	и которые	2	1
359	в этих	2	1
360	для решения	1	1
361	том смысле	1	1
362	и отдельных	2	1
363	как свободная	1	1
364	но если	1	1
365	по себе	1	1
366	единству и	2	1
367	последних пределов	1	1
368	приводит к	3	1
369	оно может	2	1
370	в области	11	1
371	того и	1	1
372	нуждается в	2	1
373	с ним	5	1
374	и только	4	1
375	есть только	2	1
376	ли он	1	1
377	от всех	4	1
378	себя все	2	1
379	существенным моментом	2	1
380	отнесены к	2	1
381	к единству	5	1
382	который можно	1	1
383	изнутри и	1	1
384	та или	1	1
385	друг друга	1	1
386	миром а	1	1
387	к вопросу	1	1
388	явление культуры	1	1
389	на их	1	1
390	в чем	2	1
391	ничего нет	2	1
392	нет в	1	1
393	движения и	2	1
394	и его	16	1
395	у в	3	1
396	и особенно	1	1
397	слова в	7	1
398	и у	2	1
399	себе и	1	1
400	за его	3	1
401	связано с	1	1
402	кончается и	2	1
403	осуществить своих	1	1
404	обратиться к	1	1
405	себя и	3	1
406	к нему	10	1
407	становится в	1	1
408	ему не	1	1
409	на них	3	1
