N	4gram	Tiupa_Hudo	Tvorches
1	в то же время	11	24
2	и в то же	2	6
3	но в то же	3	6
4	дело в том что	1	4
5	в том что в	1	3
6	в том числе и	1	2
7	заключается в том что	1	2
8	на самом же деле	1	1
9	подробнее об этом см	1	1
10	что он вовсе не	1	1
11	не потому что он	1	1
12	х годов xix века	1	1
13	хотя быть может и	1	1
14	все более и более	1	1
15	одна и та же	1	1
16	мы уже говорили о	1	1
17	ни в чем не	1	1
18	и т п эта	1	1
19	не имеют для них	1	1
20	и в самом деле	4	1
21	не обращая внимания на	1	1
22	в один ряд с	1	1
23	не только потому что	1	1
24	дело не только в	2	1
25	до сих пор еще	1	1
26	в этом источник трагизма	1	1
27	все что можно сказать	1	1
28	так же как и	1	1
29	все с той же	1	1
30	если можно так выразиться	1	1
