N	2gram	Bakhtin_sl	NovoeSre
1	а не	29	17
2	не может	27	16
3	и в	69	16
4	совсем не	1	12
5	и не	32	11
6	и есть	2	10
7	что в	3	9
8	в том	7	8
9	как не	1	8
10	жизни и	5	8
11	он не	5	8
12	в этом	21	7
13	может быть	40	7
14	средние века	1	7
15	культуры и	2	7
16	как и	8	7
17	к новому	3	7
18	ни в	4	6
19	не знает	3	6
20	не в	14	6
21	лишь в	6	6
22	с его	8	6
23	но это	3	6
24	никогда не	9	6
25	и к	9	5
26	не только	37	5
27	в ней	7	5
28	все это	14	5
29	xix века	2	5
30	в жизни	1	5
31	в нем	44	5
32	с ее	6	5
33	должен быть	3	5
34	перестает быть	2	4
35	и потому	9	4
36	по своему	2	4
37	со всех	1	4
38	должно быть	3	4
39	потому что	2	4
40	это не	8	4
41	прежде всего	14	4
42	в них	11	4
43	то что	2	4
44	не было	4	4
45	новое время	2	4
46	и все	9	4
47	всех сторон	1	4
48	не менее	4	4
49	и для	7	4
50	эпохи и	2	4
51	о том	5	4
52	во всех	25	3
53	в наше	1	3
54	должна быть	3	3
55	она не	8	3
56	в ее	2	3
57	эти формы	5	3
58	смысле слова	2	3
59	что такое	1	3
60	в прошлом	2	3
61	за пределы	6	3
62	стремится к	2	3
63	конечно не	7	3
64	в истории	6	3
65	в новое	4	3
66	в духе	3	3
67	с другой	8	3
68	в основе	8	3
69	в средние	1	3
70	к ним	2	3
71	сказать что	4	3
72	всех сферах	4	3
73	не значит	2	3
74	не есть	2	3
75	в своей	8	3
76	в мире	1	3
77	как в	18	3
78	жизни в	2	3
79	перейти к	1	3
80	но и	37	3
81	это было	2	3
82	к тому	3	3
83	человека и	3	3
84	еще не	9	3
85	от всякого	2	2
86	с этим	5	2
87	все они	9	2
88	и от	5	2
89	это и	1	2
90	силы и	1	2
91	и что	2	2
92	на протяжении	3	2
93	что она	1	2
94	не имеют	1	2
95	и было	1	2
96	борьба и	1	2
97	самый процесс	1	2
98	с одной	7	2
99	хотя бы	6	2
100	в судьбах	1	2
101	такого рода	2	2
102	мы не	4	2
103	того чтобы	1	2
104	хотя и	4	2
105	переход к	1	2
106	так и	22	2
107	нашего времени	1	2
108	как это	3	2
109	если нет	1	2
110	но она	2	2
111	одной стороны	7	2
112	не могла	2	2
113	можно было	2	2
114	и должно	1	2
115	другой стороны	5	2
116	с их	1	2
117	том и	2	2
118	в русском	1	2
119	у него	5	2
120	место в	2	2
121	все категории	2	2
122	и общества	2	2
123	а в	10	2
124	все время	4	2
125	и даже	11	2
126	века и	1	2
127	и формы	4	2
128	в свои	1	2
129	и с	10	2
130	действовать и	1	2
131	мы говорим	1	2
132	вернуться к	1	2
133	связана с	2	2
134	по существу	3	2
135	для этого	4	2
136	нет и	1	2
137	xviii века	3	2
138	равно как	1	2
139	могут быть	25	2
140	в себе	3	2
141	и на	17	2
142	быть в	1	2
143	уже не	5	2
144	что все	2	2
145	время как	2	2
146	глубины и	1	2
147	все эти	15	2
148	есть в	1	2
149	же как	2	2
150	вместе с	3	2
151	одна из	6	2
152	жизнью в	1	2
153	мира и	4	2
154	роль в	4	2
155	но не	7	2
156	в то	17	2
157	стоят на	1	2
158	в новом	3	2
159	том что	6	2
160	в мировой	2	2
161	ведь и	1	2
162	мир и	1	2
163	так же	2	2
164	и это	1	2
165	в смысле	7	2
166	себя в	14	2
167	но в	13	2
168	и т.п	1	2
169	мысли и	1	2
170	формы и	3	2
171	обращение к	1	2
172	не к	1	2
173	в той	13	1
174	вопрос об	1	1
175	эпоху не	1	1
176	всех своих	2	1
177	мир не	1	1
178	и мир	9	1
179	в самом	6	1
180	лишь там	1	1
181	ближе к	1	1
182	во всем	3	1
183	к одному	1	1
184	нет ничего	1	1
185	всего они	1	1
186	и того	1	1
187	до этого	1	1
188	общественным мнением	1	1
189	привело к	1	1
190	может иметь	3	1
191	можно сказать	2	1
192	то он	1	1
193	все что	1	1
194	человека в	5	1
195	по-новому и	1	1
196	социальной жизни	1	1
197	во все	1	1
198	но оно	5	1
199	для всех	2	1
200	замкнутой и	1	1
201	в более	2	1
202	до сих	4	1
203	мире а	1	1
204	свою энергию	1	1
205	вступить в	1	1
206	как ни	2	1
207	принадлежит конечно	1	1
208	и более	3	1
209	в котором	2	1
210	освобождения от	1	1
211	по преимуществу	5	1
212	значение в	2	1
213	и всех	1	1
214	слова все	5	1
215	должен вступить	1	1
216	сам человек	1	1
217	выходит за	3	1
218	ничем не	1	1
219	отличие от	13	1
220	по всем	1	1
221	мир в	1	1
222	рода и	1	1
223	все ее	1	1
224	возможно лишь	1	1
225	же и	4	1
226	отнести к	1	1
227	они не	3	1
228	из них	3	1
229	культур и	1	1
230	он стремится	1	1
231	к ней	2	1
232	на нем	2	1
233	протекающей в	1	1
234	ориентироваться в	1	1
235	котором и	1	1
236	и явлениях	1	1
237	который не	1	1
238	мы уже	4	1
239	нас и	1	1
240	действует но	1	1
241	которая в	1	1
242	переходит в	3	1
243	в высшем	1	1
244	уже в	2	1
245	погружается в	1	1
246	эти слова	4	1
247	может идти	1	1
248	во власти	2	1
249	к себе	1	1
250	в свою	4	1
251	в значительной	6	1
252	в состоянии	1	1
253	из этих	3	1
254	во всяком	9	1
255	том числе	1	1
256	можно лишь	1	1
257	все свои	2	1
258	смысле в	4	1
259	не должно	3	1
260	с миром	1	1
261	но во	1	1
262	для того	2	1
263	он часто	1	1
264	быть отнесены	1	1
265	быть не	1	1
266	воспринимаются как	1	1
267	на всех	1	1
268	предметного содержания	1	1
269	только так	1	1
270	и правды	2	1
271	социальная жизнь	2	1
272	не всегда	1	1
273	отцы и	1	1
274	характерны для	1	1
275	а это	1	1
276	в этот	1	1
277	не уходит	1	1
278	он и	1	1
279	или нет	1	1
280	было бы	3	1
281	в сущности	18	1
282	о самом	1	1
283	в формах	1	1
284	сторонами жизни	1	1
285	о формах	2	1
286	в недрах	1	1
287	в его	19	1
288	значительной степени	6	1
289	когда она	2	1
290	от этой	3	1
291	и вся	2	1
292	и вражды	1	1
293	и через	1	1
294	событиях и	1	1
295	и их	6	1
296	и периодов	1	1
297	говорить о	2	1
298	не с	5	1
299	вступает в	2	1
300	всего как	1	1
301	одному из	2	1
302	не были	3	1
303	и ему	1	1
304	есть и	1	1
305	совершенно невозможно	1	1
306	у нас	2	1
307	для них	2	1
308	обреченный на	1	1
309	не столько	4	1
310	с другими	8	1
311	часто не	1	1
312	людей и	2	1
313	сказать мы	1	1
314	разложения и	2	1
315	империи и	1	1
316	эпох и	2	1
317	в виду	2	1
318	или к	3	1
319	еще в	1	1
320	только изнутри	1	1
321	не признают	1	1
322	и до	2	1
323	с собой	1	1
324	стихии которая	1	1
325	и развивается	1	1
326	и такое	1	1
327	только в	9	1
328	борьбу за	1	1
329	не на	6	1
330	не могут	7	1
331	есть уже	1	1
332	сферах жизни	2	1
333	по своей	2	1
334	от того	1	1
335	в нее	3	1
336	лежал в	1	1
337	от других	2	1
338	есть еще	1	1
339	нужно отнести	1	1
340	приходится выбирать	1	1
341	в зависимости	4	1
342	в большинстве	16	1
343	и политические	1	1
344	оно не	12	1
345	на смену	1	1
346	их не	1	1
347	оно лишь	3	1
348	потребность в	1	1
349	замкнутости и	1	1
350	россию и	1	1
351	как например	1	1
352	а на	3	1
353	сами по	1	1
354	особого рода	1	1
355	всего что	1	1
356	говорим о	1	1
357	образ человека	1	1
358	но он	4	1
359	в которой	4	1
360	и ложь	1	1
361	века не	1	1
362	в этой	1	1
363	этого не	1	1
364	вот что	1	1
365	числе и	1	1
366	в политической	1	1
367	а также	5	1
368	и еще	1	1
369	жизнь в	2	1
370	что его	1	1
371	как на	1	1
372	в отличие	12	1
373	так называемый	1	1
374	он в	6	1
375	явление в	2	1
376	нет для	1	1
377	путь на	1	1
378	обособления которое	1	1
379	всегда есть	1	1
380	нем не	1	1
381	из всех	1	1
382	менее всего	3	1
383	быть только	3	1
384	что не	1	1
385	но все	2	1
386	тем что	1	1
387	и во	3	1
388	только одна	1	1
389	социальные и	2	1
390	возможности в	2	1
391	свое и	1	1
392	то время	2	1
393	лишь к	1	1
394	в конце	1	1
395	тему и	1	1
396	вообще не	4	1
397	чтобы быть	1	1
398	в основу	1	1
399	них не	2	1
400	эпохи в	1	1
401	жизни перед	1	1
402	так как	7	1
403	смысле и	1	1
404	в своем	9	1
405	характер и	2	1
406	в последние	2	1
407	для сознания	2	1
408	уже нет	1	1
409	лишь на	3	1
410	долгое время	1	1
411	сих пор	4	1
412	что он	2	1
413	известном смысле	2	1
414	самая постановка	1	1
415	человека это	1	1
