N	2gram	Bakhtin_fo	EvropaiE
1	и в	84	37
2	в отношении	5	32
3	в пределах	8	25
4	точки зрения	14	23
5	что в	9	21
6	не только	16	18
7	с точки	9	17
8	в то	13	16
9	то же	18	15
10	хотя бы	2	15
11	в качестве	6	14
12	и не	19	14
13	но и	14	14
14	же время	13	14
15	в своем	8	14
16	но в	16	14
17	в этом	41	12
18	в том	16	11
19	в их	9	11
20	в области	1	11
21	так и	17	10
22	в себе	7	9
23	прежде всего	28	9
24	только в	12	9
25	в смысле	5	9
26	все более	2	9
27	так же	7	9
28	не может	8	9
29	отнюдь не	7	9
30	с одной	5	8
31	в ее	6	8
32	в своей	2	8
33	одной стороны	3	8
34	между тем	1	8
35	было бы	2	8
36	к тому	6	8
37	так как	12	7
38	того что	5	7
39	а также	5	7
40	и выше	1	7
41	как и	15	7
42	между прочим	1	7
43	по своему	3	7
44	также и	6	7
45	с другой	4	7
46	то есть	42	6
47	с этой	3	6
48	и даже	5	6
49	и на	13	6
50	том что	7	6
51	вовсе не	20	6
52	во всех	13	6
53	может быть	18	6
54	того чтобы	11	6
55	для того	12	6
56	стороны и	2	6
57	то что	13	6
58	как бы	11	6
59	на то	1	6
60	в той	5	5
61	в виде	1	5
62	этой точки	1	5
63	не в	10	5
64	но не	9	5
65	от этого	4	5
66	и потому	4	5
67	которую мы	1	5
68	в течение	2	5
69	же как	2	5
70	в частности	11	5
71	как мы	19	5
72	одной из	3	5
73	и по	5	5
74	в самом	9	4
75	то в	2	4
76	мы не	4	4
77	в предыдущем	1	4
78	для нас	2	4
79	не на	4	4
80	чем в	3	4
81	и притом	1	4
82	именно в	5	4
83	в процессе	4	4
84	по себе	3	4
85	не имеет	5	4
86	в каком	2	4
87	культуры в	1	4
88	руководящие центры	1	4
89	тем более	4	4
90	той или	3	4
91	вопрос о	2	4
92	лежат в	2	4
93	как это	2	4
94	несмотря на	1	4
95	к ней	2	4
96	в ней	4	4
97	сказать что	4	4
98	можно сказать	2	4
99	или иной	4	4
100	мира в	6	4
101	независимо от	1	4
102	и к	4	3
103	говорит о	1	3
104	но на	4	3
105	всех случаях	1	3
106	из всех	1	3
107	в определенном	3	3
108	этом отношении	5	3
109	с более	1	3
110	ее в	2	3
111	что и	5	3
112	в результате	6	3
113	мы можем	2	3
114	не является	4	3
115	себе не	1	3
116	к настоящему	2	3
117	в будущем	1	3
118	на себя	2	3
119	не более	1	3
120	и некоторые	1	3
121	дело в	3	3
122	тем что	4	3
123	в таком	4	3
124	вообще не	4	3
125	в стороне	2	3
126	большинстве случаев	2	3
127	как в	10	3
128	жизни в	11	3
129	мира и	6	3
130	и со	1	3
131	в которых	4	3
132	с другом	5	3
133	на своем	1	3
134	бы ни	1	3
135	в них	11	3
136	во всяком	5	3
137	бы и	1	3
138	во все	4	3
139	в данном	4	3
140	идет о	2	3
141	в свою	2	3
142	потому что	11	3
143	время в	7	3
144	и тем	1	3
145	когда он	1	3
146	и для	12	3
147	потребность в	1	3
148	уже и	1	3
149	себе в	1	3
150	в прошлом	3	3
151	известной степени	1	3
152	к ним	3	3
153	как на	2	3
154	с тем	5	3
155	в данной	2	3
156	обстоит дело	1	3
157	и от	3	3
158	место в	4	3
159	о том	4	3
160	в общем	1	3
161	в остальном	1	3
162	и прежде	4	3
163	от них	1	3
164	мы видели	2	3
165	там где	4	3
166	и только	3	3
167	друг с	5	3
168	всяком случае	1	3
169	того же	9	3
170	из них	8	3
171	никогда не	8	3
172	сплошь и	2	2
173	всего в	4	2
174	таким образом	14	2
175	и ту	1	2
176	именно к	1	2
177	и то	5	2
178	во втором	2	2
179	и во	13	2
180	влияние на	6	2
181	мы видим	4	2
182	по преимуществу	4	2
183	данном случае	2	2
184	этот процесс	5	2
185	если в	1	2
186	и того	7	2
187	должна быть	1	2
188	тогда когда	2	2
189	и имеет	3	2
190	в его	19	2
191	свою очередь	1	2
192	одна и	2	2
193	еще более	7	2
194	мира но	1	2
195	что это	1	2
196	это значит	3	2
197	хотя и	5	2
198	с этим	11	2
199	в некоторых	4	2
200	его на	3	2
201	и рядом	2	2
202	из того	1	2
203	например с	1	2
204	для них	3	2
205	с другими	3	2
206	другой стороны	1	2
207	в европейской	1	2
208	участие в	1	2
209	наше внимание	1	2
210	в этих	6	2
211	не могут	4	2
212	и наиболее	1	2
213	также в	1	2
214	одну и	1	2
215	в своих	1	2
216	от друга	2	2
217	если бы	6	2
218	или в	3	2
219	в свои	1	2
220	и с	10	2
221	и все	10	2
222	более поздние	1	2
223	и эта	2	2
224	рано или	1	2
225	на месте	1	2
226	представление о	1	2
227	или хотя	1	2
228	стороны в	1	2
229	имеет место	6	2
230	вместе с	9	2
231	и как	12	2
232	как не	1	2
233	случаях когда	1	2
234	притом в	1	2
235	есть в	3	2
236	но по	2	2
237	в порядке	4	2
238	в мире	4	2
239	одном из	1	2
240	идеологии и	1	2
241	дело идет	2	2
242	же мало	1	2
243	как оно	2	2
244	между собой	5	2
245	между ними	5	2
246	сравнению с	3	2
247	друг от	2	2
248	бы совершенно	2	2
249	в эту	1	2
250	в других	9	2
251	на них	2	2
252	но как	1	2
253	и отчасти	1	2
254	все другие	2	2
255	участию в	1	2
256	только к	3	2
257	и других	5	2
258	и более	3	2
259	в котором	8	2
260	и человеческой	1	2
261	же к	1	2
262	эти последние	1	2
263	и что	1	2
264	человеческого рода	1	2
265	она не	2	2
266	в значительной	3	2
267	имеет в	2	2
268	на основе	5	2
269	по сравнению	3	2
270	и поэтому	2	2
271	он не	6	2
272	мы должны	2	2
273	к нулю	1	2
274	что если	1	2
275	а не	7	2
276	и та	2	2
277	в одном	10	2
278	чем больше	1	2
279	частности в	1	2
280	на одну	1	2
281	целый ряд	2	2
282	далеко не	3	2
283	этот вопрос	1	2
284	в истории	6	2
285	по своей	1	2
286	при помощи	1	2
287	а в	6	2
288	в большинстве	3	2
289	мало как	1	2
290	с большой	3	2
291	в этой	3	2
292	проблемы и	1	2
293	и еще	3	2
294	как их	2	2
295	море и	1	2
296	новый мир	1	2
297	во многом	2	2
298	культуры и	1	2
299	главным образом	1	2
300	наряду с	7	2
301	начиная с	1	2
302	могут быть	7	2
303	того мира	1	2
304	что все	4	2
305	во всей	3	2
306	в будущее	1	2
307	на этот	1	2
308	же в	6	2
309	жизни и	12	2
310	такой же	1	2
311	происходит в	2	2
312	всего к	1	2
313	он сам	2	2
314	для этих	1	2
315	в случае	1	2
316	отчасти уже	1	2
317	или поздно	1	2
318	ведь и	1	2
