N	2gram	Trubetskoy	Stilisti
1	и в	26	42
2	как бы	12	30
3	не только	10	28
4	прежде всего	2	22
5	и т.д	6	21
6	хотя бы	3	18
7	то же	4	16
8	но и	9	16
9	и не	8	14
10	может быть	10	13
11	не может	4	13
12	как и	1	12
13	что мы	2	11
14	мы уже	1	11
15	точки зрения	13	11
16	в этом	15	10
17	в себе	6	10
18	и как	3	10
19	мы должны	6	10
20	мы не	1	9
21	при этом	3	9
22	все же	6	9
23	эти слова	1	9
24	то что	7	9
25	для того	5	9
26	в то	4	9
27	таким образом	22	8
28	так как	9	8
29	с тем	18	8
30	и это	2	8
31	в ней	1	8
32	с его	2	8
33	ничего не	1	8
34	и на	2	7
35	так и	6	7
36	мы можем	2	7
37	только в	4	7
38	в которой	3	7
39	и его	1	7
40	потому что	7	7
41	того чтобы	5	7
42	другими словами	1	7
43	же время	2	7
44	было бы	1	7
45	той же	1	7
46	и от	4	7
47	а не	5	7
48	никогда не	5	7
49	во всех	2	6
50	в его	5	6
51	не в	2	6
52	в нем	4	6
53	в конце	6	6
54	в процессе	2	6
55	и так	1	6
56	на его	1	6
57	бы в	1	6
58	в свою	2	6
59	с помощью	1	6
60	когда мы	1	6
61	в этой	4	6
62	или иной	2	6
63	язык в	1	6
64	в области	9	6
65	в той	1	5
66	в самом	4	5
67	связанных с	2	5
68	то есть	4	5
69	уже в	2	5
70	и их	1	5
71	с точки	6	5
72	те же	2	5
73	не является	1	5
74	самом деле	1	5
75	но все	7	5
76	и с	10	5
77	но в	7	5
78	вместе с	15	5
79	а с	7	5
80	и следовательно	1	5
81	и является	2	5
82	а в	4	5
83	же самое	2	5
84	в нашем	1	5
85	в сознании	1	5
86	и наконец	2	5
87	мы видели	2	5
88	и к	5	4
89	мы видим	1	4
90	один из	2	4
91	что это	3	4
92	что такое	1	4
93	все это	6	4
94	в качестве	3	4
95	в одном	3	4
96	его в	1	4
97	если бы	3	4
98	и все	2	4
99	с самого	3	4
100	в слове	1	4
101	так сказать	1	4
102	у нас	1	4
103	да и	1	4
104	как только	1	4
105	уже не	3	4
106	к тому	6	4
107	о том	6	4
108	той или	2	4
109	самого начала	2	4
110	можно сказать	3	4
111	и пр	1	4
112	было в	1	4
113	не существует	1	4
114	так называемой	2	4
115	так называемые	3	4
