N	2gram	Propp_Isto	Tragedij
1	и в	43	18
2	в этом	25	9
3	не только	28	8
4	и на	7	7
5	и не	16	7
6	может быть	22	7
7	и с	10	7
8	как бы	5	7
9	он сам	2	7
10	что он	17	6
11	у него	4	6
12	в образе	2	6
13	но в	15	6
14	и его	10	6
15	это не	10	5
16	несмотря на	1	5
17	что это	4	5
18	так и	6	5
19	к жизни	2	5
20	все же	13	5
21	в дальнейшем	8	5
22	то же	11	5
23	как и	9	5
24	не может	8	5
25	в то	2	5
26	а я	3	5
27	что в	29	4
28	в себе	2	4
29	и даже	4	4
30	он всегда	1	4
31	все это	4	4
32	прежде всего	3	4
33	и все	4	4
34	я не	3	4
35	об этом	8	4
36	еще не	15	4
37	но и	24	4
38	том что	12	4
39	и что	6	4
40	так же	16	4
41	то что	20	4
42	в этой	7	4
43	что я	2	4
44	в нем	11	4
45	но это	5	4
46	в целом	4	4
47	своего рода	1	3
48	и он	2	3
49	один из	7	3
50	в основном	1	3
51	уже в	1	3
52	в его	7	3
53	в своем	2	3
54	с ним	1	3
55	о чем	1	3
56	и сам	1	3
57	что за	3	3
58	и как	6	3
59	в мире	1	3
60	как в	6	3
61	никто не	2	3
62	своего отца	2	3
63	что образ	1	3
64	при этом	4	3
65	жизнь и	1	3
66	как это	5	3
67	к людям	1	3
68	с ее	2	3
69	как будто	2	3
70	отнюдь не	1	3
71	все эти	8	3
72	к нему	12	3
73	в самом	1	2
74	вместе со	1	2
75	и то	4	2
76	и здесь	8	2
77	со мной	1	2
78	данном случае	6	2
79	это был	1	2
80	и за	3	2
81	в том	13	2
82	это уже	3	2
83	он и	4	2
84	с тем	3	2
85	в ее	1	2
86	по мнению	1	2
87	говорит о	1	2
88	как у	2	2
89	отцом и	1	2
90	что и	17	2
91	ни в	2	2
92	я все	1	2
93	в русском	3	2
94	в виде	2	2
95	его в	7	2
96	этим объясняется	4	2
97	как же	1	2
98	не в	9	2
99	но все	5	2
100	но эта	2	2
101	в таком	1	2
102	ничем не	2	2
103	как говорит	1	2
104	одном из	3	2
105	вопрос о	4	2
106	вряд ли	1	2
107	состоит из	1	2
108	дома и	4	2
109	знает что	1	2
110	и это	5	2
111	под влиянием	2	2
112	уже не	11	2
113	к тому	9	2
114	о том	4	2
115	перед нами	4	2
116	а что	1	2
117	не имеет	3	2
118	и я	1	2
119	бросается в	1	2
120	в данном	7	2
121	только к	1	2
122	что этот	4	2
123	она должна	1	2
124	я тебе	6	2
125	он был	1	2
126	то и	7	2
127	ребенка в	3	2
128	потому что	8	2
129	так что	8	2
130	времени в	1	2
131	он не	11	2
132	по поводу	1	2
133	в частности	6	2
134	но они	2	2
135	в это	1	2
136	точно так	8	2
137	в одном	9	2
138	говорит что	4	2
139	и до	1	2
140	я буду	2	2
141	в глаза	2	2
142	его за	1	2
143	отношение к	4	2
144	не за	1	2
145	о его	2	2
146	столь же	1	2
147	что она	8	2
148	который в	1	2
149	одна из	2	2
150	с его	1	2
151	а как	2	2
152	тут же	4	2
153	не мог	2	2
