N	3gram	Vinokur_St	PoTuStor
1	с точки зрения	10	6
2	на самом деле	7	4
3	с самого начала	3	4
4	до сих пор	12	3
5	не может быть	5	3
6	по крайней мере	2	3
7	в этом смысле	2	3
8	по сравнению с	1	3
9	во всяком случае	8	3
10	ни в чем	1	3
11	нечего и говорить	1	2
12	так же как	5	2
13	о том что	19	2
14	в самом деле	7	2
15	на протяжении всей	1	2
16	нет никаких оснований	1	2
17	и в этом	4	2
18	быть не может	1	1
19	одних и тех	1	1
20	так и в	5	1
21	мы на самом	1	1
22	что в этой	2	1
23	что я в	1	1
24	в том что	29	1
25	хотя и с	1	1
26	а может быть	1	1
27	каких бы то	1	1
28	это самое важное	1	1
29	и быть не	1	1
30	никаких сомнений в	2	1
31	дело в том	7	1
32	и начинается трагедия	1	1
33	той или иной	1	1
34	прежде всего к	1	1
35	вместе с тем	2	1
36	как раз того	1	1
37	и говорить о	1	1
38	во многих случаях	2	1
39	в применении к	3	1
40	а на самом	1	1
41	можно было бы	8	1
42	очень близко к	1	1
43	с нею и	1	1
44	и таким образом	1	1
45	из этих принципов	1	1
46	в данном случае	7	1
47	в том смысле	4	1
48	может быть даже	1	1
49	же как и	1	1
50	и пр в	1	1
51	со всеми его	1	1
52	всяком случае не	2	1
53	то ни было	1	1
54	а иногда и	2	1
55	этап в развитии	1	1
56	том смысле какой	1	1
57	так во всех	1	1
58	в высшей степени	1	1
59	в свое время	3	1
60	в главном в	1	1
61	не оставляет никаких	1	1
62	а потому не	1	1
63	из того же	1	1
64	для того чтобы	13	1
65	и лишь в	1	1
66	по его мнению	1	1
67	совершенно так же	1	1
68	и что он	1	1
69	никогда не утверждал	1	1
70	а с другой	1	1
71	как это делает	1	1
72	с одной стороны	2	1
73	чего же более	1	1
74	говорить о том	1	1
75	в этом отношении	13	1
76	оставляет никаких сомнений	1	1
77	и тех же	1	1
78	на вопрос о	3	1
79	не давая себе	1	1
80	сих пор еще	1	1
81	бы то ни	2	1
82	но даже и	1	1
83	его времени и	1	1
84	имеем дело с	2	1
85	если б он	1	1
86	что до меня	1	1
87	несколько слов о	1	1
