N	2gram	Trubetskoy	Myshleni
1	в том	31	195
2	в этом	13	167
3	то что	18	166
4	и в	24	162
5	том что	20	161
6	в развитии	1	151
7	таким образом	34	147
8	точки зрения	14	143
9	что в	9	119
10	не только	10	116
11	того что	7	109
12	в процессе	2	101
13	так же	8	100
14	потому что	9	95
15	того чтобы	8	91
16	может быть	17	89
17	с точки	8	89
18	что он	7	86
19	не может	18	81
20	как и	10	79
21	для того	8	78
22	так как	7	78
23	и не	9	78
24	только в	6	75
25	в целом	5	74
26	как мы	3	72
27	но и	11	70
28	заключается в	3	67
29	в его	5	67
30	сказать что	1	65
31	как бы	10	64
32	вместе с	7	62
33	и что	9	60
34	было бы	3	60
35	в качестве	1	60
36	то же	4	58
37	в основе	2	58
38	в отношении	1	55
39	между собой	4	53
40	в силу	7	53
41	что мы	4	53
42	в самом	8	52
43	по сравнению	5	51
44	в сущности	2	51
45	мы должны	4	50
46	к тому	8	49
47	что они	2	48
48	тем что	1	48
49	мы можем	6	48
50	понятий и	1	47
51	тогда когда	3	47
52	мы не	1	47
53	сравнению с	5	46
54	если бы	8	46
55	по отношению	11	45
56	но не	3	45
57	с другой	6	45
58	в мышлении	1	44
59	с тем	4	43
60	же как	3	43
61	тем самым	3	43
62	тому что	2	42
63	отношению к	11	42
64	не является	1	41
65	о том	7	40
66	по своей	7	40
67	одной стороны	2	40
68	никогда не	4	39
69	с одной	3	39
70	так и	10	39
71	мы видели	2	38
72	в области	4	38
73	и к	5	37
74	вопрос о	3	37
75	если мы	4	37
76	мы видим	1	37
77	не в	9	37
78	в этой	7	37
79	с самого	1	36
80	в своем	12	36
81	все эти	19	36
82	самого начала	1	36
83	как в	1	36
84	а не	1	36
85	и его	2	36
86	того же	9	35
87	с другом	9	35
88	можно было	1	35
89	в себе	5	35
90	в которой	5	35
91	и т.д	4	35
92	друг с	9	35
93	он не	4	35
94	для себя	2	35
95	связи с	4	34
96	и как	1	34
97	приводит к	1	34
98	прежде всего	3	33
99	при этом	9	33
100	именно в	5	32
101	и на	6	32
102	той же	2	32
103	что оно	3	32
104	по своему	5	32
105	же самое	1	32
106	что и	7	32
107	и тем	1	32
108	но в	5	32
109	развития и	1	31
110	развития в	1	31
111	все же	15	31
112	из того	4	31
113	и то	4	31
114	мысли и	1	30
115	на то	9	30
116	этого слова	2	29
117	между тем	12	29
118	и развития	1	29
119	как известно	3	29
120	могут быть	1	29
121	от того	3	29
122	с этим	12	28
123	что с	6	28
124	самом деле	12	28
125	только что	3	27
126	с этой	3	27
127	в результате	9	27
128	другой стороны	5	27
129	этом случае	4	27
130	в то	6	27
131	и с	5	27
132	в своей	1	27
133	связь между	1	27
134	что все	5	27
135	перед нами	1	27
136	в их	4	26
137	что это	5	26
138	для него	2	26
139	в частности	2	26
140	что она	2	25
141	что развитие	2	25
142	еще не	6	25
143	уже в	1	25
144	все это	13	25
145	своего развития	1	25
146	только не	2	25
147	мы уже	4	25
148	это не	3	25
149	мы знаем	10	24
150	тот же	3	24
151	зависимости от	2	24
152	целый ряд	4	24
153	того как	1	24
154	так что	6	24
155	что эта	4	24
156	в нем	3	24
157	в высшей	2	24
158	друг друга	2	23
159	этот вопрос	2	23
160	состоит в	1	23
161	бы в	3	23
162	во всяком	2	22
163	не могут	4	22
164	то время	2	22
165	смысле этого	1	22
166	столь же	5	22
167	в зависимости	1	22
168	и развитие	2	22
169	высшей степени	2	22
170	между ними	2	21
171	к этому	5	21
172	и следовательно	1	21
173	и ее	2	21
174	на основании	1	21
