N	2gram	Bakhtin_Pr	BTomashe
1	у нас	2	3
2	лучше и	1	2
3	все это	11	2
4	в ней	8	2
5	на стр	1	2
6	можно было	2	2
7	не то	3	2
8	и не	41	2
9	видеть в	1	2
10	вопрос о	1	1
11	говорить о	2	1
12	творчества и	1	1
13	и о	3	1
14	было и	1	1
15	со всем	1	1
16	не только	14	1
17	пожалуй и	1	1
18	а о	1	1
19	и свободный	1	1
20	всего в	1	1
21	таким образом	9	1
22	не было	5	1
23	в эпоху	12	1
24	прежде всего	20	1
25	моментом в	1	1
26	и в	83	1
27	на самом	2	1
28	так и	9	1
29	на которой	2	1
30	можно в	1	1
31	из своей	3	1
32	в своей	5	1
33	во всяком	2	1
34	и потому	6	1
35	и во	6	1
36	за пределы	7	1
37	же не	2	1
38	по крайней	2	1
39	с другой	4	1
40	ней только	1	1
41	об этом	3	1
42	как будто	3	1
43	точке зрения	1	1
44	свое название	1	1
45	совершенно не	4	1
46	не о	2	1
47	другой стороны	3	1
48	и полнее	1	1
49	крайней мере	2	1
50	всяком случае	1	1
51	кроме того	6	1
52	было бы	6	1
53	и правильнее	2	1
54	установка на	2	1
55	но автор	2	1
56	и ее	8	1
57	только одной	1	1
58	одной из	6	1
59	из ее	1	1
60	в пределах	8	1
61	в данном	1	1
62	должна быть	1	1
63	выпадает из	2	1
64	в области	6	1
65	является только	1	1
66	далеко не	4	1
67	тем более	2	1
68	невозможны без	1	1
69	не вполне	1	1
70	и более	3	1
71	что все	3	1
72	не все	1	1
73	нельзя не	1	1
74	по этим	1	1
75	и полно	1	1
76	а не	19	1
77	до конца	3	1
78	как всякий	1	1
79	не укладывается	1	1
80	и на	27	1
81	выходит за	1	1
82	между ними	14	1
83	произведении что	1	1
84	еще не	10	1
85	к ней	3	1
86	все же	3	1
87	что в	5	1
